name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#Super Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domains End,dom+domainsend,Colossal Drone,Explorarium,burndrive,80,22000,1400,3000,,500,60,2,10,15,15,10,15,6000,NONE,,0,0,0,,,0,0,2500,1250,50,30,5,1800000,1,40,480,0.25,120,40,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,0.4,4,8,,
,dom+domainsend_front,Module,,flarelauncher,1,10000,1400,3000,,500,65,2,0,0,0,0,0,600,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+domainsend_right,Module,,flarelauncher,1,15000,1750,3000,,600,140,4,0,0,0,0,0,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+domainsend_left,Module,,flarelauncher,1,13000,1750,3000,,500,100,2,0,0,0,0,0,1500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Devourer Mega-Carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devourer,dom+devourer,Reffited Mothership,Explorarium,burndrive,100,75000,1600,10000,,1000,280,8,5,5,5,5,5,12500,NONE,,0,0,0,,,0,0,5000,2000,60,30,5,2000000,1,45,480,0.25,120,40,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX, CARRIER","derelict, no_autofit, auto_rec, rare_bp",,0.4,4,8,,
,dom+dev_bottom_left_1,Module,,,1,9000,1500,2500,,350,50,,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+dev_bottom_right_1,Module,,,1,9000,1500,2500,,350,50,,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
