id,type,text1,text2,text3,text4,notes
dom+forgevats,SHIP_SYSTEM,A fixed architecture nanforge system which allows rapid conversion of pre-formulated feedstock into missile ammunition during battle. The flux output of this process is tremendous so it is not advisable to engage the integrated missile nanoforge system while taking fire. This Wardrone variant uses oddly advanced Domain-era tech that regenerates the feedstock resources allowing this system to be used endless times.,Special,Replenishes missile ammunition when used. Generates flux when used.,,
dom+loader,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Loader class Drone is a durable, defendable cargo and fuel storage ship. Used to both supply worlds and fleets in days long gone.",,,,
dom+dreadnought,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.",,,,
dom+fencer_wing_Fighter_wing,SHIP,"A Domain Drone Heavy Fighter. Heavily armoured, long range and with flares, this is a versatile and durable fighter. However, it only has Machineguns making its damage output rather low.",,,,
dom+minotaur,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Minotaur is a mix of a carrier and missile ship, with, unusual for a War Drone, shields.",,,,
dom+fencer_wing_Bomber_wing,SHIP,"A Domain Drone Heavy Bomber. Heavily armoured, long range and with flares, this is a  very durable fighter with Hammers. It lacks any form of Point Defense (excluding its flare, that is).",,,,
dom+marjinot_wing,SHIP,A Domain Drone Interceptor escort. Decently armoured and speedy with multiple PD systems. Sprite by Centurion.,,,,
dom+defender,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Defender MK2 is a Defender with lesser armor, increased weight, less speed, but, with a hanger and fighter auto-forge.",,,,
dom+surveyship,SHIP,"A ship likely produced 100s of cycles ago that still functions almost 100%. These ships were among the first to explore the sector before colonisation efforts started. The exact reason the Domain armed these survey vessels this much remains unknown... This is the bigger brother of the Survey Probe, it has more weapons, more cargo storage and more armour, but has reduced speed.",,,,
dom+surveyprobe,SHIP,A ship likely produced 100s of cycles ago that still functions almost 100%. These ships were among the first to explore the sector before colonisation efforts started. The exact reason the Domain armed these survey vessels this much remains unknown... This is the smaller brother of the Survey Ship and serves as a mix of a cargo vessel and warship. ,,,,
dom+domainsend,SHIP,"This Behemoth of a ship, comparable to the Paragon, is a super-heavy capital ship with immense armor and boasting some weapons. Its poor speed may seem bad, but it has excess thrusters granting a major boost via Burn Drives. The actual appearance of the ship has been deemed monstrous, as it is made up of dozens after dozens of other Domain ships, all stuck together. The reason why the AIs that made it done this remains unclear.",,,,
dom+bulldogmkii,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Bulldog MKII is a upscaled destroyer variant of the MKI, with advanced autoloaders",,,,
dom+bulldog,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Bulldog is a heavy frigate with good armor, hull and decent weapons up front.",,,,
dom+defense_pod_Autocannon,SHIP,"A Domain Drone Defense Pod. Swarmable, cheap and equipped with Autocannons. These are annoying to fight against and can quickly overwhelm shields when massed.",,,,
dom+bulldogmkiii,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Bulldog MKIII uses some hollow space within the MKII to mount a large weapon, however, in order to keep its cost down, whatever AI that designed this vessel has stripped if off of all other weapons. Though it did give it a built-in Drone Forge for some form of close range defense. Additionally, a major extension to the rear of the ship houses large scale Targeting units that - against all odds - somehow work.",,,,
dom+jouster_wing_gunship,SHIP,"A very heavy Domain Drone ""Fighter"" that dwarfs even the Picket Frigate. Equipped with with multiple Mortars and a point defense Vulcan along with stacked plates of armor, this is a beastly Drone.",,,,
dom+dram,SHIP,"It scares many knowing that Domain Drones regulary take derelict ships back to factory sites to be repurposed, either as Converted ships or as base resources for new drone ships.",,,,
dom+prometheus,SHIP,"It scares many knowing that Domain Drones regulary take derelict ships back to factory sites to be repurposed, either as Converted ships or as base resources for new drone ships.",,,,
dom+campaigner,SHIP,"Campaigners are the workhorse of any Domain fleet. They can mine, process resources and salvage, survey for more resources and can even boost a fleets speed due to its tugging abilities. A Campaigner would normally be a Probes first ship to be built as they are key in gathering more resources for any Domain Drone manufactory.",,,,
dom+mega_hauler,SHIP,"A Domain Drone Mega Hauler. A Gargantuan ship that would have been assembled to support large Domain Expeditions. With how efficient with fuel and supplies Domain Drones tend to be, it can be worrying asking ""what fleet would need that much cargo?"". During later wars where Domain Drones were employed greatly, these were used as massive automated Merchant cargo ships.",,,,
dom+mechbulldog,SHIP,"The Bulldog MK1 is considered, at least by salvagers, as one of the more durable compact Derelict vessels. During rebellions long ago, rebel factions discovered that Domain War Drones lacked the ability to properly take out planetary installations. They were never meant to, they were just meant to blockade the worlds. However, apparently, this wasn't enough as this modified Bulldog is capable of landing onto planets to assist invasion forces.",,,,
dom+iris,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Iris is a medium-weight carrier drone. Sprite by Totallynotjosh.",,,,
dom+theseus,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Theseus is a heavy-weight carrier/combat drone. Sprite by Totallynotjosh.",,,,
