name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Triple Heavy Mortar,dom+heavymortar,0,,1200,900,,140,,16,30,14,,,,HIGH_EXPLOSIVE,95,,0,0.7,3,0.3,0,15,4,6,,500,,,50,,,RESET_BARREL_INDEX_ON_BURST,"he11, base_bp, merc",,,,Anti Armor,,,,,,,,,,
Super-Heavy Mortar,dom+superheavymortar,0,,1800,1400,,700,,40,10,22,,,,HIGH_EXPLOSIVE,325,,0,3.5,1,0,0,6,2,1,,450,,,250,,,,"he11, base_bp, merc",,,,Anti Armor,,,,,,,,,,
Super-Heavy Dual Mortar,dom+dualsuperheavymortar,1,,3200,1200,,700,,40,6,24,,,,HIGH_EXPLOSIVE,500,,0,4,2,0.4,0,7,2,1,,450,,,250,,,RESET_BARREL_INDEX_ON_BURST,"he11, base_bp, merc",,,,Anti Armor,,,,,,,,,,
Super-Heavy Triple Mortar,dom+triplesuperheavymortar,2,,5000,1000,,700,,40,3,26,,,,HIGH_EXPLOSIVE,700,,0,4,3,0.5,0,8,2,2,,500,,,250,,,RESET_BARREL_INDEX_ON_BURST,"he11, base_bp, merc",,,,Anti Armor,,,,,,,,,,
Bulldog Head Vulcan Cannon,dom+vulcanhead,1,,200,300,,30,,1,75,4,,,,FRAGMENTATION,1,,0,0.05,1,,0,12,1,15,,800,,,10,,,PD,"pd7, SR",,,,Point Defense,,,,,,,,,,
Dual Light Mortar,dom+duallightmortar,0,,160,500,,75,,4,30,4,,,,HIGH_EXPLOSIVE,60,,0,1,2,0.25,0,15,3,10,,500,,,10,,,,"he6, base_bp",,,,Anti Armor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
