id,trigger,conditions,script,text,options,notes
#ome_askSkillsSelVerySkillAdmin,DialogOptionSelected,"$option == ome_askSkills
","AddText ""You ask $personName some questions to establish where $hisOrHer skills lie. It becomes apparent that $heOrShe has extremely special talents. You wonder about their past governing experience and how they are now without a job.""
AddText ""\""I'll expect a $ome_hiringBonus credit hiring bonus, and afterwards a salary of $ome_salary credits per month. Once the initial transfer is complete, I will await my assignment at your pleasure.\""""
SetTextHighlightColors hColor hColor
SetTextHighlights $ome_hiringBonus $ome_salary
AddText ""You have $player.creditsStr credits available.""
SetTextHighlightColors hColor
SetTextHighlights $player.creditsStr
FireBest HireOptionSet",,,
ome_askStorySkills,PopulateOptionsHire,"$ome_hireable score:100
$ome_adminTier == 0
$ome_isAdmin","SetStoryOption ome_askStorySkills 1 hireMerc ui_char_spent_story_point_industry ""Taught an admin a new trick.""
FireBest PopulateOptionsHirebc",,3:ome_askStorySkills:Teach $himOrHer Industry Planning.,
ome_askStorySkillsa,PopulateOptionsHirebc,!bc_checkskill industrial_planning,"SetTooltip ome_askStorySkills ""You need to know Industry Planning to do that!""
SetTooltipHighlights ome_askStorySkills Industry Planning
SetEnabled ome_askStorySkills false",,,
ome_askStorySkills2,DialogOptionSelected,"$option == ome_askStorySkills
","$ome_adminTier++
bc_checkskill industrial_planning true
CallEvent $ome_eventRef printSkills $id
FireAll PopulateOptionsHire","$HeOrShe blushes. ""That's kind of you, but we haven't agreed on anything yet! I'll expect a higher salary, but my initial hiring cost will remain the same for now. Do you still want to take me on?""",,
,,,,,,
bc_sleeper_intercept,DialogOptionSelected,"$option == marketVisitBar
$market.isPlayerOwned
!$market.bc_sleeper
$market.ind:cryorevival
RollProbability 0.4","AddText ""Before you hit the bar, you receive a call to connect with an unknown number.""",,"bc_sleepercontinue:Call the strange number
bc_sleeperno:Ignore the request",
bc_sleeperyes,DialogOptionSelected,$option == bc_sleepercontinue,"bc_sleeper
UpdateMemory
ShowPersonVisual
FireAll bc_PopulateOptionsHire","After a short wait, your connection request is accepted.

""Heard you might be looking to take on some help. Woke out of a pod here. Thought I might be able of great use to you either as a permanent asset or temporary asset. Otherwise, I'll just find my own path among the stars.""",,#ome_greeting's text is used here
bc_sleeperno,DialogOptionSelected,$option == bc_sleeperno,"$option = marketVisitBar
$market.bc_sleeper = true 180
FireBest DialogOptionSelected",,,
bc_askSkills,bc_PopulateOptionsHire,!$askedSkills,,,"0:bc_askSkills:""Depends. What can you do?""",
bc_askHire,bc_PopulateOptionsHire,!bc_sleeper atLimit,,,1:bc_askHire:Offer to hire $himOrHer permanently,
bc_askHireMerc,bc_PopulateOptionsHire,!$player.wasJerkToMerc,SetStoryColor bc_askHireMerc,,2:bc_askHireMerc:Ask $himOrHer about a temporary contract,
bc_cantHire,bc_PopulateOptionsHire,bc_sleeper atLimit,,,"3:bc_convEnd:""I can't hire on any more officers at the moment.""",
bc_wontHire,bc_PopulateOptionsHire,!bc_sleeper atLimit,,,3:bc_convEnd:End the conversation,
bc_askSkillsSel,DialogOptionSelected,$option == bc_askSkills,"AddText ""You ask $personName some questions to establish where $hisOrHer skills lie.""
bc_sleeper printSkills
$askedSkills = true 0
FireAll bc_PopulateOptionsHire
unset $askedSkills",,,
bc_askHireSel,DialogOptionSelected,$option == bc_askHire,"AddText ""\""I'll expect a $ome_hiringBonus credit hiring bonus, and afterwards a starting salary of $ome_salary credits per month. Once the initial transfer is complete, I can be ready to board within the hour.\""""
SetTextHighlightColors hColor hColor
SetTextHighlights $ome_hiringBonus $ome_salary
AddText ""You have $player.creditsStr credits available.""
SetTextHighlightColors hColor
SetTextHighlights $player.creditsStr
FireBest bc_HireOptionSet",,,
bc_askHireSelMerc,DialogOptionSelected,$option == bc_askHireMerc,"AddText ""\""The typical contract length is $mercContractDurStr days, with some allowances for when we get back to port. Can be terminated early by either party, and so on - the standard stuff. When it's up, we can talk about extending it if both parties are agreeable.\n\nI'll expect a $ome_hiringBonus credit hiring bonus, and a salary of $ome_salarymerc credits per month. Once the initial transfer is complete, I can be ready to board within the hour.\""""
SetTextHighlightColors hColor hColor hColor
SetTextHighlights $mercContractDurStr $ome_hiringBonus $ome_salarymerc
AddText ""You have $player.creditsStr credits available.\n\nThis officer is a highly professional mercenary and does not count against the normal officer limit.""
SetTextHighlightColors hColor
SetTextHighlights $player.creditsStr
$bc_merc = true 0
FireBest bc_HireOptionSet",,,
bc_hireOptionsNormal,bc_HireOptionSet,"bc_sleeper canAfford
!$bc_merc",,,"0:bc_hireYes:""Sounds good.""
1:bc_convEnd:""Never mind, I don't want any of this.""",
bc_hireOptionsMerc,bc_HireOptionSet,"bc_sleeper canAfford
$bc_merc",,,"0:bc_hireYesMerc:""Sounds good.""
1:bc_convEnd:""Never mind, I don't want any of this.""",
bc_hireOptionsCantAfford,bc_HireOptionSet,,,,"0:bc_convEnd:""I can't afford that at the moment.""",
bc_hireYesSel,DialogOptionSelected,$option == bc_hireYes,"AddText ""You cut the comm link after exchanging a few pleasantries. Forgeting that you were supposed to go to the bar. You find yourself in orbit.""
$market.bc_sleeper = true 180
bc_sleeper hireOfficer
ShowDefaultVisual
UpdateMemory
EndConversation",,,
bc_hireYesSelMerc,DialogOptionSelected,$option == bc_hireYesMerc,"AddText ""You cut the comm link after exchanging a few pleasantries. Forgeting that you were supposed to go to the bar. You find yourself in orbit.""
$market.bc_sleeper = true 730
bc_sleeper hireMercOfficer
ShowDefaultVisual
UpdateMemory
EndConversation",,,
bc_hireNoSel,DialogOptionSelected,$option == bc_convEnd,"AddText ""You cut the comm link after exchanging a few pleasantries. Forgeting that you were supposed to go to the bar. You find yourself in orbit.""
$market.bc_sleeper = true 180
ShowDefaultVisual
UpdateMemory
EndConversation",,,
,,,,,,
#bc_luddicfaithbar_intercept,DialogOptionSelected,"$option == marketVisitBar
$market.mc:habitable
!$market.mc:pollution
!$market.mc:bc_luddicfaith
!$market.mc:pather_cells
!$market.bc_luddicfaith
$market.mc:comm_relay
$market.isPlayerOwned
RepGTE luddic_church NEUTRAL
$market.size >= 3","AddText ""Before you enter the bar, a comm link request pings you, the request contains a topic regarding faith..""",,"bc_luddicfaith:Receive the comm link
bc_luddic_continue:Ignore",
#bc_luddicfaithbar_option1,DialogOptionSelected,$option == bc_luddicfaith,"bc_generateperson luddic_church
AddText ""You accept the request.""
AddText ""\""Greeting Captain $playerName, I am told you are the shepherd to the flock of $market.\""""
AddText ""\""I pray for the safety of all good people who come to $market, but we can't expect Ludd to do all the work.\""""
FireBest bc_luddicreputation",,"bc_luddicfaith2:""What are you asking?""",
#bc_luddicfaithbar_option1a,bc_luddicreputation,RepGTE luddic_church WELCOMING,"AddText ""\""You have been a good neighbor to the Church. We all go through periods of darkness. In such times, we can turn to Ludd, but it's good to also have friends.\""""",,,
#bc_luddicfaithbar_option1b,bc_luddicreputation,,"AddText ""\""A stranger to the Church you are. Nonetheless, I see great potential of you in the grand schemes of Ludd. I offer a way to foster relations between your flock and the Church.\""""",,,
#bc_luddicfaithbar_option1c,bc_luddicreputation,RepLTE luddic_church INHOSPITABLE,"AddText ""\""You are a heretic to many of the Luddic faith. I offer an olive branch, a path to redemption in the light of Ludd once more.\""""",,,
#bc_luddicfaithbar_option2,DialogOptionSelected,$option == bc_luddicfaith2,"AddTextSmall ""\""The blessing of Ludd brings wealth.\"""" gray
AddTextSmall ""\""Be fruitful and multiply, and fill the earth.\"""" gray
AddTextSmall ""\""Ludd gives stability to the land by redemption.\"""" gray
AddTextSmall ""\""There is a Path that seems right to man, but its end is the way of death.\"""" gray
AddTextSmall ""\""Love your neighbor as yourself; for the neighbor will reciprocate.\"""" gray
AddText ""Withdrawing your pledge once honored will create some conflict."" highlight


","""An official and permanent pledge to the good people of $market in constructing a shrine to spread the teachings of Ludd here."" You begin to listen...","bc_luddicfaith3a:""I will honor that pledge.""
bc_luddicfaith3b:""I cannot honor that pledge.""
bc_luddicfaith3c:""Look I don't know what you're talking about.""
",
