name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Combat Adjustment,CJHM_combatadjustment,0,,HMI,"defensive, merc",Defenses,5000,FALSE,,,2,3,4,5,data.scripts.hullmods.CJHM_combatadjustment,"Removes one fighter bay in return for increasing the ship's armor by %s/%s/%s/%s points, depending on hull size. Flux capacity and dissipation are also increased by %s. Can only be installed on ships with fighter bays.",Swaps 1 fighter bay for armor and flux,graphics/CJHM/hullmods/CJHM_armorforfighter.png
Cargo Filler,CJHM_cargofiller,0,,HMI,special,Special,5000,FALSE,,,2,4,6,8,data.scripts.hullmods.CJHM_cargofiller,"For when you really don't need that extra cargo space (%s percent), add some hull! (+%s percent)",Reduces ship cargo space and adds hull. Does not stack with the Cargo Carver or Belt Armor hullmods.,graphics/CJHM/hullmods/CJHM_cargofiller.png
Brawler Missiles,CJHM_brawlermissiles,0,,HMI,offensive,Weapons,5000,FALSE,,,2,4,6,8,data.scripts.hullmods.CJHM_brawlermissiles,"Get up close and personal and send some damage on the quick, gaining  +%s percent missile spped at the cost of  %s percent missile max range.",Reduces missile range and increases missile speed,graphics/CJHM/hullmods/CJHM_brawlermissiles.png
Far Sight,CJHM_farsight,0,,HMI,special,Special,5000,FALSE,,,5,10,15,20,data.scripts.hullmods.CJHM_farsight,"Space is vast and you don't want to miss a bit of salvage do you? Increases visual range and sensors by %s/%s/%s/%s percent, depending on hull size.",Increases visual and sensor range,graphics/CJHM/hullmods/CJHM_farsight.png
Burn Boost,CJHM_burnboost,0,,HMI,engines,Engines,5000,FALSE,,,4,8,12,16,data.scripts.hullmods.CJHM_burnboost,CJHM developed a fuel mixture modification for it's ships adding +1 to maximum burn but requiring a 50 percent increase in fuel consumption.,Adds burn for fuel use,graphics/CJHM/hullmods/CJHM_burnboost.png
Auxiliary Sensor Booster,CJHM_auxsensor,0,,HMI,special,Special,5000,FALSE,,,2,2,2,2,data.scripts.hullmods.CJHM_auxsensor,Have a couple spare OP? Install an auxiliary sensor booster that increases sensor range by 10,Increases sensor range,graphics/CJHM/hullmods/CJHM_auxsensor.png
Fetch Deck,CJHM_fetchdeck,2,,HMI,special,Fighters,7000,FALSE,,,2,4,6,8,data.scripts.hullmods.CJHM_fetchdeck,Allows you to launch fighters and drones %s farther and reduces the fighter replacement speed depletion rate by %s when wings are understrength.,Adds range to fighters and increases refit speed,graphics/CJHM/hullmods/CJHM_fetchdeck.png
PD Pep ,CJHM_pdext,0,,HMI,"offensive, merc",Weapons,7000,FALSE,,,2,3,4,5,data.scripts.hullmods.CJHM_pdext,Extends the range of Point Defence Weapons by %s however overclocking them increases the rate of in-combat CR decay after peak performance time runs out by %s.,Extends PD weapon range at the cost of CR decay.,graphics/CJHM/hullmods/CJHM_pdext.png
Engineering Section,CJHM_engineeringsection,0,,HMI,"defensive, merc",Defenses,7000,FALSE,,,1,2,3,4,data.scripts.hullmods.CJHM_engineeringsection,Adds a CJHM trained engineering section that repairs weapon and engine by %s and increases overall weapon health by %s. The additional crew uses %s supplies per month.,Engineering,graphics/CJHM/hullmods/CJHM_engineeringsection.png
Faraday Cage,CJHM_reinforcedhull,0,,HMI,"defensive, merc",Defenses,7000,FALSE,,,1,2,3,4,data.scripts.hullmods.CJHM_reinforcedhull,Decreases the ship's hull by %s percent making room for a shock absorbing faraday cage that reduces EMP damage by %s and increases the ship's personnel chance of surviving sustained damage by %s.,EMP hardened Hull,graphics/CJHM/hullmods/CJHM_reinforcedhull.png
Improvised Sensor Cloak,CJHM_sensorcloak,0,,HMI,special,Special,5000,FALSE,,,3,5,7,9,data.scripts.hullmods.CJHM_sensorcloak,Stuck in hostile terrioty and outgunned? Install this mod to go even darker by reducing your sensor profile by %s percent. The drawback is that this improvised hack reduces your sight radius and sensor range by %s percent as well.,Decreases sensor profile at the cost of sensor strength and sight radius.,graphics/CJHM/hullmods/CJHM_sensorcloak.png
