id,trigger,conditions,script,text,options,notes
#Breaker Salvage dialogue,,,,,,
sal_breakersDefault,OpenInteractionDialog,"$tag:salvageable
$faction.id == blade_breakers","SalvageGenFromSeed
FireBest ShowSalvageEntityDetails
FireBest SalvageCheckHostile",Your $shipOrFleet approaches a $nameInText that appears to have been abandoned only a few cycles ago.,,
,,,,,,
#Warning Beacon dialogue,,,,,,
beaconOpenDialogLenze,OpenInteractionDialog,"$tag:istl_hardened_warning_beacon
$istl_lenzewarn","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous warning beacon emits a looping message. The static crackle underlying the heavily distorted voice is sharp and unsettling.

""This Sigma World is interdicted by the Blade Breakers under the rightful authority of the Council of Five. Your presence here is unwelcome.

All unauthorized vermin are instructed to avoid landing on pain of death.""",beaconLeave:Leave,
beaconOpenDialogBladeBreakersDestroyed,OpenInteractionDialog,"$tag:istl_hardened_warning_beacon
$breakerDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous warning beacon emits a looping message. The static crackle underlying the heavily distorted voice is sharp and unsettling.

""DANGER: This star system is claimed by the Blade Breakers, operating under the rightful authority of the Council of Five. Any intrusion by outsiders will be logged.""",beaconLeave:Leave,
beaconOpenDialogBladeBreakersSuppressed,OpenInteractionDialog,"$tag:istl_hardened_warning_beacon
$breakerSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous warning beacon emits a looping message. The static crackle underlying the heavily distorted voice is sharp and unsettling.

""DANGER: This star system is interdicted by an Active Service Unit of the Blade Breakers, operating under the rightful authority of the Council of Five. Entry is forbidden to unauthorized fleets under Council Law.""",beaconLeave:Leave,
beaconOpenDialogBladeBreakersResurgent,OpenInteractionDialog,"$tag:istl_hardened_warning_beacon
$breakerResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous warning beacon emits a looping message. The static crackle underlying the heavily distorted voice is sharp and unsettling.

""DANGER: This star system is controlled by Active Service Units of the Blade Breakers, operating under the rightful authority of the Council of Five. Entry is forbidden to all fleets under Council Law.""",beaconLeave:Leave,
,,,,,,
#Cousteau Base dialogue,,,,,,
