name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
"#Drones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone,istl_zonedefbit,,Dassault-Mikoyan,,,75,25,300,,50,,,300,450,450,240,250,5,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Foil,istl_funnel,,Dassault-Mikoyan,,,200,50,500,,50,,,350,600,600,240,500,5,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Goalkeeper,istl_goalkeeper,,Dassault-Mikoyan,,,225,50,600,,125,,,250,300,300,180,225,10,FRONT,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Fighters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dard,istl_dard,,Dassault-Mikoyan,istl_pulsejets_ftr,,150,25,150,,30,0,,300,450,400,150,300,12,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,105
Spirale,istl_flare,,Dassault-Mikoyan,istl_pulsejets_ftr,,600,75,400,,100,0,,200,300,250,105,150,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,100
Harridan,istl_harridan,,Dassault-Mikoyan,istl_pulsejets_ftr,,500,100,750,,75,0,,350,500,350,120,250,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,101
Demoiselle,istl_damselfly,,Dassault-Mikoyan,,,500,100,500,,50,0,,180,120,60,60,150,45,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Aigrette,istl_egret,,Dassault-Mikoyan,,,450,50,1000,,125,0,,200,150,95,105,180,30,OMNI,,90,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Mystère,istl_mystere,,Dassault-Mikoyan,istl_decoyflares_fighter,,682,150,400,,75,0,,180,180,150,75,180,35,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Icax,istl_icax,,SNRI Labs,istl_mirage_ftr,,500,50,750,,100,0,,250,210,180,90,150,40,OMNI,,90,0,1.2,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Rafale I,istl_rafale,,Dassault-Mikoyan,istl_decoyflares_fighter,,300,50,250,,75,0,,200,350,250,90,180,25,OMNI,,180,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,101
Rafale II,istl_rafale2,,Dassault-Mikoyan,istl_decoyflares_fighter,,500,50,400,,50,0,,150,180,135,30,120,40,OMNI,,180,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Civvies/Utility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puddle Jumper,istl_puddlejumper,Free Trader,Dassault-Mikoyan,istl_jetinjector,4,2500,300,1300,1900,120,30,1,120,100,75,65,120,300,FRONT,,90,0.2,0.8,,,15,40,120,60,1,80,10,13200,10,15,240,0.25,2.5,2.5,,,,,,,"CIVILIAN, FREIGHTER","dmecivil_bp, dmecore_bp, dmeadv_bp, no_dealer",,0.4,2,2,,201
Bouclier,istl_bouclier,Armored Courier,Dassault-Mikoyan,istl_jetinjector,5,3000,450,1400,1875,140,40,,100,90,70,50,105,360,NONE,,0,0,0,,,20,50,100,40,1,40,10,14000,8,10,240,0.25,4.5,4.5,,,,,,,FREIGHTER,"dmecivil_bp, no_dealer",,0.3,2,2,,203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevastopol Mk.5,istl_sevastopol,Secure Freighter,Dassault-Mikoyan,istl_jetinjector,7,4400,320,2000,2160,120,40,,60,45,25,30,15,480,OMNI,,150,0.2,1,,,25,75,320,100,2,60,9,18000,5,20,450,0.25,3,3,,,,,,,"CIVILIAN, FREIGHTER","dmecivil_bp, dmecore_bp, dmeadv_bp",1.5,0.4,2,3,,302
Lodestar,istl_centaur,Armed Transport,Dassault-Mikoyan,istl_dockjets,8,8400,750,3200,2750,160,80,,45,30,15,15,15,900,OMNI,,150,0.4,1,,,60,150,750,150,4,90,8,52000,5,10,420,0.25,7,7,,,,,,,"CIVILIAN, FREIGHTER","dmecivil_bp, dmecore_bp, dmeadv_bp",1.2,0.4,2,4,,305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Frigates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shalaika,istl_samoyed,Scout-Courier,Dassault-Mikoyan,istl_pulsejets_frg,3,1500,180,1400,1350,120,25,,170,150,90,90,150,160,OMNI,,120,0.3,0.7,,,10,30,60,60,1,60,11,9200,4,8,180,0.25,4,2,,,,,,,,dmecivil_bp,,0.3,2,2,,400
Husky,istl_stoat,Picket Ship,Dassault-Mikoyan,istl_decoyflares_main,4,1800,160,2400,2400,180,40,1,140,160,120,90,150,190,FRONT,,270,0.4,0.8,,,10,25,40,30,1,50,10,12500,4,8,240,0.2,4,4,,,,,,,,"dmecore_bp, dmeadv_bp",,0.3,2,2,,401
Burya,istl_burya,Frigate,Dassault-Mikoyan,istl_fastloader,5,1200,200,2000,1625,140,45,,120,120,100,40,80,110,OMNI,,120,0.4,0.8,,,10,25,40,25,1,25,10,10000,8,10,240,0.25,5,5,,,,,,,,"dmecore_bp, dmeadv_bp",,0.5,2,2,,208
Kobra Mk.3,istl_naja,Gunboat,Dassault-Mikoyan,istl_heavyburn,5,3000,450,3200,3800,200,50,,140,200,120,75,125,240,PHASE,istl_damper,0,0,0,,,15,30,75,25,1,45,10,15000,6,8,270,0.25,6,6,,,,,,,,"dmeadv_bp, special_allows_system_use, system_allows_special_use",,0.3,2,2,,404
Borzoi,istl_borzoi,Phase Attacker,Dassault-Mikoyan,istl_decoyflares_main,10,1350,350,3200,1400,320,45,,170,300,200,120,210,200,PHASE,istl_DMEphasecloak,,,,0.05,0.05,10,20,30,30,1,60,11,32000,4,8,180,0.15,9,9,,,,,,,PHASE,rare_bp,,0.3,2,2,,400
Vesper,istl_vesper,Tactical Frigate,Dassault-Mikoyan,istl_pulsejets,7,2000,250,3000,3200,180,55,,140,125,105,90,135,225,FRONT,,240,0.2,1,,,15,30,40,20,1,20,10,25000,10,15,240,0.2,7,7,,,,,,,,"rare_bp, no_dealer",,0.3,2,2,,406
