name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
"#Burn Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,
Skipjet Injector,istl_jetinjector,1,,,,,,,,,2,5,1,10,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,graphics/ISTL/icons/hullsys/istl_jetinjector.png
Heavy Burn,istl_heavyburn,1,,,,,,,,,1.5,5,1.5,12,TRUE,,,,,,,TRUE,TRUE,,,,graphics/ISTL/icons/hullsys/istl_jetinjector.png
Ramming Mode,istl_ramdrive,1,,,,,0.25,,2,0.05,2.5,4,1.5,4,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,graphics/ISTL/icons/hullsys/istl_jetinjector.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Skipjets",,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulsed Skipjets,istl_pulsejets_ftr,,,,,,,,2,0.1,0.3,1.2,0.1,0.5,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_pulsejets.png
Pulsed Skipjets,istl_pulsejets_frg,,,,,,,,2,0.12,0.5,0.5,0.5,0,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_pulsejets.png
Pulsed Skipjets,istl_pulsejets,,,,,,,,3,0.1,0.5,0.5,0.5,0,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_pulsejets.png
RCS Jets,istl_dockjets,,,,,,,,,,0.3,7.7,1,3,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_dockjets.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Teleports",,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRAGE System,istl_mirage_ftr,,,,,,,,,,0.6,,0.2,1.8,,TRUE,,TRUE,,,,,,,,,graphics/ISTL/icons/hullsys/istl_mirage.png
MIRAGE System,istl_mirage_sm,,,,,,,,2,0.12,0.6,,0.2,0,,TRUE,,TRUE,,,,,,,,,graphics/ISTL/icons/hullsys/istl_mirage.png
