name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Ballistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horn Attack Gun,istl_NTKcannon,0,,300,700,,75,,5,25,6,,,,HIGH_EXPLOSIVE,90,,,0.75,1,,0,5,1,15,,900,,,75,,,,"he6, dmecivil_bp, dmecore_bp, dmeballistic_bp, dmerefit_bp, revolutionary, merc",,Dassault-Mikoyan,,Anti Armor,,,,,Long-rod penetrator rounds deal an additional %s damage to armor. This damage is not reduced by armor.,25,,,,1
Howler Cannon,istl_howler,1,,2000,800,,275,,15,15,10,,,,HIGH_EXPLOSIVE,350,,,2,1,,1,6,1,10,,850,,,300,,,,"he13, dmeadv_bp, dmeballistic_bp, revolutionary, merc",,Dassault-Mikoyan,,Anti Armor,,,,,Long-rod penetrator rounds deal an additional %s damage to armor. This damage is not reduced by armor.,75,,,,2
Howler LBX,istl_howler_lbx,3,,0,800,,50,,5,25,6,,,,HIGH_EXPLOSIVE,60,,,1,1,,0,5,1,15,,850,,,75,,,SYSTEM,,,,,,,,,,,,,,,1
Whistler Jetrifle,istl_whistler,2,0.5,3600,700,,90,,10,20,12,12,2,6,HIGH_EXPLOSIVE,120,,,0.45,3,0.15,2,10,2,15,,1200,,,100,,,DO_NOT_CONSERVE,"he12, istl_snri1t, no_dealer, restricted",,SNRI Labs,,Anti Armor,,,,,Long-rod penetrator rounds deal an additional %s damage to armor. This damage is not reduced by armor.,25,,,,3
Howlspear Strike Cannon,istl_hellspear,2,,4800,1200,,500,,75,5,20,,,,HIGH_EXPLOSIVE,750,,,3.3333,1,,1,6,2,10,,1000,,,600,,,"STRIKE, USE_VS_FRIGATES","he16, dmeadv_bp, dmeballistic_bp",,Dassault-Mikoyan,,Anti Armor,,,,,Long-rod penetrator rounds deal an additional %s damage to armor. This damage is not reduced by armor.,250,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripper Flechette Gun,istl_ripper,0,,1200,700,,200,,5,45,9,50,2.5,10,FRAGMENTATION,50,,,0.1667,5,0.1667,2,8,1,15,,1200,,,200,,,"PD, PD_ALSO","he9, dmeballistic_bp, deserter_bp, merc",,Dassault-Mikoyan,,General,,,,,,,,,,6
Revanche Flechette Cannon,istl_revanche,1,,6000,900,,200,,5,30,18,100,3.75,10,FRAGMENTATION,50,,,0.1,5,0.1,3,12,1,15,,1200,,,200,,,"PD, PD_ALSO, IGNORES_FLARES","he15, dmeballistic_bp, deserter_bp, merc",,Dassault-Mikoyan,,General,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
