id,trigger,conditions,script,text,options,notes
#RULESET_NAME DERules,,,,,,
,,,,,,
# Trade panel flavor text,,,,,,
flavorTextMarketDEDrakon,TradePanelFlavorText,"$market.id == drakon score:1000
$global.tradePanelMode == MARKET","AddText"" As your shuttle descends down the central shaft of the port, you can't help but note how bleak the entire concourse looks. As soon as you disembark, a cold breeze chills you; it seems the heating systems here are either being underused to cut costs, or that the ambient temperature is so frigid that not even the Sector's best thermoheaters can get rid of the deathly cold. The landing area is only populated by a few freighters loading organics for shipment. A dour-faced Diktat logistics officer, evidently resentful of their duty, lazily processes you before moving on to the other incoming ships, for which there are very few.""marketFlavorTextColor",,,
flavorTextMarketDEDrakonSneak,TradePanelFlavorText,"$market.id == drakon score:1000
$global.tradePanelMode == MARKET
$player.transponderOn == false","AddText"" The shuttle lands in the bottom of a crater blackened from past eruptions of organics. Even in your suit you can still feel the cold as you walk across the frozen surface of Drakon towards a nearby maintainence shaft. Upon getting inside, you can feel the suspicious stares of off-duty workers piercing through you as you make your way to the port marketplace without being detected by the patrolling guards in the organics harvesting facility.""marketFlavorTextColor",,,
flavorTextMarketDERavaryea,TradePanelFlavorText,"$market.id == ravaryea score:1000
$global.tradePanelMode == MARKET","AddText"" The air-conditioned main port concourse is populated by a flurry of peddlers selling tourism-related wares, like souveniors or figurines. Many of the usual traits of a Diktat market are absent here, like the noisome propaganda posters, likely to make the planet more accomodating to tourists hailing from other factions. Upon booting up your TriPad, you are imediately assaulted with advertisements for the many planetside amusement parks and zoos, and it takes almost a minute to clear them out. You follow the signs hung on the ceiling of the port, directing you towards the marketplace.""marketFlavorTextColor",,,
flavorTextMarketDERavaryeaSneak,TradePanelFlavorText,"$market.id == ravaryea score:1000
$global.tradePanelMode == MARKET
$player.transponderOn == false","AddText"" Your shuttle lands in the thick of one of the few primary jungles covering Ravaryea so as to avoid detection. Walking out of the shuttle, you are immediately assaulted by the smell of lush greenery and surprisingly humid and hot air, considering the distance of Ravaryea from its sun. Trudging through the thick jungle, you endure almost an hour of insect bites and noisy animal calls before finally reaching a boardwalk trailing along the villas used as habitation for more affluent tourists. The suspicious and alarmed glares of the inhabitants are quickly quelled by your half-hearted excuse that you were a worker checking up on the 'lights in the jungle', and you follow the boardwalk and wooden signs towards the main port concourse. "" marketFlavorTextColor",,,
flavorTextMarketDEViewport,TradePanelFlavorText,"$market.id == andor_viewport score:1000
$global.tradePanelMode == MARKET","AddText"" After touching down in the large and spacious port concourse, you enter the main hall to be greeted with the main entrance of the Lion's Guard Campus, complete with a large purple banner reading 'Serve the Lion, Enrol Now!' draped over it. All around you are students rushing from place to place, or reading books on benches and tables, or chatting with friends. After being processed by the entrance guards, you are escorted to the right wing of the campus, which is where you're told the military equipment and ships are sold, away from the prying eyes of mischievous Guard students."" marketFlavorTextColor",,,
flavorTextMarketDEViewportSneak,TradePanelFlavorText,"$market.id == andor_viewport score:1000
$global.tradePanelMode == MARKET
$player.transponderOn == false","AddText"" Your shuttle stops over a maintainence shaft in the bowels of the main concourse, away from the many prying eyes of the Diktat patrols surrounding the upper structure. Walking through the dark shaft, you make it into a maze of corridors, apparently one of the lower levels of the academy. A few students pass by you, but they seem to have more pressing matters on their minds than worrying about your presence. "" marketFlavorTextColor
AddText ""After finally decoding the astonishingly convoluted maps of the academy, you manage to stumble your way to the right wing and somehow manage to make yourself look like a person who was authorized to come here. While most legal traders refuse to trade to you without express evidence that you were authorized, other less scrupulous or desperate traders are more than willing to sell you wares."" marketFlavorTextColor",,,
flavorTextMarketDERyzan,TradePanelFlavorText,"$market.id == ryzan_supercomplex score:1000
$global.tradePanelMode == MARKET","AddText"" Weaving through the jutting irregularities of protruding hab-modules, your shuttle makes its way to the gargantuan port module situated in the centre of the complex. The main port concourse is extremely crowded with everything from tramp freighters to transit shuttles to Dikat-marked combat ships residing in the spaceport. Outside of thick multi-layered glass windows, you can faintly see the starlight glint on bronze colour that signifies the multiple Diktat fleets perpetually standing guard over Ryzan Supercomplex."" marketFlavorTextColor
AddText "" Curiously, on many surfaces, there are reminders to always follow the map of Ryzan Supercomplex given to all spacers who enter it, with a reference to a helpline operated by the Diktat for anyone 'lost in the depths of the Ryzan Supercomplex'. On promenant bulkheads there lie massive maps of the full station; concerningly, dozens of Missing posters cover the area around these maps, the oldest of which are already yellowing and frayed at the edges."" marketFlavorTextColor",,,
flavorTextMarketDESindria,TradePanelFlavorText,"$market.id == sindria score:1000
$global.tradePanelMode == MARKET","AddText"" Due to the close proximity of Sindria to Askonia, approaching it on the daylight side is nothing less than suicide; Instead, Sindria operates multiple port concourses, all connected to the surface by heavily-insulated blast doors, and whichever port is on the night side is used. Descending through one such opening, your shuttle enters into a cavernous space where dozens of ships, mostly Diktat warships crowd in the subterranean volume. "" marketFlavorTextColor
AddText ""Being the capital of the Sindrian Diktat, the propaganda ministry has doubled down on its efforts to indoctrinate anyone who sets foot here; on almost every surface there lies at least one purple-white banner, Andrada holoprojector or holoscreen broadcasting propaganda films. "" marketFlavorTextColor",,,
flavorTextMarketDETriTachyon,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == tritachyon
$marketSize >= 4","AddText"" Instead of the usual peddlers, the port concourse is littered are ceaseless holo-ads for Tri-Tachyon licensed brands, touting everything from fast-food to holovision series and jewelry; as well as many shops selling psychoactive substances usually barred in other markets. Tri-Tachyon officials brief offloading merchants on the latest deals on the commodity markets, while in shady bars loan sharks cut deals with the cash-strapped. Many ships docked here are noticably shinier than normal; likely the freighters of wealthy merchants who made a fortune off drug-running or smuggling heavy arms from Tri-Tachyon markets to whoever pays for them the most. "" marketFlavorTextColor
AddText ""A Tri-Tachyon franchise official welcomes you and offers to update your PDA with the latest Company rates for the local commodity market."" marketFlavorTextColor",,,
flavorTextMarketDEEochuBres,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == eochu_bres score:1000","AddText"" Flying over alpine forests, desolate tundras and the remarkably picturesque villas of rich Tri-Tachyon executives, your shuttle touches down in the main port concourse in Xanadu. As the cheapest producer of psychoactive chemicals in the Sector, Eochu Bres is a hub of activity, with dozens of grizzled freighters loading various questionably legal goods, likely bound to be smuggled to the rest of the Sector. Even from the windows here you can see the distant plumes of factory columns llittering the snowy landscape; you idly wonder if the workers in those factories are really being paid, or if they are slaves to collosal debts to the Corporation. "" marketFlavorTextColor",,,
flavorTextMarketDEFreeport,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == askonia_abandoned_station_market score:1000","AddText"" Approaching the cold derelict of the station, one can clearly make out the gaping hole in its centre; the result of the self-destruct of the station's reactor. Despite this, some back-up reactors seem to still be functional, providing enough power to the station to operate the few docking ports that still lay intact. Anything that wasn't destroyed or bolted down has long been looted; your salvage teams note a few gutted frieighter and shuttle wrecks within the maws of the docking ports. This means, you hope, that nobody will come around here to salvage for a long time. "" marketFlavorTextColor
AddText "" Despite having been destroyed over a decade ago, many of the intact segments within the station bear heavy rad-scarring from the weapons fire and residual meltdown radiation from the battle that happened so long ago, making them unsuitable for any usage. In spite of this, your salvage crews identify some general storage areas that are battered and rad-free enough to act as makeshift storage spaces. "" marketFlavorTextColor",,,
flavorTextMarketDEKukayin,TradePanelFlavorText,"$market.id == kukayin score:1000
$global.tradePanelMode == MARKET","AddText"" The independent polity in rule here seems to have taken much inspiration from the Corporation it seceded from; the crest looks suspiciously familiar to the Tri-Tachyon logo, the banners are coloured in a blue colour of only a somewhat different shade from Tachyon blue. Much of the sights here mirror those at any normal Tri-Tachyon market, minus the surprisingly common sights of obviously high workers on their breaks. "" marketFlavorTextColor
AddText ""A cheerful attendant greets you and shows you a standard catalogue of all the commercially available drugs for sale at Kukayin, for both personal use and for export purposes. "" marketFlavorTextColor",,,
