name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
# Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Flurry,de_flurry,,Sindrian Diktat,flarelauncher_fighter,,750,150,800,,50,0,,175,200,100,90,100,80,FRONT,,240,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Bretasinge,de_bretasinge,,Sindrian Diktat,ammofeed,,600,50,500,,50,0,,110,75,50,90,75,300,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Bretais,de_bretais,,Sindrian Diktat,,,300,50,400,,50,0,,175,400,200,90,180,30,OMNI,,120,0,0.8,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Flurry(LG),de_flurry_LG,,Lion's Guard,flarelauncher_fighter,,500,100,500,,50,0,,140,150,75,90,75,120,FRONT,,240,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Bretasinge(LG),de_bretasinge_LG,,Sindrian Diktat,,,1000,150,800,,100,0,,50,50,25,270,100,400,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Bretais(LG),de_bretais_LG,,Lion's Guard,,,250,50,400,,50,0,,200,500,250,90,180,30,OMNI,,120,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Nephrops,de_nephrops,,Sindrian Diktat,flarelauncher_fighter,,400,30,400,,50,0,,175,200,100,90,100,100,FRONT,,270,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Metanephrops,de_metanephrops,,Sindrian Fuel Company,flarelauncher_fighter,,400,30,400,,50,0,,175,200,100,90,100,100,FRONT,,270,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Homarus,de_homarus,,Lion's Guard,flarelauncher_fighter,,800,75,1000,,50,0,,125,100,50,90,100,150,FRONT,,270,0,0.8,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,
Mining Pod(LG),de_miningpod,,Sindrian Diktat,,,50,5,500,,100,0,,325,500,450,180,360,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Woodpecker,de_woodpecker,,Sindrian Diktat,,,600,100,500,,100,0,,140,150,75,60,100,60,FRONT,,270,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Langusta,de_langusta,,Pirate,flarelauncher_fighter,,650,65,750,,50,0,,110,100,50,90,100,150,OMNI,,180,0,1,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,
Babirusa(LG),de_babirusa_LG,,Lion's Guard,flarelauncher_fighter,,700,150,300,,50,0,,120,100,50,90,100,40,FRONT,,270,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Frigates and Modules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exult Shield Module,exult_shield_module,Shield Module,Midline,fortressshield,0,1000,100,7500,1500,250,0,,0,0,0,0,0,200,FRONT,,170,0.5,0.8,,,0,0,,,,,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,,
Legate Mount Module,de_legate_mount,Gun Module,Midline,,0,1000,100,7500,1500,250,0,,0,0,0,0,0,200,NONE,,1,1,1,,,0,0,,,,,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,,
Mynah,de_mynah,Corvette,Sindrian Diktat,maneuveringjets,3,1250,125,2000,1875,150,35,,175,200,100,180,120,200,FRONT,,150,0.4,1,,,10,20,10,5,1,20,10,8000,10,20,120,0.25,2,2,,,,,,,,"diktat_bp, sindrian_diktat, merc",,0.75,2,2,,1
Mynah(LG),de_mynah_lg,Corvette,Lion's Guard,de_temporaloverdrive,3,750,75,3000,1875,250,35,,200,300,150,180,120,200,FRONT,,150,0.4,0.9,,,10,20,10,5,1,20,10,10000,10,20,120,0.25,3,3,,,,,,,,"LG_bp, sindrian_diktat, no_dealer",,1,2,2,,2
Regulus,de_regulus,Frigate Leader,Sindrian Diktat,de_drivefieldmodulator,9,4500,200,5000,1875,250,70,,100,60,40,40,70,250,OMNI,,180,0.4,1,,,50,100,50,25,1,20,10,20000,10,20,240,0.25,9,9,,,,,,,,"diktat_bp, sindrian_diktat, merc",,0.5,2,3,,3
Regulus(LG),de_regulus_lg,Frigate Leader,Lion's Guard,de_drivefieldmodulator,12,3500,150,5000,1875,250,60,,80,40,20,30,40,350,OMNI,,120,0.4,0.9,,,75,150,25,10,2,20,10,40000,10,20,240,0.25,12,12,,,,,,,,"LG_bp, sindrian_diktat",,0.5,2,3,,3
