name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Shield Polarity Inverser,de_polarityinverser,,,,,,0.4,,,,0.5,10,1,20,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
Capacitor Augment,de_capacitoraugment,,,,,,-0.25,,,,0.5,5,1,20,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Capacitor Discharge,de_capacitordischarge,,,,,,-0.5,,,,0.5,10,1,30,,,,,,,,,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
Temporal Overdrive,de_temporaloverdrive,,,,,,,,,,0.5,20,1,999999,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Conduit Shroud,de_conduitshroud,1,,,,,,,,,0.25,7,0.25,1,,,,,TRUE,,,,TRUE,TRUE,,uses_damper_ai,graphics/icons/hullsys/damper_field.png
Drive Field Modulator,de_drivefieldmodulator,,,,,,,,,,0.5,20,0.5,40,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Vector Manipulator,de_vectormanipulator,,,,,,0.25,,,,0.5,5,0.5,15,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,#20(counduit),,,,,,,,,,,,,
