id,type,text1,text2,text3,notes
station_opis_mining,CUSTOM,"Once the battlestation orbiting Opis, this station defended its host planet with an unbreakable veneer said to scare off all but the bravest(or most suicidal) enemies. When Opis was destroyed by the Planet-Killer device, the station itself escaped destruction, though it was heavily damaged. Trailing fusion fire and lacking many vital components, most, including the Sindrian Diktat at the time, left it to drift in the Opis Ring as yet another derelict structure.

Away from the prying eyes of the Diktat, a minor Independant polity formed within the dessicated hulk of the station, fending off prospective looters and subsisting on occasional supply shipments brought in by passing convoys. After a decade of such living, faced with the detiororation of what was left of the station's life support systems and the rapid worsening of living conditions aboard, the polity signed an agreement with the Sindrian Diktat; in return for refurbishing the station into workable condition, the polity would join the Sindrian Diktat.

Nowadays, the rechristened Opis Mining Platform acts as the central collection hub and processing facility for mining operations spanning the mineral rich Opis RIng. Retaining its combat modules from the days of the Askonia Crisis, it acts as a safe port for those who wish to earn a fortune mining rich ore belts or tech-mining the remains of Opis, yet are not quite as desperate as the workers at Cruor. Since it's restoration, millions of refugees from Volturn have been moved to the slightly more comfortable hab-rings of the Opis Mining Platform, swelling its population and providing the industries there with plenty of fodder to put to work.",,"Many critics, both within and outside the Diktat have criticised the continued existence of the Opis Mining Platform, as well as questioned the payout for the otherwise considerable effort needed to restore a station of such scale to the state it currently operates at. Of course, the Diktat would never make such an investment for such trivialities as sentimentality; as your shuttle lands on the docking strip and you dis-embark, the massive sheets of metal being prepared for export around you make clear the Diktat's purpose for restoring such a structure.

Not only being the main orbital defense of Opis, Opis Station also contained an extensive refinery on a scale not possible anywhere else in Askonia. While much of the refinery was heavily damaged during the Askonia Crisis and was hence rendered inoperable, DIktat efforts to restore this facility have proven successful and now, the Opis Mining Platform is a major exporter of metals and transplutonics, raking in a considerable profit this way as well as further alleviating Diktat reliance on exports.",
station_salus_siphon,CUSTOM,"A comparatively new station compared to other structures like the Opis Mining Platform, this station was intended to be the crux of Sindrian Diktat autarky policies, to rid them of a persistent volatiles crutch that existed since Umbra broke off from the Diktat. Whisking volatiles from the magnetosphere of Salus, the station provides the Diktat with a modest supply of volatiles, which is nontheless essential to the Diktat's efforts.

Unlike the older stations of Sindria and the Opis Mining Platform which follow after their original builders, the Domain, in low-tech design, or like Volturn Station which took after the midline school of thought, the Salus Siphon Platform uses techniques and styles from the high-tech school of design. This has lead to controversy about how the Diktat built the station, with the most popular theory being that the Diktat hired the Tri-Tachyon to build, or haul, a station there. Such baseless rumours are vehemently denied by Diktat officials.",,"Unlike the crowded bustle of other Diktat territories like Volturn or Sindria, the Salus Siphon Platform is sparsely populated in comparison. Only a population in the mere tens of thousands live here, mostly professionals who have the expertise necessary to operate the delicate siphon equipment. As the station itself was not built to accomodate large masses of people, refugees were not allowed aboard it, with only a few with the aforementioned skills being allowed to reside there.

The docking zone is fairly empty, likely due to this reason; Only a few ships have landed here, mostly traders looking to ship volatiles somewhere else or Diktat convoys performing in-system routes to Sindria. Of course, it isn't a Sindrian Diktat territory without the propaganda; Everywhere you look, posters and holograms proudly showing the Lion's face to everyone in sight can be seen.",
planet_drakon,CUSTOM,"Named for the dragon-like megafauna that once dominated the planet, Drakon is a mercilessly cold world rivaling even Umbra in frigidity. Much of the organics harvesting and processing plants lie underground, with almost no sign of human habitation on the surface. Not many would come here willingly, feeding rumours that the Diktat sends their prisoners here to work their usefulness away deep under the frozen crust.

According to archaelogical finds, Drakon was once a lush paradise in the heart of the Askonia system, enjoying the warmth of its parent star when it was still middle-aged. However, a few hundred million years ago, Drakon suffered a catastrophic collision with another planetary body, causing the extinction of much of the local fauna and sending the planet into a slow spiral outwards from the Askonia system. Eventually, anything that survived the initial impact died to the lowering temperatures, as Drakon slowly but surely froze over. Not even the aging of Askonia into a red giant could heat up the now long-frozen planet. By the time the Domain arrived, it was nothing different from hundreds of other barren rocks in the Sector.

What remains of life on this planet was buried deep under its crust; massive oceans of organics dwell underneath Drakon, occasionally erupting onto the surface in black gouts that soon freeze, forming bands of greyish black along the planet's surface. However, these massive reservoirs of organics went untouched until recently, as nobody would willingly immigrate to such an inhospitable world without payment, and most decided that the costs of hazard pay overruled any possible profits made. This changed when the Diktat arrived; supposedly, they did so as they could waive the costs of hazard pay by bringing in prisoners from Cruor; helping them secure the profitable organics reserves for minimal costs. Of course, these are all frivolous rumours propagated by anti-Diktat elements; surely no faction would be so heartless as to force prisoners onto this hellhole of a planet.",,"From orbit, the planet seems almost dead; only the flickers of lights surrounding surface-bound maintainence and emergency shafts serve as evidence that humans even live on it. The entire planet is only serviced by a single, small port; and this port itself is nothing more than a large hole drilled into the ground protected by a massive set of blast doors. Evidently, the Diktat did not intend for this planet to see heavy traffic; the only other ships that come here are those of mercantile convoys ferrying organics to other markets.",
planet_parthevia,CUSTOM,"The barren moon of Drakon, this body is theorized to have formed out of the debris surrounding Drakon after the collision that pushed it out to the fringe of the Askonia system. Despite this, the moon did not have much characteristics or resources of interest for the Diktat, hence never being colonized.

Despite the apparent disinterest towards this moon by any major power, tales of weak EM signatures and faint lights being observed from this planet have sowed the seeds for conspiracy theories claiming that Parthevia is home to a series of underground secret Diktat military bases testing novel and experimental technologies. Such rumours are generally brushed off as the ravings of madmen by more sound-minded spacers.",,,
de_diktat_cnc,CUSTOM,"The heavily armed and shielded bastion over Sindria, this massive station takes solemn guard over its host planet, and hosts much of the administrative structures for governance of the planet below, whenever deemed too valuable to risk being put with the commoners and possible terrorist attacks. Some say it keeps an eternal, watchful eye on Sindria, waiting for any sign of dissidence to pop up, and disappear them into the pages of history. To that point, it's often depicted in Sindrian folk stories as a thousand-eyed deity, watching for anyone who steals, cheats or sleeps too late at night to drag them to Hell.",,"Upon closer inspection, it becomes obvious that the station once had a large coat of Lion's Guard paint; however, intense solar winds from Askonia have long since stripped most of it off, leaving nothing but dirty streaks of the once grand crests dotting the station. Closing in to the gigantic station, it's obvious every part of it is also heavily armoured head to toe; as well as signs of what you identify as a station-wide variant of Solar Shielding. Docking inside a large hangar bay guarded by an intimidatingly large set of blast doors with the Diktat crest painted over them, you depart your shuttle and move into the depths of the surprisingly crowded station.",
de_volturn_juturnus,CUSTOM,"Once a luxury habitat containing the system's finest casinos and residences to please the wealthy, the Juturnus Control Garrison's role hasn't actually deviated too far since then; the station serves as the residence of anyone priveliged enough to not be forced to live on Volturn's actual surface. With its vast casino hallways converted into military barracks, it now serves as the local headquarters for the garrison that keeps a shaky rule over the riotous planet below.",,"The station still sports glamorous arches and pillars all along its berth, tasteful remnants of its former role; while much of this has been preserved, the lower arches have noticeably been crudely cut open to sport large ship hangars for the garrison's patrols. Midline combat modules, hastily welded onto the upper sections of the station, lazily track your fleet's arrival with their weapon arcs.",
phrygian_immigration,CUSTOM,"The Phrygian Immigration Checkpoint is a small station put into orbit over the Salus L4 Jump Point by the Diktat to perform security checks, willing or unwilling, on any fleet that attempts to enter the system by this jump point. Crewed by a relatively small population due to the boredom of this job; most scans are autonomously conducted by Delta-level AIs and most personnel are solely there as punishment, because they fail to qualify for anything better or for some other reasons.",,"As you close to the station, your fleets report an intrusive fleetwide scan originating from it; evidently Phrygian will do its job regardless of consent. The admin you contact on it just tells you to ""not worry about it"".",
planet_bardonia,CUSTOM,"Primarily composed of hydrogen and helium gases. The temperature and pressure at the core are extreme, but not enough to sustain the deuterium fusion that would turn the planet into a brown dwarf star.

Before the Collapse, Bardonia was renowned for its posse of moons, meticulously terraformed into lush paradises that each provided a unique and memorable view. From thick tropical jungles to vast grassy plains, towering redwood forests to shifting desert sands, each moon offered an experience nothing like the one before. Known as the number one tourist attraction in the local galactic venue and a must-go for any vacationeer this side of the galaxy, the moons enjoyed a wealth of income from their lucrative tourism industries.

However, everything changed when the Collapse occurred. Suddenly cut off from their main(and in many cases only) form of income, society on many moons quickly decivilized. The few remaining civilized moons survived on crude and previously useless secondary industries, banding together to form the Andor Polity. Despite this, the moons retained their lush biospheres and such jewels were too valuable to simply ignore for the major powers of the Sector. Many of these moons were colonized by the Hegemony, League, Tri-Tachyon and even some taken by privateers and independants. There existed a tenuous peace between them for decades.

Though, if one looks on now, the moons of Bardonia look nothing like the tourist worlds they once were. Many are now barren balls of rock, retaining no trace of life or anything economicaly useful at all. Nobody quite knows what happened to them; any residual information that was not deleted with the Hypernet was thoroughly censored by Tri-Tachyon for reasons unknown. The only known information about this event is that it is called the Razing of Bardonia's Moons among spacers, and that it resulted in almost all of Bardonia's moons becoming barren wastelands. Of course, there are always rumors, conspiracies and theories but most are so far-fetched they could only be the work of a rad-addled mind that's spent far too much time under a Gremlin's phase coil.",,,
planet_bardonia_moon_generic,CUSTOM,"Once one of Bardonia's ""tourist moons"", this moon is barren and dead now for reasons unknown. A thin, reduced atmosphere stubbornly clings on to the moon, a remnant of its once habitable atmosphere. A cursory scan brings up meagre deposits of ores and rare ores, but considering the danger of settling a colony here and their miniscule quantity, it would be unwise to colonize this moon.",,,
planet_ravaryea,CUSTOM,"The newest of Bardonia's ""tourist moons"", Ravaryea was in the midst of being terraformed when the Collapse occurred. It was relatively unaffected by the chaos of the Collapse as no humans lived on the moon at that time, and the terraforming drones slowly turned it from the barely-habitable rock it was on the eve of the Collapse into a lush jungle world. The League was in the midst of preparing a colonization convoy to it when Ravaryea, like all of Bardonia's moons were suddenly reduced back into barren rocks. In a twist of fate, whatever had consumed Ravaryea's biosphere did not, or could not, severely damage the terraforming drones that had created that biosphere, and they resumed their mindless work, re-terraforming Ravaryea. Now, due to their work, it is the only habitable moon in Bardonia's orbit, even if ""habitable"" may be a minor overstatement.

The razing of Bardonia's moons permanently cut any major faction's interest in the system; it's only strategic value depleted, most factions made no move to recolonize Andor. Hence, the Diktat managed to pluck Ravaryea out from under the other power's noses; it is now a bastion of authority in the Andor system, or whatever authority is left anyway.",,"Ironically, Ravaryea has followed in the footsteps of the other moons of Bardonia, earning much of its profit from tourism related activities, while still maintaining a decent secondary profit from farming and mining activities exploiting its modest reserves of organics. With the more terraformed parts of Ravaryea boasting bountiful jungles rivaling those of Jangala while not having a human-deadly biosphere, or without the cumbersome anti-technology restrictions placed on tourists on Gilead, there is understandably a high demand to spend a vacation on what is one of the more beautiful planets in the Sector with few of the disadvantages to boot. To this end, Ravaryea contains the highest percentage of tourist attractions in the Sector; definitely a must-go for any prospective traveler with enough credits in their pockets. Even the Diktat has been quick to play themselves into this advantage, making the planet as accomodating as possible for tourists from any faction.",
