name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,,,,customAncillaryHL,noDPSInTooltip,number,
# OBTAINABLE WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incisor MRM,de_incisor,1,,100,3000,,100,,40,60,2,6,,,KINETIC,0,,0,1,3,,0,0,0,,,700,100,12.5,50,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile8, strike2, missile_bp, merc",,Sindrian Diktat,,Anti Shield,Very Fast,Excellent,,,,,,,TRUE,11,
Incisor MRM Pod,de_incisorpod,1,,1000,3000,,100,,40,10,6,30,,,KINETIC,0,,0,2.5,3,0.25,0,0,0,,,700,100,12.5,50,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile8, strike2, missile_bp, merc",,Sindrian Diktat,,Anti Shield,Very Fast,Excellent,,,,,,,TRUE,12,
Incisor MRM Maw,de_incisormaw,1,,3500,3000,,100,,40,5,18,600,,,KINETIC,0,,0,2.5,5,0.25,0,0,0,,,700,100,12.5,50,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile8, strike2, missile_bp, merc",,Sindrian Diktat,,Anti Shield,Very Fast,Excellent,,,,,,,TRUE,13,
Cruor Driver,de_cruordriver,3,0.3,5000,1000,,200,,10,20,22,,,,HIGH_EXPLOSIVE,200,,0,4.4,5,0.3,0,5,1,10,,900,,,30,,,,"he16, LR, remnant, rare_bp, merc",,Sindrian Diktat,,Anti Armor,,,,,,,,,,14,
Tactical Superlaser,de_tacsuperlaser,2,0.5,5500,1000,375,,,0,20,25,,,,ENERGY,,375,0.1,0.1,,,,,,,2400,,,,,,,,"beam9, LR, hightech_bp, midline_bp, merc",,,,Suppression,,,,,,,,,,15,
PD Scattergun,de_scatter,1,,300,300,,10,,1,75,5,,,,ENERGY,5,,0,0.05,1,,0,15,1,15,,800,,,10,,,PD,"pd7, SR, hightech_bp, midline_bp, merc",,,,Point Defense,,,,,,,,,,16,
Annihilator Rocket Shoal,de_shoal,2,,4500,1500,,100,,5,30,18,400,,,HIGH_EXPLOSIVE,0,,0,5,40,,0,0,0,0,,400,50,3.75,50,,,CONSERVE_1,"rocket7, strike0, missile_bp, merc",,Sindrian Diktat,,Anti Armor,Fast,None,,,,,,,,12.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# UNOBTAINABLE WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graviton Lance,de_gravitonlance,,0,,1000,2000,,500,0,1,0,,,,KINETIC,,2000,0.1,0.1,1,4,,,,,10000,,,,,,,"FIRE_WHEN_INEFFICIENT, SYSTEM","lanceshot, no_drop",lanceshot,Sindrian Diktat,,Suppression,,,,,,,,,,27,
Incisor MRM Burst,de_incisorburst,,0,,300,,250,,40,60,3,5,,,KINETIC,0,,0,0.05,5,,0,0,0,,,900,100,12.5,150,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES, SYSTEM","missile8, strike2, no_drop",,Sindrian Diktat,,Anti Shield,Very Fast,None,,,,,,,TRUE,11,
Short-Range Mining Lance,de_mininglaser,,0,,200,50,,,0,80,0,,,,ENERGY,,10,0.05,0.05,,,,,,,2400,,,,,,,"PD, SYSTEM","beam0, energy0, pd0, no_drop",,,,Point Defense,,,,,,,,,,16.5,
Langusta Left Claw,de_langusta_clawleft,,0,,500,,30,,3,20,0,,,,KINETIC,0,,0,0.3,1,,0,8,2,15,,800,,,20,,,SYSTEM,"kinetic6, no_drop",,,,Anti Shield,,,,,,,,,,2,
Langusta Right Claw,de_langusta_clawright,,0,,700,,80,,12,30,0,,,,HIGH_EXPLOSIVE,0,,0,0.7,2,0.3,0,20,5,5,,500,,,30,,,SYSTEM,"he11, no_drop",,,,Anti Armor,,,,,,,,,,3.9,
Integrated Autopulse Carbine,de_pulsecarbine,,0,,800,,100,,0,1,0,100,5,,ENERGY,150,,0.05,0.05,1,,0,10,1,5,,1000,,,,,,SYSTEM,"energy18, no_drop",,,,General,,,,,,,,,,25,
Modified Squall MLRS,de_squall,,0,,2500,,250,100,15,20,0,1,,,KINETIC,0,,0,1,1,0.5,0,0,0,0,,600,100,10,200,,,"DO_NOT_AIM, STRIKE, MISSILE_SPREAD, SYSTEM","missile19, strike15, no_drop",,Sindrian Diktat,,Suppression,Very Fast,Special,,,,,,,,1,#16.2
Devastator Barrage,de_devestator_barrage,,0,,800,,100,,40,60,0,60,,20,HIGH_EXPLOSIVE,25,,0,2,20,0.1,5,30,5,5,,700,,,100,,,"PD, PD_ALSO, SYSTEM","he16, pd14, no_drop",,Sindrian Diktat,,Anti Fighter (Area),,,,,,,,,,2,
Nephrops Left Claw,de_nephrops_clawleft,,0,,500,,50,,10,20,0,,,,FRAGMENTATION,0,,0,1,1,,0,10,2,10,,700,,,30,,,"PD, SYSTEM","pd13, no_drop",,Sindrian Diktat,,Light Point Defense (Area),,,,,,,,,,3,
Nephrops Right Claw,de_nephrops_clawright,,0,,500,,50,,10,20,0,,,,FRAGMENTATION,0,,0,1,1,,0,10,2,10,,700,,,30,,,"PD, SYSTEM","pd13, no_drop",,Sindrian Diktat,,Light Point Defense (Area),,,,,,,,,,4,
Metanephrops Left Claw,de_metanephrops_clawleft,,0,,500,,50,,10,20,0,,,,FRAGMENTATION,0,,0,1,1,,0,10,2,10,,700,,,30,,,"PD, SYSTEM","pd13, no_drop",,Sindrian Fuel Company,,Light Point Defense (Area),,,,,,,,,,5,
Metanephrops Right Claw,de_metanephrops_clawright,,0,,500,,50,,10,20,0,,,,FRAGMENTATION,0,,0,1,1,,0,10,2,10,,700,,,30,,,"PD, SYSTEM","pd13, no_drop",,Sindrian Fuel Company,,Light Point Defense (Area),,,,,,,,,,6,
Homarus Left Claw,de_homarus_clawleft,,0,,800,300,,,0,20,0,,,,ENERGY,0,,0.25,0.5,1,10,,,,,3200,,,,,,,SYSTEM,"energy14, beam10, no_drop",,Sindrian Diktat,,Suppression,,,,,,,,,,7,
Homarus Right Claw,de_homarus_clawright,,0,,200,200,,,0,40,0,9,,3,HIGH_EXPLOSIVE,0,,0.1,0.1,3,5,,,,,10000,,,,,,,SYSTEM,"pd13, no_drop",,Sindrian Diktat,,Anti-Armour,,,,,,,,,,8,
Squall MLRS Tube,de_squall_tube,,0,,2500,,250,100,15,20,0,,,,KINETIC,100,,0,10,10,0.5,0,0,0,0,,600,100,4.75,300,,,"DO_NOT_AIM, CONSERVE_3, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD, SYSTEM","missile19, strike15, no_drop",,Sindrian Diktat,,Suppression,Very Fast,Special,,,Unguided after a brief initial aiming stage.,,,,,9,
Termite SRM Tube,de_termite_tube,,0,,1400,,200,,5,30,0,,,,FRAGMENTATION,75,,0,5,20,0.1,0,0,0,0,,400,100,6,60,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SYSTEM","utility18, missile15, no_drop",,Sindrian Diktat,,Anti Small Craft,Fast,Excellent,,,,,,,,10,
Combat Firework Launcher,de_flaregun,,0,,200,,10,100,0,40,0,,,,ENERGY,0,0,0,10,5,0.1,60,60,0,0,,150,300,3,1,,,"PD, SYSTEM","pd2, utility1, no_drop",,Sindrian Diktat,,Anti Missile,,,,,Each flare has a %s chance to divert nearby missiles.,10%,,,TRUE,17,
Targe Autolaser,de_targeauto,,0,,750,100,,,0,10,0,,,,ENERGY,,100,0.1,0.1,,,,,,,3200,,,,,,,SYSTEM,"beam9, LR, no_drop",,Sindrian Diktat,,Anti Mine,,,,,,,,,,18,
Diffuse Heavy Blaster,de_heavyblaster,,0,,500,,350,,0,15,0,,,,ENERGY,0,,0,1,,,,,,,,1000,,,,,,SYSTEM,"energy14, no_drop",,Sindrian Diktat,,General,,,,,,,,,,22.25,
