id,trigger,conditions,script,text,options,notes
#Commissioned Crews,,,,,,
cc_ix_NGCPickStartingShips,ExerelinNGCStep3,"$playerFaction == ix_battlegroup
!$ix_battlegroup_ChangeMind","AddText ""Commissioned Crews Bonus: Reduce ship system recharge time.""
SetTextHighlights Commissioned Crews Bonus
$ix_battlegroup_ChangeMind = true 0",,,
cc_tw_NGCPickStartingShips,ExerelinNGCStep3,"$playerFaction == ix_trinity
!$ix_trinity_ChangeMind","AddText ""Commissioned Crews Bonus: Increase range of Nimbus drones on Trinity Worlds ships.""
SetTextHighlights Commissioned Crews Bonus
$ix_trinity_ChangeMind = true 0",,,
,,,,,,
#IX Battlegroup,,,,,,
greetingIXFriendly,OpenCommLink,"$faction.id == ix_battlegroup
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknowledging ID codes - good to see you, captain.""
OR
""Your $shipOrFleet has been scanned and identified, everything is in order.""
OR
""Scanned and identified. Good hunting."" $PersonRank $personName gives a salute and signs off with a flash of the 9th Battlegroup insignia.",,
greetingIXHostileWeaker,OpenCommLink,"$faction.id == ix_battlegroup
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""I knew the risks when I signed up. Bring it, then."" The 9th Battlegroup $personRank says with a grim smile.
OR
""Just part of the job."" The 9th Battlegroup $personRank sighs and then cuts the feed.
OR
The 9th Battlegroup $personRank gives you a glare and cuts the line without a word.
OR
The enemy captain looks grim. ""Fine. I'll see you in hell."" There's a pause, and then the feed cuts.
OR
$PersonRank $personName slams on the console. ""If it's a fight you want, you'll get it.""",cutCommLink:Cut the comm link,
greetingIXHostileWeakerDefiant,OpenCommLink,"$faction.id == ix_battlegroup
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"The $personRank sneers contemptuously and then promptly cuts the comm-link.
OR
You're treated to the sight of $PersonRank $personName rudely gesturing, and then to static.
OR
$PersonRank $personName hurls a few epithets and storms off. The feed self-terminates shortly after.
OR
""Think you're real tough, huh? We'll see about that.""
OR
""To the last.""
OR
""For the Ninth.""
OR
The Ninth Battlegroup $personRank taps on a Tri-Pad. $HeOrShe then looks at you. ""Reinforcements on their way. Let's tidy this up, then.""
OR
$personName leans back. ""Screw it. Let's do this.""",cutCommLink:Cut the comm link,
greetingIXHostileStronger,OpenCommLink,"$faction.id == ix_battlegroup
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"The enemy $personRank laughs. ""Ready to die, worm?""
OR
$PersonRank $personName looks confused. ""Whatever you're about to say, I don't care."" They cut the link.
OR
""Oh, I'm gonna love this."" $PersonRank $personName rubs $hisOrHer hands together.
OR
Already in the middle of giving attack orders on $hisOrHer flagship, $PersonRank $personName reaches over and shuts off the commlink without even looking at you.",cutCommLink:Cut the comm link,
greetingIXNeutral,OpenCommLink,"$faction.id == ix_battlegroup
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scanned and identified. If nothing is amiss, you should continue on your way.""
OR
The 9th Battlegroup $personRank looks impatient. ""Is there an emergency to report? No? Then carry on.""",,
,,,,,,
relLevelCooperativeIX,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"You are a highly trusted asset of the 9th Domain Battlegroup, and have unrestricted access to all the advanced warships and weapons that have made its forces rightly feared throughout the Sector. The Panopticon has determined you are vital to the long term success of the Fleet, and has moved to subtly support your endeavors from behind the scenes.",,
