name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Cryoarithmetic Engine,cryoarithmetic_engine,"hist3t, pather4",Domain Restricted,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand, ix_fleet_command","A quantum computer that violates the second law of thermodynamics by getting colder instead of hotter while performing computations.

A massive, planet-wide network of tendrils - ending in heatsinks - extrudes itself, using heat to fuel growth and continued computation. The hotter the planet surface, the more effective the computation engine. The unrivaled processing capacity is a boon to logistical and strategic planning.",170
Synchrotron Core,synchrotron,"hist3t, pather4",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"fuelprod, ix_fuel_production","A specialized nanoforge, loaded with firmware and seed nano-tech to build itself out into a Synchrotron that allows industrial-scale antimatter production.",139.2
,,,,,,,,,,,,,,,
IX Battlegroup Blueprint Package,ix_bp_package,package_bp,IX Battlegroup,0.1,2000000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ixbattlegroup,"A set of rare blueprints that enable heavy industry to produce the near-legendary hulls and weapons employed by the invading IX Battlegroup. Given the exceedingly tight information security of the Fleet, this chip is a priceless treasure that many would kill to obtain.",270.1
IX Honor Guard Blueprint Package,ix_core_bp_package,package_bp,IX Battlegroup,0.1,1000000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ix_core_bp,"A set of rare blueprints that enable heavy industry to produce the near-legendary hulls and weapons employed by the IX Battlegroup Honor Guard. Given the exceedingly tight information security of the Fleet, this chip is a priceless treasure that many would kill to obtain.",270.2
IX Auxiliary Blueprint Package,ix_aux_bp_package,package_bp,IX Auxiliary,0.5,200000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ix_auxiliary,"A set of blueprints that enable heavy industry to produce the hulls employed by the IX Battlegroup foreign auxiliary forces. Despite bearing the colors of the IX Battlegroup, these ships lack the advanced shield and engine upgrades common to the rest of the Fleet.",270.3
Trinity Worlds Blueprint Package,ix_trinity_package,package_bp,Trinity Worlds,0.2,500000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ix_trinity,A set of rare blueprints that enable heavy industry to produce the hulls and weapons employed by the Trinity Worlds. Several designs exhibit ancient signs of data corruption that have since been mended by layers upon layers of patches and workarounds.,270.3
,,,,,,,,,,,,,,,
#Antimatter Stabilizer,ix_antimatter_stabilizer,,IX Battlegroup,,250000,1000,1,,graphics/icons/ix_antimatter_stabilizer.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"A piece of pre-Collapse technology once commonly found inside the central reactor of frontier outposts. With a creative bit of engineering, this device can be incorporated into a fuel production facility to ease antimatter stabilization at scale, greatly improving productivity.

To use the item, speak to the portmaster at a colony you control.",1
Cerebral Biochip (Sword of the Fleet),ix_biochip_sotf,,IX Battlegroup,,200000,1000,1,,graphics/icons/ix_biochip_sotf.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"A biochip that can imprint a set of memories and habits when implanted into a human brain, allowing the recipient to rapidly obtain new skills. Such technology was tightly controlled by the Domain prior to the Collapse, and few polities of the Persean Sector still know how to program these devices, much less manufacture them from scratch.

This one is encoded with officer training data from the 9th Domain Battlegroup. To grant a captain the Sword of the Fleet skill, apply the biochip to their ship from the drop-down menu at the top of the ship fitting window.",1
Industrial Nano-replicator,ix_nano_replicator,,IX Battlegroup,,400000,1000,1,,graphics/icons/ix_nano_replicator.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"A nondescript container of ultra-sanitized nanite feedstock coupled with a gamma core replicator catalyst. Connecting the core to the AI interface of an automated ship should see it repair its new ""body"" with the utmost clarity, before a shutdown sequence renders both the nanites and their controller utterly inert.

Industrial self replicating nanites were a tightly controlled technology even during the height of the Domain. The dangers of programming errors or deliberate sabotage causing an omniphage cascade were ever present. If not for the stringent safety locks in place, this device would be more dangerous than the planetkiller you exchanged.

Apply by using the drop down menu in the ship refit screen. Will remove all d-mods from one automated hull of any origin.",1
