name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#Trinity Worlds Built-in,,,,,,,,,,,,,,,,,,,
Advanced ECM Suite,tw_intrepid_hull,,,,,,,,TRUE,,0,0,0,0,data.hullmods.tw.IntrepidHull,Grants %s ECM rating when deployed in combat. Cannot be combined with standard ECM Package.,Improves ECM.,,graphics/hullmods/ecm_package.png
Energy Weapon Integration,tw_energy_weapon_integration,,,,,,,,TRUE,,0,0,0,0,data.hullmods.tw.EnergyWeaponIntegration,Reduces the ordnance point cost of large energy weapons by %s.,Reduces ordnance point cost of large energy weapons.,,graphics/hullmods/ix_equalizer_integration.png
Enhanced Control Node,tw_enhanced_control_node,,,,,,,,TRUE,,0,0,0,0,data.hullmods.tw.EnhancedControlNode,"Command a larger number of %s. Unlike other ships of the Trinity Worlds, this dedicated carrier can also operate regular strike craft without penalty.",,,graphics/hullmods/tw_drone_control_node.png
Plasma Ramjet,tw_plasma_ramjet,,,,,,,,TRUE,,0,0,0,0,data.hullmods.tw.PlasmaRamjet,"This ship will activate a secondary plasma ramjet during high speed maneuvers. Improves the Plasma Jets ship system duration by %s, and top speed bonus by %s.",Improves Plasma Jet ship system.,,graphics/hullmods/ix_plasma_ramjet.png
Trinity Worlds Retrofit,tw_trinity_retrofit,,,,,,,,TRUE,,0,0,0,0,data.hullmods.tw.TrinityRetrofit,"This ship is built from incomplete Tri-Tachyon blueprint data, along with just enough replacement parts from the 9th Domain Battlegroup to keep it operational. The engines especially have been overhauled for greater performance at the expense of other ship systems.

Increases speed by %s/%s/%s/%s, depending on hull size. Decreases weapon range by %s. Increases combat repair times by %s. Incompatible with Unstable Fuel Injectors.",Alters speed and other performance.,,graphics/hullmods/tw_trinity_retrofit.png
,,,,,,,,,,,,,,,,,,,
#Trinity Worlds Standard,,,,,,,,,,,,,,,,,,,
Drone Control Node,tw_drone_control_node,0,,Emergent Technology,"special, no_build_in",Fighters,1000,TRUE,,,0,5,7,10,data.hullmods.tw.DroneControlNode,"Converts the ship's shuttle bay into a hangar for %s, commanded by a specialized delta-level AI command node. The hangar will field %s/%s/%s drones based on the ship hull size. The node can only propagate its signal through weak shields. Reduces shield strength by %s, and is incompatible with Hardened Shields.

This technology is limited to ships of the Trinity Worlds, which normally cannot use other strike craft LPCs.",Enable Nimbus drones.,,graphics/hullmods/tw_drone_control_node.png
Equipment Error,tw_equipment_error,,,,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.tw.EquipmentError,"Something has gone seriously wrong with the equipment aboard this ship. Until it is addressed, the ship is nearly impossible to operate. %s Combat Readiness reduction.",Severe CR penalty due to fitting issue.,,graphics/hullmods/tw_equipment_error.png
Modernized Rangefinder,tw_modernized_rangefinder,1,,Emergent Technology,,,1500,,,,3,5,7,10,data.hullmods.tw.ModernizedRangefinder,"A rangefinder comparability upgrade that allows a modern Dedicated Targeting Core, Integrated Targeting Unit, or Advanced Targeting Core to enhance the performance of %s composite weapons. Range is enhanced by %s/%s/%s, based on the range enhancing hullmod.",Increases composite weapon range.,All composite and missile weapons gain %s su range.,graphics/hullmods/tw_modernized_rangefinder.png
,,,,,,,,,,,,,,,,,,,
#Standard,,,,,,,,,,,,,,,,,,,
Antecedent Device,ix_antecedent,3,0.5,Emergent Technology,"offensive, req_spaceport",Weapons,100000,,,,0,0,0,20,data.hullmods.ix.AntecedentDevice,"Modifies the built-in heavy ordnance launcher aboard an %s, replacing its Vampyr DEM Cruise Missile with the experimental %s. This highly restricted technology is usually entrusted only to Fleet Command Honor Guard captains, although it is not outside of the realm of possibility that the schematics might be found in a long abandoned Domain research facility.",Replaces Vampyr DEM on Odyssey (IX) with Antecedent Device.,,graphics/hullmods/ix_antecedent.png
Ground Invasion Conversion,ix_ground_invasion_conversion,1,,Emergent Technology,"special, req_spaceport","Logistics, Requires Dock",5000,,,,5,10,15,25,data.hullmods.ix.GroundInvasionConversion,"Converts a Buffalo (IX) or Banteng (IX) freighter into an advanced ground attack ship, capable of launching orbital drop pods and precision bombardments. The expertise of the IX Battlegroup grants their transport ships superior ground assault performance compared to similar conversions done elsewhere.

Decreases cargo capacity by %s. Buffalo increases maximum crew capacity by %s and planetary raid strength by %s. Banteng increases maximum crew capacity by %s and planetary raid strength by %s. Raid bonus is limited by the total number of marines in the fleet.

Not compatible with standard Ground Attack Conversion.",Converts Buffalo or Banteng for ground attack.,,graphics/hullmods/ground_support_adv.png
Reactive Combat Shields,ix_reactive_combat_shields,3,,Emergent Technology,"tritachyon, shields, defensive",Shields,10000,,,,4,8,12,20,data.hullmods.ix.ReactiveCombatShields,"Modifies low powered shield emitters for short bursts of improved performance during critical moments. Reduces damage to shields by %s and reduces EMP arcs piercing shields while flux levels exceed %s. Can be installed on any ship with a shield emitter, but the enhancement will only activate if the shield efficiency is worse than %s. Incompatible with Hardened Shields.",Drastically reduce shield damage at high flux.,Reactive shields will activate above %s flux.,graphics/hullmods/ix_reactive_combat_shields.png
      RCS Checker,ix_reactive_checker,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,"(Hidden) Dummy hullmod applied by synthesis executive officers to NPC fleets for RCS to know if synthesis bonus should be applied. Self deletes if captured by player, RCS uses synthesis checker mem flag for player fleet instead.",,,graphics/hullmods/ix_reactive_combat_shields.png
System Reset,ix_system_reset,1,,Emergent Technology,"no_drop, no_drop_salvage",,0,TRUE,,,0,0,0,0,data.hullmods.ix.SystemReset,"The captains of the IX Battlegroup Honor Guard have access to the finest forge artisans of the Fleet, who will furnish their ships with further upgrades. However, these are rewards for victory in battle, and it is customary for a new captain inheriting an older ship to remove any existing upgrades before they are earned. The disassembly mechanism is itself custom fitted technology, and you are unlikely to obtain another example of it for this ship, but the existing one is ready for use.

%s from Honor Guard ship. Any player installed s-mods will not be refunded. Can only be used once per ship.",Removes s-mods from ship.,,graphics/hullmods/ix_system_reset.png
Terminus Relay,ix_terminus_relay,3,,Emergent Technology,special,Fighters,10000,,,,0,0,0,10,data.hullmods.ix.TerminusRelay,"Replace High Resolution Sensors aboard an %s with a %s drone bay, controlled by a specialized tactical AI that improves drone damage against fighters and missiles by %s, weapon range by %s, and grants the drones superior point defense accuracy.",Improves drone performance.,"Enable the Terminus Relay to periodically emit charged particle streams that are redirected by the deployed drones. With every firing cycle, each drone automatically strikes the nearest enemy ship within %s su, inflicting %s energy and %s EMP damage per drone strike.",graphics/hullmods/ix_terminus_relay.png
      System Inhibitor,ix_system_inhibitor,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.SystemInhibitor,(Hidden) Reduces ship flux capacity to 0 to prevent system activation.,,,
Vampyr DEM Retrofit,ix_vampyr_retrofit,3,0.5,Emergent Technology,"offensive, no_build_in",Weapons,50000,,,,0,0,35,0,data.hullmods.ix.VampyrRetrofit,"Converts the Tigershark (IX) large hardpoint into a launcher for the %s Cruise Missile. This hullmod will only take effect when the ship's large weapon slot is empty, and it cannot be built into the hull.",Arms the Tigershark (IX) with the Vampyr DEM.,,graphics/hullmods/ix_vampyr.png
,,,,,,,,,,,,,,,,,,,
#Dawnstar,,,,,,,,,,,,,,,,,,,
Dawnstar Controller,ix_dawnstar_controller,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.DawnstarController,(Hidden) Used to switch between fire modes of Dawnstar weapons. Added when equipping Dawnstar weapons. Is self deleting after clearing Dawnstar effect and switcher mods when no such weapons are fitted.,,,
Dawnstar Generator - Proton,ix_dawnstar_proton,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.DawnstarReactor,"Fires a pulsed proton beam that warps and degrades armor. Light cyclic Dawnstar emitters directly remove %s and heavy emitters %s per second when striking armor, regardless of its current value. Mono and Twin Daythorn emitter types only remove %s armor per second.",Dawnstar proton firing mode,,graphics/hullmods/ix_dawnstar_proton.png
      Proton Generator Handler,ix_dawnstar_proton_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.DawnstarReactorHandler,(Hidden) Dummy hullmod for Dawnstar fire mode switching.,,,graphics/hullmods/ix_dawnstar_proton.png
Dawnstar Generator - Neutron,ix_dawnstar_neutron,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.DawnstarReactor,Fires a pulsed neutron beam that places tremendous stress on shield generators. Light cyclic Dawnstar emitters gain %s and heavy emitters gain %s damage per second when striking shields. Mono and Twin Daythorn emitter types only gain %s damage.,Dawnstar neutron firing mode,,graphics/hullmods/ix_dawnstar_neutron.png
      Neutron Generator Handler,ix_dawnstar_neutron_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.DawnstarReactorHandler,(Hidden) Dummy hullmod for Dawnstar fire mode switching.,,,graphics/hullmods/ix_dawnstar_neutron.png
Dawnstar Generator - Electron,ix_dawnstar_electron,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.DawnstarReactor,"Fires a pulsed electron beam that ionizes any matter it impacts. Light cyclic Dawnstar emitters gain %s and heavy emitters gain %s damage per second, which may arc through shields against targets at high flux. Mono and Twin Daythorn emitter types only gain %s damage.",Dawnstar electron firing mode,,graphics/hullmods/ix_dawnstar_electron.png
      Electron Generator Handler,ix_dawnstar_electron_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.DawnstarReactorHandler,(Hidden) Dummy hullmod for Dawnstar fire mode switching.,,,graphics/hullmods/ix_dawnstar_electron.png
,,,,,,,,,,,,,,,,,,,
#Built-in,,,,,,,,,,,,,,,,,,,
Active Flare Launcher,ix_active_flare_launcher,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,This ship is equipped with an Active Flare Launcher that will automatically screen for inbound missiles.,Active flares intercept missiles.,,graphics/hullmods/ix_aquilon_flare_launcher.png
Advanced Missile Autoforge,ix_missile_autoforge,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.MissileAutoforge,"This ship is equipped with a missile autoforge in place of an Advanced Targeting Core. Replenishes all small missiles by %s, medium missiles by %s, and large missiles by %s every %s seconds, reloading at least %s missile per launcher. Incompatible with Expanded Missile Racks and Missile Autoloader.",Reloads missiles.,,graphics/hullmods/ix_missile_autoforge.png
Aquilon Flare Launcher,ix_aquilon_fl,,,,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ix.AquilonFlareLauncher,"Arms the Aquilon integrated launcher with Active Flares. Each volley launchers %s flares that target nearby hostile missiles.

Remove this hullmod to switch launcher munitions.",Equips Flare Launcher,,graphics/hullmods/ix_aquilon_flare_launcher.png
      Flare Launcher Handler,ix_aquilon_fl_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.AquilonFlareLauncherHandler,(Hidden) Dummy hullmod for Aquilon system switching.,,,graphics/hullmods/ix_aquilon_flare_launcher.png
