id,type,text1,text2,text3,notes
ix_battlegroup,FACTION,"In cycle 70, a large fleet of high-tech warships limped into the Persean Sector, having been placed in emergency cryosleep for decades after the gate network collapse. The arrival of a 9th Domain Battlegroup task force was initially welcomed by the Hegemony, who hoped to settle the newcomers and make use of their advanced technology. However, negotiations suddenly turned violent for reasons that remain classified, resulting in a massive battle over the skies of Jangala. The task force was defeated by the narrowest of margins and withdrew their remaining ships to a system on the edge of the Core Worlds, where they have maintained a state of perpetual war against every other major polity of the Sector ever since.

Often referred to simply as ""the Fleet,"" the IX Battlegroup sees itself as the true inheritor of the Domain of Man. Fleet Command governs the Zorya system under a strict military dictatorship, using both naval and economic force projection to constantly destabilize the rest of the Sector. Before its worlds are reclaimed for the Domain, free captains and mercenaries are tolerated as useful pawns. Everyone else is prey.",,,
ix_trinity,FACTION,"Originally a loose band of former Eridani-Utopia Terraforming Corporation worksites and early stage colonies that attempted, and failed, to resist a hostile takeover from the Persean branch of the Tri-Tachyon Corporation. The Trinity Worlds served as an unwilling client state to the megacorp during the First AI War, which left its home system of Danu devastated by the conflict. Left to fend for themselves once more following the armistice, the colonies had little to no political impact on the rest of the Sector.

That state of affairs drastically changed in cycle 133, when the Trinity Worlds leadership unexpectedly declared for the 9th Domain Battlegroup. The speed of the bloodless takeover and the near total information blackout to descend upon Danu shocked the major powers, whose worst fears were soon confirmed when Trinity Worlds warships began operating alongside the Fleet. The exact nature of this alliance, or conquest, remains unexplained to the Sector at large, but it has become abundantly clear that the Trinity Worlds now function as an extension of the uncompromising will of Fleet Command.",,,
,,,,,
#Trinity Worlds,,,,,
brawler_tw,SHIP,"A heavily modified Brawler that bears many similarities to the standard Tri-Tachyon overhaul, but uses a plasma microburst system instead of the more common plasma jets. The design was an intermediate step in the development of the Candor-class gunship, and Tri-Tachyon never built more than a small handful of prototypes. However, given their limited access to ship blueprints, the Trinity Worlds have pressed this unusual variant into full scale military service.",,,
candor_tw,SHIP,"A technological marvel created by the Tri-Tachyon Corporation at its peak. The Candor was advertised as a hard hitting ""Super Brawler"" gunship intended for discerning clients who sought better performance than the already impressive Brawler (TT) retrofit, but could not quite justify the eye watering logistics profile of the Hyperion. A fully automated drone variant with an enhanced point defense suite was rumored to be in development, but was never released prior to the Collapse.",,,
equalizer_tw,SHIP,"A high-tech battleship prototype that represents an attempt to revive the all-big-guns paradigm of an earlier age. Unlike its ancient predecessors, the Equalizer is equipped with state of the art capacitor banks that grant it remarkable cruising speed and endurance. A smattering of limited arc point defense mounts have been begrudgingly included in the design, but veteran captains will just as often leave them empty, relying on the ship's powerful shields and main weapons to win the day.",,,
firebird_tw,SHIP,"A midline cruiser given an extensive high-tech overhaul. The Firebird (TW) is so far removed from its Eagle and Falcon cruiser origins, it can scarcely be called a derivative of either. The ship was largely designed by Trinity Worlds scientists, and is far more common among its forces that its 9th Battlegroup Auxiliary counterparts. This localized model exhibits improved engine performance at the cost of targeting range, which encourages Trinity Worlds captains to favor speed and aggression over long range engagements.",,,
flamebreaker_tw,SHIP,"A high-tech cruiser prototype equipped with advanced sensors, along with a set of high performance capacitors that can temporarily supercharge its energy weapons. The Flamebreaker excels at long range suppression of enemy forces, but is relatively sluggish compared to other high-tech hulls.",,,
flourish_tw,SHIP,"A nimble and versatile attack frigate featuring a novel secondary shield system wired to an independent plasma core. The Flourish (TW) is one of the few examples of an in-depth technology transfer from the 9th Domain Battlegroup to the Trinity Worlds, and features superior performance when compared to other similar ships found in the Sector.",,,
intrepid_tw,SHIP,"A high-tech battleship prototype intended to replace the venerable Onslaught. The Intrepid was the result of bitter compromises between reformers and traditionalists within the Domain Navy, and bears several antiquated design traits such as fixed forward shields and built-in energy weapons that are rarely found on high-tech hulls. Nonetheless, it is a highly capable flotilla leader when its vulnerable flanks are well protected by escorts.",,,
ionos_tw,SHIP,"A high-tech battlecruiser based on purportedly the largest warship capable of safely transiting through phase space. The blueprint for the Ionos was recovered by the Trinity Worlds in a particularly degraded state, and was stowed away in a data vault for decades before finally being realized with significant assistance from the 9th Domain Battlegroup. The finalized design is much more heavily armed than the prototype, a feat that could only be accomplished by limiting the fire arcs of its heavy energy weapons and downgrading its complex phase skimmer system. Nonetheless, the Ionos (TW) remains capable of bringing heavy firepower to a skirmish with surprising alacrity.",,,
iris_tw,SHIP,"A high-tech destroyer prototype equipped with an experimental Interceptor Burst Laser. The Iris can intercept a large volume of incoming fighters and missiles, freeing capital ships under its protection to focus on engaging enemy forces directly.",,,
maquech_tw,SHIP,"A simple carrier conversion of the Buffalo-class freighter was used as a testbed for Nimbus drone control technology. Although never intended for frontline combat, the Trinity Worlds have pressed the design into military service, as even with many of its ships bearing converted drone bays, the cheap and reliable Maquech still remains the most cost effective way to deploy a large number of Nimbus drones.",,,
nimbus_crewed_tw,SHIP,"This rarely seen crewed variant of the Nimbus combat drone is usually reserved exclusively for orbital defense garrisons, as such facilities cannot afford to compromise their shields by installing a Drone Control Node. The fighter can also be operated aboard modified Trinity Worlds vessels, although there is little benefit from doing so, due to a human pilot's inability to fully integrate with an AI overseer.",,,
nimbus_tw,SHIP,"A heavy automated combat drone that makes up for what it lacks in firepower with incredible durability and staggering EMP output. The Nimbus was invented on Finias during the First AI War, and has survived into the modern day as a partially corrupted blueprint still in use by the Trinity Worlds.",,,
