name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Advanced ECM Suite,vice_intrepid_hull,,,,,,,,TRUE,,0,0,0,0,data.hullmods.vice.IntrepidHull,Grants %s ECM rating when deployed in combat. Cannot be combined with standard ECM Package.,Improves ECM.,,graphics/hullmods/ecm_package.png
Converted Escort Carrier,vice_converted_escort_carrier,,,,,,,,TRUE,,0,0,0,0,data.hullmods.vice.ConvertedEscortCarrier,"Converted from a Gemini combat freighter, the enlarged hangar can field %s extra fighter squadron, and flight command operates an active %s. The upgrades increase maintenance and deployment cost by %s, and reduce cargo space by %s.",Hull has been modified by Sindrian Diktat engineering.,,graphics/hullmods/bdeck.png
Converted Carrier,vice_converted_carrier,,,,,,,,TRUE,,0,0,0,0,data.hullmods.vice.ConvertedCarrier,"Converted from an unsuitable Eagle (LG) cruiser hull, the fighter hangar and support systems degrade flux capacity and dissipation by %s, and limit refitting by %s ordnance points. A squadron of prototype %s fighters are hard coded to its fabricators, and are crewed exclusively by Lion's Guard political officers responsible for keeping discipline among the Diktat's newly trained fighter pilots.",Hull has been modified by Sindrian Diktat engineering.,,graphics/hullmods/bdeck.png
Converted Battlecarrier,vice_converted_battlecarrier,,,,,,,,TRUE,,0,0,0,0,data.hullmods.vice.ConvertedBattlecarrier,"A further conversion of the Executor-class Battleship, the fighter hangar and support systems limit refitting by %s ordnance points. A squadron of prototype %s fighters are hard coded to its fabricators, and are crewed exclusively by Lion's Guard political officers responsible for keeping discipline among the Diktat's newly trained fighter pilots.

This ship can also convert the shuttle in its main hangar bay into a %s fire support gunship. To convert a new shuttle, apply %s while Bay 4 is empty and 10 ordnance points are available.",Hull has been modified by Sindrian Diktat engineering.,,graphics/hullmods/bdeck.png
Experimental Hull,vice_experimental_hull,,,,,,,,TRUE,,0,0,0,0,data.hullmods.vice.ExperimentalHull,This ship is an experimental prototype that exhibits significant differences compared to the later production model. Whether the design changes were superior or ill conceived is an open question.,Experimental hull.,,graphics/vice/hullmods/experimental_hull.png
Militarized Hull,vice_odyssey_milspec,,,Tri-Tachyon,,,,,TRUE,,0,0,0,0,data.hullmods.vice.OdysseyMilspec,"This battlecarrier has been upgraded with a %s and integrated uplink to a squadron of %s interceptor drones. Its high capacity shield emitters also reduce incoming damage by %s. The increased adoption of %s and improved field of fire support both frontal and broadside engagements, depending on the loadout. The additional complexity resulting from a widespread use of premium components increases maintenance and deployment cost by %s.",Hull has been enhanced by Tri-Tachyon engineering.,,graphics/vice/hullmods/milspec_hull.png
Prototype Hull,vice_resplendent_prototype,,,Tri-Tachyon,,,,,TRUE,,0,0,0,0,data.hullmods.vice.ResplendentPrototype,"Converted from a Paragon-class battleship, this prototype command carrier can field a mix of standard fighters and %s drones. Its enhanced engines increase speed and maneuverability by %s and max burn by %s. The Advanced Targeting Core is replaced by a %s, which degrades flux capacity and dissipation by %s, and limits refitting by %s ordnance points. Various weapon mounts have also been removed or altered.

Equipping an %s or %s will alter the ship's system.",Prototype droneship hull operated by a human bridge crew.,,graphics/vice/hullmods/milspec_hull.png
Remnant Modified Hull,vice_resplendent_remnant,,,Remnant,,,,,TRUE,,0,0,0,0,data.hullmods.vice.ResplendentRemnant,"Converted from a Paragon-class battleship, this AI modified command carrier can field a vast number of combat drones. Its enhanced engines increase speed and maneuverability by %s and max burn by %s. The Advanced Targeting Core is replaced by a %s, which degrades flux capacity and dissipation by %s, and limits refitting by %s ordnance points. Various weapon mounts have also been removed or altered.

Equipping an %s or %s will alter the ship's system.",Hull has been enhanced by Remnant AI engineering.,,graphics/vice/hullmods/remnant_hull.png
Remnant Modified Hull,vice_effulgent_remnant,,,Remnant,,,,,TRUE,,0,0,0,0,data.hullmods.vice.EffulgentRemnant,This modified Fulgent-class destroyer has been converted to house a %s and %s. The extensive upgrades increase maintenance and deployment cost by %s.,Hull has been enhanced by Remnant AI engineering.,,graphics/vice/hullmods/remnant_hull.png
Remnant Modified Hull,vice_incandescent_remnant,,,Remnant,,,,,TRUE,,0,0,0,0,data.hullmods.vice.IncandescentRemnant,"Converted from an Incursion-class battleship, this AI modified behemoth is armed with paired %s. Shield improvements reduce damage by an additional %s. Flux dissipation is improved by %s, top speed by %s, and maximum burn level by %s. The complexity of the ship's construction increases maintenance and deployment cost by %s.",Hull has been enhanced by Remnant AI engineering.,,graphics/vice/hullmods/remnant_hull.png
