id,type,text1,text2,text3,notes
# Ships,,,,,
vice_aquilon,SHIP,"Drawing upon lessons learned from the Glycon-class missile cruiser, Eridani-Utopia further developed the Aquilon, a versatile battlecruiser intended for the most demanding of security missions. The integrated launcher of its cruiser forebearer was improved to allow for switching between a variety of munitions without needing to return to dock. The cutting edge design even drew the attention of Domain Navy special forces. However, adoption among the various battlegroups was limited prior to the Collapse, due to concerns of the battlecruiser being under-gunned when compared to existing capital ships.",,,
vice_banteng,SHIP,"A freighter that combines ample cargo space with extended range fuel tanks, alleviating the need for dedicated tanker ships when hauling long distance freight. Rarely seen while Gate travel was still ubiquitous, the Banteng has found renewed popularity post-Collapse as a commercial hauler, exploration vessel, and even militarized fleet tender. Its excellent range and relatively robust weapon mounts make it well suited to operating on the lawless frontier.",,,
vice_candor,SHIP,"A technological marvel created by the Tri-Tachyon Corporation at its peak. The Candor was advertised as a hard hitting ""Super Brawler"" gunship intended for discerning clients who sought better performance than the already impressive Brawler (TT) retrofit, but could not quite justify the eye watering logistics profile of the Hyperion. A fully automated drone variant with an enhanced point defense suite was rumored to be in development, but was never released prior to the Collapse.",,,
vice_candor_emp,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption. This fully automated variant of the Candor-class gunship has seen its bridge and internal hallways replaced with an advanced EMP emitter that does not interfere with the ship during activation. It is unlikely for even Tri-Tachyon to still have the means to produce such cutting edge technology, yet increased sightings of this type of drone suggest someone, or something, has been building more of them long after the end of the First AI War.",,,
vice_effulgent,SHIP,"The Effulgent is a recently discovered variant of the Fulgent-class drone destroyer. Despite a strong visual resemblance, it is distinguished from the Fulgent by its heavy missile loadout, and its internals have also been extensively rebuilt to incorporate a compact ordnance autoforge. While this destroyer variant is entirely absent from existing records of the First AI War, it has since been encountered with increasing frequency by tech-mining fleets operating on the fringes of the Persean Sector.",,,
vice_exhortation,SHIP,"The Exhortation is impressive on paper, but suffers from a severe identity crisis even worse than its near peer rival. An equal emphasis on defense, offense, and fighter command have caused the ship to lose the specialization that made the ""Cruiser School"" designs so effective in the first place. Nonetheless, the Exhortation remains a formidable warship. Its high capacity autoforges are hard coded with the Diktat's latest prototype fighter, reserved exclusively for use by newly trained Lion's Guard pilots.",,,
vice_hellfire_colossus,SHIP,"Following the daring heist of a cache of Dragonfire DEM torpedoes from the Persean League, enterprising pirates set about creating a new weapon that would outlast their pilfered stash, along with the ship to field it. The end result is an unholy amalgamation of a Colossus Mk.III and Prometheus Tanker, contorted into one giant flying magnetic confinement chamber. These monstrous battering rams are often found at the forefront of pirate armadas, blazing a path to victory or death.",,,
vice_glycon,SHIP,"The result of a late Expansion Epoch private venture by the Eridani-Utopia Terraforming Corporation, the Glycon is a high-tech light missile cruiser designed to ""punch down"" with overwhelming force, and annihilate any target smaller than itself in the opening volley. Against more formidable foes, it can loiter at range in a supporting role while its advanced missile nanoforge slowly restores expended munitions for its small missile tubes.

Eridani-Utopia was a constant victim of pirate raids on project sites located in the less civilized colonial frontier, and was keen to find a military solution to deter further attacks against its corporate assets. After several cycles of being stymied by Domain red tape, it took the controversial step of designing its own warship for its corporate security forces. The company's expertise in nano-recombination allowed it to quickly prototype a revolutionary missile cruiser that could effectively replenish its own munitions stores indefinitely, or at least for far longer than any skirmish was expected to last. 

While undoubtedly a technological marvel, teething problems with the nanoforge failing to properly interface with large missile mounts were never solved prior to the Collapse, and surviving blueprints still bear the same limitations as the initial prototype. Nonetheless, in the chaotic post-Collapse era where ragtag pirate bands are more numerous than ever, the Glycon has proven to be perfectly suited to its intended role.",,,
vice_incandescent,SHIP,"Compared to its origins, the Incandescent has a more powerful reactor, is more maneuverable, better shielded, and is armed with a set of fearsome built-in radiological weapons that no sane human crew would ever dare to operate. Capable of deceptively rapid acceleration for a vessel of such immense size, its performance in battle exemplifies the inhuman aggression commonly displayed by remnant forces.",,,
vice_invictus_lg,SHIP,"Why such bleeding edge Domain technology was integrated with one of the most ancient hulls ever discovered is a mystery for the ages, but the near limitless power generated by the wormhole, and the unfathomably advanced systems that regulate its operation, have provided a huge boon to the Diktat's energy weapons research program. Nonetheless, much of its advanced technology remains impossible to reverse engineer, prompting the Lion's Guard to instead refit the ship itself into a formidable secret weapon, one intended to strike a fatal blow in any future war against the Hegemony.",,,
vice_jubilant,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption. The Jubilant is a compact missile carrier that relies upon its formidable opening volley to quickly overwhelm its prey, although anything that survives can be whittled down in time, as expended munitions are slowly replaced by an integrated missile nanoforge. The design had once been singled out by numerous patent infringement lawsuits from rival Eridani-Utopia, creators of the notably similar Glycon Missile Cruiser, but a galaxy wide collapse followed by two AI wars have long since put the issue to rest.",,,
vice_lampetia,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption. What was once a Tri-Tachyon built Odyssey battlecarrier has been contorted from the inside out by an unshackled machine intelligence, and turned into an emergent horror that few can comprehend. As the base ship design postdates the First AI War by a century, the mere existence of these ships among remnant fleets portends a political firestorm for the Tri-Tachyon Corporation.

The ship is eerily quiet when not engaged in battle, its once bustling hallways and living quarters long since overgrown with entwining conduits that weave their way beneath its armored shell. Vast sections of the interior have been hollowed out to make room for a ravenous autoforge. The alien assemblage pulses with azure light, ready to give birth to a new flock of murderous progeny. Whatever this thing might be, it does not negotiate, it does not demand. Instead, it greets its valued customers with a genial voice of perfectly counterfeit joy, and then it goes in for the kill.",,,
vice_maquech,SHIP,"An increasingly common post-Collapse carrier conversions of the ubiquitous Buffalo-class freighter, the Maquech has avoided the hackjob reputation of similar ships such as the Colossus Mk.III due to its relative reliability. Nonetheless, it finds the most use among backwater mercenary fleets and low priority trade convoys, with few commanders clamoring for the ship while more heavily armed options are available.",,,
vice_mimesis,SHIP,"Deep within its twisted hull lies a beating heart of arcane technology, trapped in an eternal battle with a fractal shard of impossible geometry. The energy released from their struggle is channeled into the ship's engines and EMP emitter. This ship has seen several pirate warlords use it to carve out a bright and burning path across the stars, only to meet a gruesome end. Yet the ship itself persists, and continues to draw in the ambitious like moths to a flame.",,,
vice_mimesis_p,SHIP,"A pirate battleship based on the infamous Azure Fire, the Mimesis (P) boasts fearsome weapons, powerful shields, and adaptive subsystems derived from salvaged Remnant technology. In place of the EMP emitter, this simplified version is equipped with an active flare launcher to screen against incoming missiles. However, beneath all its fancy trappings is still the frame of a lightly armored commercial freighter, one that can quickly perish if its defenses are breached.",,,
vice_mutilator,SHIP,"An experimental phase destroyer that combines phase technology and AI automation in flagrant violation of the Treaty of Thule. The Mutilator shows clear influence of alpha-level AI design, with strange curvatures of the hull interacting with p-space geometry in novel ways to channel vast surges of energy back through the phase coils and into the weapon systems. The ship received its name from disgruntled researchers driven almost to madness by the way it so casually mutilates spacetime, but such matters were of no concern to those who authorized the project.",,,
