id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
gundam_side_efsf_station,Side Station - EFSF,50,90,,3,,gundam_side_efsf_battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:gundam_station_core_t1_efsf_standard,
fleetName:Orbital Station,
}",graphics/illustrations/side_station_efsf_illus.png,data.scripts.industry.GundamSideEFSF,"In the Universal Century timeline, space colonies are giant artificial structures in space, designed to house large-scale human habitation. The Earth Federation was responsible for the construction of all the inhabited space colonies within the Earth Sphere, and around 10 billion people were space colony residents by the outbreak of the One Year War.",2010,
gundam_side_efsf_battlestation,Side Battle Station - EFSF,100,120,,4,gundam_side_efsf_station,gundam_side_efsf_fortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:gundam_station_core_t2_efsf_standard,
fleetName:Battlestation,
}",graphics/illustrations/side_station_efsf_illus.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"In the Universal Century timeline, space colonies are giant artificial structures in space, designed to house large-scale human habitation. The Earth Federation was responsible for the construction of all the inhabited space colonies within the Earth Sphere, and around 10 billion people were space colony residents by the outbreak of the One Year War.",2020,
,,,,,,,,,,,,,,
gundam_side_efsf_fortress,Side Fortress - EFSF,200,180,,5,gundam_side_efsf_battlestation,,"station, starfortress, unraidable, structure","{
radius:70,
variant:gundam_station_core_t3_efsf_standard,
fleetName:Star Fortress

}",graphics/illustrations/side_station_efsf_illus.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"In the Universal Century timeline, space colonies are giant artificial structures in space, designed to house large-scale human habitation. The Earth Federation was responsible for the construction of all the inhabited space colonies within the Earth Sphere, and around 10 billion people were space colony residents by the outbreak of the One Year War.",2030,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
gundam_side_zeon_station,Side Station - ZEON,50,90,,3,,gundam_side_zeon_battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:gundam_station_core_t1_zeon_standard,
fleetName:Orbital Station,

}",graphics/illustrations/side_station_zeon_illus.png,data.scripts.industry.GundamSideZEON,"In the Universal Century timeline, space colonies are giant artificial structures in space, designed to house large-scale human habitation. The Earth Federation was responsible for the construction of all the inhabited space colonies within the Earth Sphere, and around 10 billion people were space colony residents by the outbreak of the One Year War.",2010,
,,,,,,,,,,,,,,
gundam_side_zeon_battlestation,Side Battle Station - ZEON,100,120,,4,gundam_side_zeon_station,gundam_side_zeon_fortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:gundam_station_core_t2_zeon_standard,
fleetName:Battlestation,

}",graphics/illustrations/side_station_zeon_illus.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"In the Universal Century timeline, space colonies are giant artificial structures in space, designed to house large-scale human habitation. The Earth Federation was responsible for the construction of all the inhabited space colonies within the Earth Sphere, and around 10 billion people were space colony residents by the outbreak of the One Year War.",2020,
,,,,,,,,,,,,,,
