name,id,tags,rarity,base price,stack size,cargo space,icon,sound id,sound id drop,plugin,plugin params,desc,order
EFSF Fighters Blueprint Package,efsf_fighter_0_package,package_bp,1,20000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,efsf_fighter_0_bp,Enables heavy industry to manufacture fighter from the EFSF.,210
EFSF Hulls Blueprint Package,efsf_hull_0_package,package_bp,1,7500,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,efsf_hull_0_bp,Enables heavy industry to manufacture ship hulls from the EFSF.,211
EFSF Advance Hulls Blueprint Package,efsf_hull_1_package,package_bp,0.3,20000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,efsf_hull_1_bp,Enables heavy industry to manufacture advance ship hulls from the EFSF.,212
EFSF MS Blueprint Package,efsf_ms_0_package,package_bp,1,5000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,efsf_ms_0_bp,Enables heavy industry to manufacture mobile suit from the EFSF.,213
EFSF Advance MS Blueprint Package,efsf_ms_1_package,package_bp,0.1,20000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,efsf_ms_1_bp,Enables heavy industry to manufacture advance mobile suit from the EFSF.,214
ZEON Fighters Blueprint Package,zeon_fighter_0_package,package_bp,1,5000,1000,1,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,zeon_fighter_0_bp,Enables heavy industry to manufacture fighter from the ZEON.,215
ZEON Hulls Blueprint Package,zeon_hull_0_package,package_bp,1,7500,1000,1,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,zeon_hull_0_bp,Enables heavy industry to manufacture ship hulls from the ZEON.,216
ZEON Advance Hulls Blueprint Package,zeon_hull_1_package,package_bp,0.3,20000,1000,1,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,zeon_hull_1_bp,Enables heavy industry to manufacture advance ship hulls from the ZEON.,217
ZEON MA Blueprint Package,zeon_ma_0_package,package_bp,0.5,7500,1000,1,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,zeon_ma_0_bp,Enables heavy industry to manufacture mobile armour from the ZEON.,218
ZEON Advance MA Blueprint Package,zeon_ma_1_package,package_bp,0.3,20000,1000,1,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,zeon_ma_0_bp,Enables heavy industry to manufacture advance mobile armour from the ZEON.,224
ZEON MS Blueprint Package,zeon_ms_0_package,package_bp,1,5000,1000,1,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,zeon_ms_0_bp,Enables heavy industry to manufacture mobile suit from the ZEON.,219
ZEON Advance MS Blueprint Package,zeon_ms_1_package,package_bp,0.3,15000,1000,1,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,zeon_ms_1_bp,Enables heavy industry to manufacture advance mobile suit from the ZEON.,220
Anaheim Ballistic Arm Blueprint Package,gundam_ballistic_package,package_bp,0.5,15000,1000,1,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,gundam_ballistic_bp,Enables heavy industry to construct the ballistic weapons by Anaheim Electronics.,221
Anaheim Beam Arm Blueprint Package,gundam_beam_package,package_bp,0.5,15000,1000,1,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,gundam_beam_bp,Enables heavy industry to construct the beam weapons by Anaheim Electronics.,222
Anaheim Missile Arm Blueprint Package,gundam_missile_package,package_bp,0.5,15000,1000,1,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,gundam_missile_bp,Enables heavy industry to construct the missile weapons by Anaheim Electronics.,223
