id,type,tier,min,max
gundam_core_fighter_wing,fighter_bp,0,1,4
gundam_jet_core_booster_wing,fighter_bp,0,1,4
gundam_core_booster_wing,fighter_bp,0,1,4
gundam_pablic_wing,fighter_bp,0,1,4
gundam_ball_wing,fighter_bp,0,1,4
gundam_ball_typek_wing,fighter_bp,0,1,4
gundam_gm_early_wing,fighter_bp,0,1,4
gundam_gm_wing,fighter_bp,1,1,3
gundam_gm_thunderbolt_wing,fighter_bp,2,1,3
gundam_gm_typec_wing,fighter_bp,1,1,3
gundam_gm_cs_wing,fighter_bp,2,1,3
gundam_gm_custom_wing,fighter_bp,3,1,2
gundam_gm_powered_wing,fighter_bp,2,1,3
gundam_gm_quel_wing,fighter_bp,2,1,3
gundam_gm_cannon_wing,fighter_bp,1,1,3
gundam_gm_cannon_ii_wing,fighter_bp,2,1,2
gundam_gm_gundamhead_wing,fighter_bp,3,1,2
gundam_gm_sniper_wing,fighter_bp,1,1,3
gundam_gm_sniper_ii_wing,fighter_bp,2,1,3
gundam_guncannon_wing,fighter_bp,2,1,1
gundam_guncannon_massproduce_wing,fighter_bp,2,1,3
gundam_guntank_wing,fighter_bp,2,1,1
