id,type,tier,min,max
gundam_dopp_wing,fighter_bp,0,1,5
gundam_orange_dopp_wing,fighter_bp,0,1,5
gundam_gattle_wing,fighter_bp,0,1,5
gundam_zaku_i_wing,fighter_bp,0,1,5
gundam_zaku_sniper_wing,fighter_bp,1,1,4
gundam_zaku_ii_wing,fighter_bp,1,1,4
gundam_zaku_ii_thunderbolt_wing,fighter_bp,1,1,3
gundam_zaku_ii_rifle_wing,fighter_bp,1,1,4
gundam_zaku_ii_hm_wing,fighter_bp,1,1,4
gundam_zaku_ii_rd4_wing,fighter_bp,1,1,4
gundam_zaku_ii_fz_wing,fighter_bp,1,1,4
gundam_zaku_ii_f2_wing,fighter_bp,1,1,4
gundam_gelgoog_wing,fighter_bp,2,1,3
gundam_gelgoog_thunderbolt_wing,fighter_bp,2,1,3
gundam_gelgoog_j_wing,fighter_bp,2,1,3
gundam_dra_c_wing,fighter_bp,2,1,3
gundam_kampfer_wing,fighter_bp,3,1,2
gundam_gouf_wing,fighter_bp,2,1,3
gundam_gerbera_tetra_wing,fighter_bp,3,0,1
gundam_zock_wing,fighter_bp,3,0,1
