id,type,tier,min,max
gundam_rick_dom_wing,fighter_bp,2,1,3
gundam_rick_dom_thunderbolt_wing,fighter_bp,2,1,3
gundam_rick_dom_ii_wing,fighter_bp,2,1,3
gundam_dom_tropen_wing,fighter_bp,2,1,3
gundam_gyan_wing,fighter_bp,2,1,3
gundam_pd_2mg,weapon_bp,0,5,10
gundam_pd_2bc,weapon_bp,1,3,7
gundam_antims_1cannon_pd_m,weapon_bp,1,3,7
gundam_sniper,weapon_bp,1,3,7
gundam_chaingun,weapon_bp,3,1,3
gundam_2chaingun,weapon_bp,3,1,3
gundam_2mega_particle,weapon_bp,2,2,5
gundam_2mega_particle_beam,weapon_bp,2,2,5
gundam_mega_1cannon_m,weapon_bp,1,5,10
gundam_mega_2bcannon_m,weapon_bp,2,2,5
gundam_mega_3cannon_m,weapon_bp,3,1,3
gundam_mega_2cannon,weapon_bp,2,2,5
gundam_mega_3cannon,weapon_bp,3,1,3
gundam_blaster_cannon,weapon_bp,3,1,3
gundam_builtin_front_spmissile,weapon_bp,0,5,10
gundam_builtin_rear_spmissile,weapon_bp,0,5,10
gundam_builtin_rear_apmissile,weapon_bp,1,3,7
gundam_builtin_rear_swamp_missile,weapon_bp,1,3,7
gundam_builtin_rear_farspmissile,weapon_bp,1,3,7
gundam_builtin_rear_flare,weapon_bp,0,5,10
