name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Carry Base,gundam_carry_base,Commander Transport,EFSF,burndrive,15,6000,750,5000,6000,300,155,2,80,60,40,20,25,800,FRONT,,180,0.5,0.8,,,100,200,90,60,3,30,8,120000,3,12,360,0.25,20,20,"CARRIER, COMBAT, NO_AUTO_ESCORT",efsf_hull_0_bp,,0.5,2,3,,208
Space Transport Ship,gundam_sts,Transport,EFSF,gundam_ball_typek_drone_system,6,1500,150,1550,1000,100,50,2,60,30,25,20,10,200,NONE,,,,,,,10,25,600,100,2,15,9,15000,5,8,120,0.25,8,8,"CIVILIAN, FREIGHTER",efsf_hull_0_bp,,0.6,2,3,,225
Columbus,gundam_columbus,Transport,EFSF,flarelauncher,8,2500,200,2250,1667,100,70,2,50,25,20,15,7,300,NONE,,,,,,,20,40,200,300,2,15,9,20000,5,10,120,0.25,10,10,"CIVILIAN, FREIGHTER",efsf_hull_0_bp,,0.6,2,3,,225
Columbus Beehive,gundam_columbus_beehive,Modified Transport,EFSF,gundam_ball_drone_system,19,5000,200,4500,4000,200,140,4,45,20,17,12,7,900,FRONT,,120,0.5,0.8,,,100,300,800,300,4,15,8,80000,4,12,400,0.25,17,17,CARRIER,efsf_hull_0_bp,,0.6,2,3,,225
Pizarro,gundam_pizarro,Carrier Transport,EFSF,gundam_ball_drone_system,12,6000,650,5000,6000,300,100,3,80,60,40,20,25,800,FRONT,,120,0.5,0.8,,,150,250,200,120,3,20,8,120000,3,12,360,0.25,20,20,CARRIER,efsf_hull_1_bp,,0.5,2,3,,208
Assault Landing Ship,gundam_als,Assault Landing Ship,EFSF,gundam_ball_typek_drone_system,24,10000,750,8000,9000,800,250,5,70,45,35,25,30,1550,FRONT,,90,0.5,0.8,,,300,430,300,240,7,33,8,310000,3,12,580,0.075,40,40,CARRIER,efsf_hull_0_bp,,0.5,2,3,,212
Lepanto,gundam_lepanto,Missile Frigate,EFSF,fastmissileracks,18,6000,750,8000,8750,350,110,,90,60,40,30,60,1000,FRONT,,90,0.5,0.8,,,250,300,200,200,10,40,9,150000,2,20,720,0.25,24,24,ALWAYS_PANIC,efsf_hull_0_bp,,0.7,2,4,,414
Salamis,gundam_salamis,Light Assault Cruiser,EFSF,maneuveringjets,20,10000,1000,12000,10500,700,210,,60,40,30,30,25,1210,FRONT,,90,0.5,0.8,,,350,450,270,250,8,33,8,300000,3,12,550,0.075,40,40,,efsf_hull_0_bp,,0.5,2,3,,212
Salamis Modified,gundam_salamis_modified,Light Assault Cruiser,EFSF,maneuveringjets,20,10000,950,11000,10000,650,210,,75,55,45,45,35,1210,FRONT,,90,0.5,0.8,,,300,450,250,250,8,33,8,315000,3,12,550,0.075,40,40,,efsf_hull_0_bp,,0.5,2,3,,212
Magellan,gundam_magellan,Battleship,EFSF,plasmajets,25,14000,1250,18000,24000,1100,280,,45,25,15,7,5,2200,FRONT,,120,0.6,0.7,,,430,550,325,300,10,35,7,325000,2.5,15,660,0.075,40,40,,"efsf_hull_1_bp,rare_bp",0.1,0.6,2,4,,33
White Base,gundam_pegasus,Assault Carrier,EFSF,acausaldisruptor,25,14000,1350,20000,25000,1100,305,2,30,15,10,5,5,3100,OMNI,,270,0.7,0.6,,,550,750,550,400,11,40,7,510000,2,25,720,0.075,45,45,,"efsf_hull_1_bp,no_bp_drop",0.01,0.75,3,5,,34
Blanc Rival,gundam_blanc_rival,Assault Carrier,EFSF,microburn,25,14500,1350,20500,26000,1200,340,2,30,15,10,5,5,3740,OMNI,,270,0.7,0.6,,,550,750,550,400,11,40,7,520000,2,25,740,0.075,47,47,,"efsf_hull_1_bp,no_bp_drop",0.01,0.75,3,5,,34
Spartan,gundam_spartan,Assault Carrier,EFSF,entropyamplifier,27,16000,1400,22000,27000,1150,350,3,28,15,12,5,5,3900,OMNI,,270,0.7,0.6,,,550,750,550,400,11,40,7,510000,2,25,720,0.075,50,50,,"efsf_hull_1_bp,no_bp_drop",0.01,0.75,3,5,,34
Gray Phantom,gundam_gray_phantom,Assault Carrier,EFSF,fortressshield,28,17000,1450,24000,28000,1450,375,3,35,20,15,5,5,3100,OMNI,,270,0.8,0.6,,,500,800,600,400,10,40,7,530000,2,25,740,0.075,55,55,,"efsf_hull_1_bp,no_bp_drop",0.01,0.75,3,5,,34
Albion,gundam_albion,Assault Carrier,EFSF,microburn_omega,30,18000,1550,25000,29000,1500,380,2,35,20,18,7,7,4890,OMNI,,270,0.8,0.6,,,450,750,550,400,10,40,7,560000,2,25,740,0.075,58,58,,"efsf_hull_1_bp,no_bp_drop",0.01,0.75,3,5,,34
Birmingham,gundam_birmingham,Space Battleship,EFSF,plasmajets,32,20000,1600,30000,30000,1500,400,4,27,13,12,5,5,4000,OMNI,,270,0.8,0.6,,,1000,3000,2000,2000,15,27,7,600000,3,12,720,0.25,60,60,SHIP_WITH_MODULES,"efsf_hull_1_bp,no_bp_drop",0.01,0.75,3,5,,34
Birmingham Module,gundam_birmingham_lpart,,,,5,6000,1600,5000,6000,700,100,,0,0,0,10,10,1000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,34
Birmingham Module,gundam_birmingham_rpart,,,,5,6000,1600,5000,6000,700,100,,0,0,0,10,10,1000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yapp,gundam_yapp,Transport,ZEON,gundam_zaku_ii_drone_system,9,2700,200,3350,2000,100,70,3,50,25,20,15,7,300,FRONT,,120,0.4,0.8,,,20,40,300,100,2,15,9,20000,5,10,120,0.25,10,10,"CIVILIAN, FREIGHTER",zeon_hull_0_bp,,0.6,2,3,,225
Jormungand,gundam_jormungand,Artillery Mobile Weapon,ZEON,highenergyfocus,12,4000,150,5000,2500,300,70,,50,30,30,20,15,100,FRONT,,30,0.4,0.8,,,10,20,100,100,2,30,9,150000,5,10,120,0.25,10,10,"CARRIER,  NO_AUTO_ESCORT",zeon_hull_0_bp,,0.6,2,3,,225
Chivvay,gundam_chivvay,Commander Heavy Cruiser,ZEON,maneuveringjets,20,8000,900,10000,10500,700,200,2,50,30,20,15,20,1000,FRONT,,120,0.4,0.8,,,250,350,330,600,8,33,8,250000,3,12,480,0.075,25,25,"CARRIER, COMBAT, NO_AUTO_ESCORT",zeon_hull_0_bp,,0.5,2,3,,212
Chibe (Final Production Type),gundam_chibe_final,Commander Heavy Cruiser,ZEON,maneuveringjets,21,8000,900,10500,10500,750,210,2,60,40,25,15,20,1100,FRONT,,120,0.4,0.8,,,200,400,350,650,7,33,8,270000,3,12,500,0.075,27,27,"CARRIER, COMBAT, NO_AUTO_ESCORT",zeon_hull_0_bp,,0.5,2,3,,212
Musai,gundam_musai,Light Cruiser,ZEON,highenergyfocus,22,10000,900,10000,10500,700,235,1,60,40,30,20,25,1400,FRONT,,90,0.4,0.8,,,380,430,280,260,8,33,8,300000,3,12,550,0.075,30,30,,zeon_hull_0_bp,,0.5,2,3,,212
Musai (Final Production Type),gundam_musai_final,Light Cruiser,ZEON,highenergyfocus,24,10500,850,11000,10500,800,240,1,70,45,35,25,30,1550,FRONT,,90,0.4,0.8,,,300,430,300,240,7,33,8,310000,3,12,580,0.075,32,32,,zeon_hull_1_bp,,0.5,2,3,,212
Musai (Late Production Type),gundam_musai_late,Light Cruiser,ZEON,highenergyfocus,24,10500,850,11000,10500,800,240,2,70,45,35,25,30,1550,FRONT,,90,0.4,0.8,,,300,430,300,240,7,33,8,310000,3,12,580,0.075,32,32,,zeon_hull_1_bp,,0.5,2,3,,212
Jotunheim,gundam_jotunheim,Support Space Ship,ZEON,reservewing,24,8000,600,7000,7000,650,245,4,40,12,8,8,5,2050,FRONT,,90,0.4,0.8,,,200,400,2600,700,10,40,7,230000,2,20,720,0.25,40,40,"TANKER, FREIGHTER",zeon_hull_0_bp,,0.7,2,4,,414
Papua,gundam_papua,Supply Transport Carrier,ZEON,reservewing,28,9000,750,8000,8750,700,260,3,30,8,4,4,2,2900,FRONT,,90,0.4,0.8,,,250,500,3000,3000,10,40,7,250000,2,20,720,0.25,45,45,CARRIER,zeon_hull_0_bp,0.1,0.7,2,4,,414
Zanzibar,gundam_zanzibar,Commander Assault Cruiser,ZEON,maneuveringjets,26,15000,1000,20000,24500,1100,300,2,27,12,10,6,5,1800,OMNI,,120,0.5,0.7,,,450,650,800,600,11,40,7,520000,2,25,720,0.075,40,40,,"zeon_hull_1_bp,rare_bp",0.01,0.75,3,5,,34
Gwazine,gundam_gwazine,Commander Battleship,ZEON,plasmajets,28,15000,1100,18000,24000,1100,370,3,25,12,8,4,2,3810,FRONT,,120,0.4,0.8,,,550,750,850,1000,11,40,7,520000,2,25,720,0.075,55,55,,"zeon_hull_1_bp,rare_bp",0.01,0.75,3,5,,34
Dolos,gundam_dolos,Heavy Mothership,ZEON,reservewing,32,23000,1500,28000,31250,1100,300,6,25,10,10,4,4,6000,FRONT,,150,0.4,0.8,,,1000,3000,2000,2000,15,27,7,600000,3,12,720,0.25,70,70,SHIP_WITH_MODULES,"zeon_hull_1_bp,no_bp_drop",0.01,0.75,2,4,,203
Dolos Module,gundam_dolos_lpart,,,,10,10000,1500,10000,10500,700,150,,0,0,0,10,10,1000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,34
Dolos Module,gundam_dolos_rpart,,,,10,10000,1500,10000,10500,700,150,,0,0,0,10,10,1000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX-78GP03S Gundam Stamen,gundam_gundam_gp03_dendrobium_pilot,Prototype Attack-Use Space Mobile Suit,EFSF,gundam_blue_overcloak_system,18,3500,350,3500,3125,350,60,,400,310,310,220,300,70,OMNI,,35,0.3,0.5,,,1,1,20,40,1,15,10,60000,5,12,360,0.25,20,20,"RENDER_ENGINES_BELOW_HULL, SHIP_WITH_MODULES","efsf_ms_1_bp,no_bp_drop",0,0.7,2,4,,103
GP-03 Dendrobium,gundam_gundam_gp03_dendrobium,,EFSF,fortressshield,,3000,300,3890,,200,0,,0,0,0,10,0,453,OMNI,,360,0.8,0.6,,,0,0,0,0,1,0,0,999999,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,0,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apsaras II,gundam_apsaras_ii,Heavy Assault MA,ZEON,emp,15,7000,400,6000,5000,450,70,,95,85,80,80,100,800,FRONT,,360,0.4,0.6,,,2,3,20,40,1,15,10,29000,5,12,360,0.25,15,15,RENDER_ENGINES_BELOW_HULL,"zeon_ma_0_bp,rare_bp",,0.7,2,2,,405
Apsaras III,gundam_apsaras_iii,Heavy Assault MA,ZEON,acausaldisruptor,19,8000,500,8000,6000,550,30,,90,80,80,100,120,1100,FRONT,,120,0.4,0.6,,,2,3,50,100,1,20,10,32000,5,12,360,0.25,20,20,RENDER_ENGINES_BELOW_HULL,"zeon_ma_1_bp,rare_bp",,0.7,2,2,,405
MA-05Ad Big-Rang,gundam_big_rang,Support MA,ZEON,microburn,17,5000,400,3000,2000,300,60,,160,130,120,100,120,230,FRONT,,180,0.4,0.5,,,2,3,10,30,1,20,10,28000,7,20,180,0.25,23,23,,"zeon_ma_1_bp,rare_bp",,0.7,2,2,,405
