id,type,text1,text2,text3,notes
gundam_efsf,FACTION,"By the 0010s, the Federation recognized the growing need for an armed service branch that can deal with the major land wars that had been plaguing earth's surface for the past 70 years; a problem which initially warranted the creation of the Earth Federation government to begin with, as well as to counter any threats from separatist from inside the colonies who wished to cause havoc. The Earth Federation Forces (EFF) was formally established in U.C. 0020, and organized into four groups: the Ground Force, which handled all military matters on the Earth's surface; the Air Force, tasked with providing air cover for ground forces and air superiority during land operations; the Naval Force, in charge of providing sea-based cover for all other EFF branches, and to counter any and all threats on the Earth's seas; and the Space Force, operating in and providing power projection from Earth orbit and space.",,,
gundam_zeon,FACTION,"The Principality of Zeon, also referred to as the Duchy of Zeon and Zeon Dukedom, was the name adopted by the residents of Side 3 from the Republic of Zeon following the death of their former leader Zeon Zum Deikun and the succession of Degwin Zabi on August 15th, U.C. 0069. Following the end of the One Year War, the Principality of Zeon was left in Isolation and was ordered under the direct monitoring of the Republic of Zeon in order to never again posses a military power, this ban was eventually lifted by UC 0097, following an outbreak with Terrorist organization Zenora that later escalated into a bloody 27 year long civil war, that later caught the attention of Earth Federation.",,,
,,,,,
,,,,,
gundam_carry_base,SHIP,"The Carry Base is a Prototype Commander-use Transport Ship, It is famous for housing Mark Guilder's Squad and for the many conflicts it somehow ends up in whether through their own power or not.",,,
gundam_sts,SHIP,The Space Transport Ship was a personnel and cargo transport used by the Earth Federation Forces. The ship’s middle section could hold up to six large cargo containers.,,,
gundam_columbus,SHIP,"The Columbus class was the standard Earth Federation Forces supply ship and tender at the outbreak of the One Year War, and many were also converted for use as fighter carriers for the FF-4 Toriares and FF-S3 Saberfish type spacecraft.",,,
gundam_columbus_beehive,SHIP,"The Beehive was a modified Columbus transport ship used by the Earth Federation Forces� Moore Brotherhood volunteer force during the One Year War. The Beehive essentially combined the frames of two Columbus ships, creating double the storage space for mobile suits.",,,
gundam_pizarro,SHIP,A mobile transport ship utilized by the Earth Federation Forces to transport their MBT to the front line and allowed for prompt sortie and lineup. It is organized to store one suit per hatch on either side of the ship so it is able to launch one squadron of MBT comprised of 12 units simultaneously.,,,
gundam_als,SHIP,The Assault Landing Ship was a vessel assigned by the Earth Federation Forces to the Republic of Zeon's Guardian Colony. Its large hangars could accommodate both troops and vehicles like the RTX-65 Guntank Early Type and Type 61 Tank Model A2. ,,,
gundam_lepanto,SHIP,"This frigate classified as a ""missile frigate"", was built by the Earth Federation Forces as an escort ship for the Salamis-class and Magellan-class. The bridge and propulsion system are similar to the Salamis-class, but the size of the ship is smaller.",,,
gundam_salamis,SHIP,"The mainstay of the Earth Federation Space Force, the Salamis class light cruiser made up the vast majority of the Earth Federation Forces fleet. Named after an earlier class of ship in service at the start of the Universal Century, the Salamis class, like the Magellan class, was a product of the 70s Armament Reinforcement Plan.",,,
gundam_salamis_modified,SHIP,"The advent of the mobile suit in the One Year War changed the rules for space combat. With their smaller size and higher mobility, mobile suits were capable of single-handedly destroying a ship. After the war, the Earth Federation Forces upgraded its aging Salamis class cruiser, which entered service prior to the creation of mobile suits.",,,
gundam_magellan,SHIP,"The main battleship of the Earth Federation Space Force, the Magellan class were heavily armed and armored, typically reserved for fleet commanders and other high-ranking officers. ",,,
gundam_pegasus,SHIP,"The debut of the Earth Federation Forces' Pegasus class assault carrier during the One Year War changed the face of battleship design. Pegasus class ships were constructed using an advanced block method that divided the ship into seven blocks: the bridge and living quarters, the central bow hangar, the engine room and stern landing port. ",,,
gundam_spartan,SHIP,"The ship appears to be much larger than the White Base as its role is that of a mobile fortress. The upper portion of the mobile suit decks on either side detaches and transforms into landing craft. Each of the four landing crafts can carry 3 mobile suits. During combat, the craft can be deployed around the Spartan for defensive purposes.",,,
gundam_blanc_rival,SHIP,"The Blanc Rival was a Pegasus class assault carrier constructed by the Earth Federation Forces at its Jaburo base on Earth. Like other ships of its class, it was constructed from multiple blocks, including living quarters that featured an artificial gravity area. Differences in construction resulted in some Pegasus ships having radically different appearances. ",,,
