trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
gundam_rifle_bullet,gundam_rifle_bullet,glaive_trail_helix,10,0,0.5,0.5,17,7,"[150,150,150]","[50,50,50]",1,300,1000,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
gundam_main_cannon_bullet,gundam_main_cannon_bullet,base_trail_heavyBurn,10,0.1,0.1,0.5,17,12,"[255,125,25]","[200,100,0]",0.6,32,512,25,0,1,TRUE,FALSE,TRUE,70,10,0.1,180,90,180,TRUE,TRUE
gundam_main_cannon_bullet,gundam_main_cannon_bullet,base_trail_zapWithCore,10,0,0.1,2,12,5,"[255,100,100]","[200,0,0]",0.9,300,100,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
gundam_tank_cannon_bullet,gundam_tank_cannon_bullet,base_trail_zapWithCore,10,0,0.1,0.2,12,5,"[255,125,25]","[200,100,0]",0.9,300,100,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
gundam_cannon_missile_bullet,gundam_cannon_missile_bullet,base_trail_heavyBurn,10,0.1,0.1,0.5,18,12,"[255,125,25]","[200,100,0]",0.6,32,512,25,0,1,TRUE,FALSE,TRUE,70,10,0.1,180,90,180,TRUE,TRUE
gundam_granade_bullet,gundam_granade_bullet,base_trail_smooth,5,0,0.03,0.2,15,3,"[75,75,75]","[50,50,50]",0.5,400,128,13,0,1,TRUE,TRUE,TRUE,5,0,0,0,3,5,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
gundam_sturm_faust_trop,gundam_sturm_faust_trop,base_trail_mild,10,0.1,0.05,1,7,4,"[75,75,75]","[50,50,50]",0.5,256,-256,0,0,1,FALSE,FALSE,TRUE,50,0,0,180,45,0,TRUE,
gundam_bazooka_trop,gundam_bazooka_trop,base_trail_mild,10,0.1,0.1,1,7,15,"[225,180,150]","[175,130,100]",0.5,256,-256,0,0,1,FALSE,FALSE,TRUE,50,0,0,180,45,0,TRUE,
gundam_tactical_nuke_trop,gundam_tactical_nuke_trop,base_trail_mild,10,0.1,0.1,2,10,20,"[225,180,150]","[175,130,100]",0.5,256,-256,0,0,1,FALSE,FALSE,TRUE,50,0,0,180,45,0,TRUE,
gundam_ms_missile,gundam_ms_missile,base_trail_mild,10,0.1,0.05,1,7,4,"[75,75,75]","[50,50,50]",0.5,256,-256,0,0,1,FALSE,FALSE,TRUE,50,0,0,180,45,0,TRUE,
gundam_ms_missile_blue,gundam_ms_missile_blue,base_trail_mild,10,0.1,0.05,1,7,4,"[75,75,75]","[50,50,50]",0.5,256,-256,0,0,1,FALSE,FALSE,TRUE,50,0,0,180,45,0,TRUE,
gundam_straight_missile_bullet,gundam_straight_missile_bullet,base_trail_mild,10,0.1,0.1,1,15,5,"[75,75,75]","[50,50,50]",0.5,256,-256,0,0,1,FALSE,FALSE,TRUE,50,0,0,180,45,0,TRUE,
gundam_builtin_front_spmissile_bullet,gundam_builtin_front_spmissile_bullet,base_trail_mild,10,0.1,0.1,1,15,5,"[75,75,75]","[50,50,50]",0,256,0,0,0,1,FALSE,FALSE,TRUE,50,0,0,180,45,0,TRUE,
gundam_builtin_rear_spmissile_bullet,gundam_builtin_rear_spmissile_bullet,base_trail_mild,10,0.1,0.1,1,15,5,"[75,75,75]","[50,50,50]",0,256,0,0,0,1,FALSE,FALSE,TRUE,50,0,0,180,45,0,TRUE,
