name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,,,
Twin Anti-Aircraft Gun,gundam_pd_2mg,0,,600,400,,20,,1,50,6,,,,KINETIC,8,,0.05,0.05,7,0.1,1,12,2,15,,800,,,10,,,PD,"pd7, kinetic4, SR, gundam_ballistic_bp",,Anaheim Electronics,,Point Defense,,,,,,,,,,30,,,
Twin Anti-Aircraft Laser Gun,gundam_pd_2bc,1,,1200,500,,20,,0,35,7,,,,ENERGY,10,,0.05,0.05,7,0.1,1,12,2,5,,1500,,,,,,PD,"energy18, gundam_beam_bp",,Anaheim Electronics,,Point Defense,,,,,,,,,,31,,,
Anti-MS Fragment Gun,gundam_antims_1cannon_pd_m,1,,2000,1000,,100,,1,40,12,,,,KINETIC,20,,0.05,0.2,1,0,0,0,0,5,,2000,,,10,,,PD,"he18, gundam_ballistic_bp",,Anaheim Electronics,,Point Defense,,,,,,,,,,35,,,
Velocity Coilgun,gundam_sniper,1,0.5,2300,1300,,300,,10,20,13,,,,KINETIC,150,,0.5,3,1,,,,,,,2000,,,30,,,PD,"pd7, kinetic4, SR, gundam_ballistic_bp",,Anaheim Electronics,,Point Defense,,,,,,,,,,4.75,,,
Anti-Shield Chaingun,gundam_chaingun,3,0.3,2500,700,,35,,1,20,15,,,,KINETIC,30,,0,5,40,0.02,0,0,5,10,,1200,,,10,,,"STRIKE, USE_VS_FRIGATES, PD_ALSO","kinetic15, remnant, hist1t, gundam_ballistic_bp",,Anaheim Electronics,,Anti Shield,,,,,,,,,,32,,,
Anti-Shield Twin Chaingun,gundam_2chaingun,3,0.3,2500,750,,35,,1,15,23,,,,KINETIC,30,,0,5,80,0.02,0,0,5,10,,1200,,,10,,,"STRIKE, USE_VS_FRIGATES, PD_ALSO","kinetic15, remnant, hist1t, gundam_ballistic_bp",,Anaheim Electronics,,Anti Shield,,,,,,,,,,33,,,
Twin Mega Particle Cannon,gundam_2mega_particle,2,0.5,3000,800,,600,,0,20,10,,,,KINETIC,550,,1,2,2,0.3,0,10,5,10,,1000,,,75,,,"STRIKE, USE_VS_FRIGATES","energy20, hist1t, gundam_beam_bp",,Anaheim Electronics,,General,,,,,,,,,,34,,,
Twin Mega Particle Beam Cannon,gundam_2mega_particle_beam,2,0.5,3000,800,450,,150,0,20,10,,,,KINETIC,,500,0.5,2,1,0,,,,,1000,,,,,,,"STRIKE, USE_VS_FRIGATES","energy20, beam15, LR, hist1t, gundam_beam_bp",,Anaheim Electronics,,General,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,36,,,
1-Barrel Explosive Gun,gundam_mega_1cannon_m,1,,5000,700,,300,,100,5,13,,,,HIGH_EXPLOSIVE,350,,0,2,1,2,0,10,5,10,,700,,,400,,,"STRIKE, USE_VS_FRIGATES","he18, gundam_ballistic_bp",,Anaheim Electronics,,Anti Armor,,,,,,,,,,35,,,
2-Barrel Secondary Mega Particle Gun,gundam_mega_2bcannon_m,2,0.5,10000,900,450,,150,0,15,12,,,,ENERGY,,500,0,1.5,1,0,,,,,10000,,,,,,,"STRIKE, USE_VS_FRIGATES","energy20, beam15, LR, hist1t, gundam_beam_bp",,Anaheim Electronics,,General,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,36,,,
2-Barrel Secondary Mega Particle Gun,gundam_mega_2bcannon_m_efsf,2,0.5,10000,900,600,,100,0,15,12,,,,ENERGY,,500,0.5,2,1,0,,,,,10000,,,,,,,"STRIKE, USE_VS_FRIGATES","energy20, beam15, LR, hist1t, gundam_beam_bp",,Anaheim Electronics,,General,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,36,,,
3-Barrel 300mm Main Gun,gundam_mega_3cannon_m,3,0.5,5000,800,,400,,10,5,16,,,,KINETIC,350,,1,3,3,0.3,0,10,5,10,,800,1000,1,1000,,,"STRIKE, USE_VS_FRIGATES","he18, gundam_ballistic_bp",,Anaheim Electronics,,Anti Shield,,,,,,,,,,37,,,
2-Barrel Mega Particle Side Gun,gundam_side_mega_cannon,5,0.5,10000,900,550,,150,0,15,12,,,,ENERGY,,500,0.5,2,1,0,,,,,10000,,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES","energy20, beam15, LR, hist1t, gundam_beam_bp",,Anaheim Electronics,,General,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,36,,,
2-Barrel Mega Particle Main Gun,gundam_mega_2cannon,2,0.5,5500,900,1700,,500,0,20,23,,,,ENERGY,,1000,2,2,1,3,,,,,5000,,,,,,,"STRIKE, USE_VS_FRIGATES","energy14, beam10, gundam_beam_bp",,Anaheim Electronics,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,38,,,
3-Barrel 580mm Main Gun,gundam_mega_3cannon,3,0.3,7000,1000,,900,,30,5,23,,,,KINETIC,800,,1,6,3,0.05,5,10,5,10,,700,,,400,,,"STRIKE, USE_VS_FRIGATES","kinetic20, LR, remnant, hist1t, gundam_beam_bp",,Anaheim Electronics,,Anti Shield,,,,,,,,,,39,,,
Big Gun,gundam_big_gun,5,0,,1000,800,,900,0,5,,,,,ENERGY,,1000,3,3,1,3,,,,,10000,,,,,,,"CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES, ANTI_FTR","energy20, beam15, LR, hist1t, gundam_beam_bp",,Anaheim Electronics,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,40,,,
High-Energy Blaster Cannon,gundam_blaster_cannon,3,0.2,10000,1000,1000,,1100,0,7,25,,,,ENERGY,,1000,3,3,1,4,,,,,10000,,,,,,,"CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","energy20, beam15, LR, hist1t, gundam_beam_bp",,Anaheim Electronics,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,40,,,
Anti-Shield Warhead,gundam_builtin_front_spmissile,0,,300,1000,,150,,5,30,4,24,0.3,,KINETIC,,,0,3,3,0.1,0,0,5,0,,600,100,3,500,,,"BOMB, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","utility8, missile0, gundam_missile_bp",,Anaheim Electronics,,Anti Shield,Fast,Excellent,,,,,,,,41,,,
Guided Anti-Shield Warhead,gundam_builtin_rear_spmissile,0,,300,1100,,150,,5,30,4,35,0.3,,KINETIC,,,0,5,5,0.2,0,0,5,0,,600,300,3,500,,,"DO_NOT_AIM, BOMB, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","utility8, missile0, gundam_missile_bp",,Anaheim Electronics,,Anti Shield,Fast,Excellent,,,,,,,,41,,,
Armour Piercing Sabot,gundam_builtin_rear_apmissile,1,,4000,1200,,2000,,50,10,10,6,,,HIGH_EXPLOSIVE,,,0,15,3,0.5,0,0,0,0,,600,200,8,500,,,"CONSERVE_FOR_ANTI_ARMOR, DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","strike8, rocket3, gundam_missile_bp",,Anaheim Electronics,,Torpedo,Fast,Excellent,,,,,,,,42,,,
Anti-MS Swamp Missile,gundam_builtin_rear_swamp_missile,1,,3000,1200,,100,,20,30,10,100,,,HIGH_EXPLOSIVE,,,0,5,10,0.3,0,30,0.5,5,,700,100,10,100,,,"ANTI_FTR, DO_NOT_AIM","utility18, missile15, gundam_missile_bp, hist1t, merc",,Anaheim Electronics,,Anti MS,Fast,Excellent,,,,,,,,16.3,,,
