trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
tpc_shot_weaver_trail1,tpc_shot_weaver,base_trail_smooth,8,0.1,0.7,0.1,20,10,"[255,50,50]","[255,0,0]",0.2,300,500,0,0,1,TRUE,FALSE,TRUE,50,100,0.2,0,20,20,TRUE,FALSE
tpc_shot_weaver_trail2,tpc_shot_weaver,base_trail_smooth,8,0.1,0.7,0.1,20,10,"[255,100,100]","[155,0,0]",0.2,300,500,0,0,1,TRUE,FALSE,TRUE,40,80,0.2,0,20,20,TRUE,FALSE
tpc_shot_weaver_trail3,tpc_shot_weaver,base_trail_smooth,8,0.1,0.7,0.1,20,10,"[255,148,0]","[130,75,0]",0.2,300,500,0,0,1,TRUE,FALSE,TRUE,40,80,0.2,0,20,20,TRUE,FALSE
tpc_shot_weaver_trail4,tpc_shot_weaver,base_trail_smooth,8,0.1,0.6,0.1,20,10,"[255,233,0]","[255,148,0]",0.2,300,500,0,0,1,TRUE,FALSE,TRUE,40,60,0.2,0,20,40,TRUE,FALSE
tpc_shot_weaver_trail5,tpc_shot_weaver,base_trail_smooth,8,0.1,0.6,0.1,20,10,"[178,0,255]","[76,0,112]",0.2,300,500,0,0,1,TRUE,FALSE,TRUE,40,60,0.2,0,20,40,TRUE,FALSE
tpc_shot_weaver_smoke,tpc_shot_weaver,base_trail_heavyBurn,10,0,0.7,0.3,10,10,"[150,73,69]","[50,50,50]",0.3,300,500,10,0,1,TRUE,FALSE,TRUE,20,50,0.3,0,75,100,TRUE,FALSE
tpc_shot_weaver_glow,tpc_shot_weaver,base_trail_smooth,6,0,0.05,0.1,70,65,"[255,255,255]","[255,0,0]",0.6,300,1000,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpc_shot_hmi_hvb_trail1,tpc_hmi_hvb_shot,base_trail_smooth,10,0.1,0,0.3,8,4,"[219,74,134]","[175,38,118]",0.5,300,500,0,60,1,TRUE,FALSE,TRUE,80,40,0.15,0,60,60,TRUE,FALSE
tpc_shot_hmi_hvb_trail2,tpc_hmi_hvb_shot,base_trail_zapWithCore,6,0.1,0.3,0.1,10,5,"[216,42,15]","[170,34,51]",0.4,300,500,0,60,1,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
