name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite,
Junker,junker,,,,,,,,TRUE,,0,0,0,0,data.hullmods.junker,"This type of ship is well renowned for being made up of several vaguely connected modules that is just as easy to reconstruct as it is to break apart. Further, on putting back together, the modules can be put together in more efficient ways. Consequently, with %s, there is a corresponding %s and a %s. Negative effects from d-mods is reduced by %s. However, with increasing damage there is a loss of integrity to fighter manufactories, decreasing %s. Incompatible with %s, and installing %s results in significantly increased chance of malfunctions, and %s weapon and engine repair time. ","This ship is a ""Junker"", a ship well reknowned for being a ship made up of several vaguely connected modules that is just as easy to reconstruct as it is to break apart. Further, on putting back together, the modules can be put together in more efficient ways. ",,graphics/hullmods/junk.png,
Rapid Repair System,rapidrepaircheck,,,,,,,,TRUE,,0,0,0,0,data.hullmods.RapidRepairCheck,"Shieldless ships are incredibly vulnerable to crippling EMP attacks to their weapons and engines. To compensate for this, Junker hulls have widespread underlying damage control infrastructure throughout the hull which would otherwise be occupied by shield generators. Junker weapons and engines repair %s faster and take %s less damage.

%s, as the underlying infrastructure needs to be changed to accomodate the shield projectors.","This ship is a ""Junker"", a ship well reknowned for being a ship made up of several vaguely connected modules that is just as easy to reconstruct as it is to break apart. Further, on putting back together, the modules can be put together in more efficient ways. ",,graphics/hullmods/rapidrepair.png,
Damaged,junk1,,,,,,,,TRUE,,-2,-5,-10,-20,data.hullmods.junk1,"Having suffered some damage, new modules have been added amongst the scars of battle. Adds %s Ordinance Points depending on hull size, reduces repair costs by %s, and the ship's fighters take %s more damage and deal %s less damage.","Having suffered some damage, new modules have been added amongst the scars of battle.",,graphics/hullmods/junk1.png,
Badly Damaged,junk2,,,,,,,,TRUE,,-4,-10,-20,-40,data.hullmods.junk2,"This ship has taken a hell of a beating, but some of the ship has become increasingly cutomized. Adds %s Ordinance Points depending on hull size, reduces repair costs by %s, and the ship's fighters take %s more damage, deal %s less damage and their engagement range is reduced by %s.","This ship has taken a hell of a beating, but some of the ship has become increasingly cutomized.",,graphics/hullmods/junk2.png,
That's a Lot of Damage,junk3,,,,,,,,TRUE,,-6,-15,-30,-60,data.hullmods.junk3,"Something of a zombie ship, not much of the trash from before exists, instead better, more functional parts have been crudely added. Adds %s Ordinance Points depending on hull size, reduces repair costs by %s, and the ship's fighters take %s more damage, deal %s less damage and their engagement range is reduced by %s.","Something of a zombie ship, not much of the trash from before exists, instead better, more functional parts have been crudely added.",,graphics/hullmods/junk3.png,
Not Even Salvageable,junk4,,,,,,,,TRUE,,-12,-30,-50,-90,data.hullmods.junk4,"This ship is little more a floating collection of upgrades stuck vaguely together in the form of a ship, than an actual ship. Adds %s Ordinance Points depending on hull size, reduces repair costs by %s, and the ship's fighters take %s more damage, deal %s less damage and their engagement range is reduced by %s.","This ship is little more a floating collection of upgrades stuck vaguely together in the form of a ship, than an actual ship.",,graphics/hullmods/junk4.png,
,,,,,,,,,,,,,,,,,,,,
Mining Hybridization Amplifier,hmi_miningHSA,0,,,offensive,Weapons,1000,,,,3,6,9,12,data.hullmods.HMI_MiningHSA,This modification makes %s. This also applies to %s.,Enhanced hybrid beam weapons on ships and fighters.,All beam weapon damage is enhanced by %s.,graphics/hullmods/hmi_miningscatter.png,
,,,,,,,,,,,,,,,,,,,,
Techmined Hull,HMI_techminedhull,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TechminedHull,"Based on a semi-complete, incredibly advanced design discovered by Hazard Mining Incorporated, this vessel has fundamental problems in its construction as a product of lacking sophisticated manufacturing techniques and a more complete blueprint. This vessel suffers from a %s increase in CR degradation past its peak time, ship repairs take %s longer outside of combat, and the ship takes an additional %s damage from hyperspace storms, coronas and event horizons.","This ship suffers from problems which makes CR degrade faster, recover CR and repair slower, and take more damage due to terrain effects.",,graphics/hullmods/delicate_machinery.png,
Categorical Mount Dampeners,hmi_category_range,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_CategoryRange,The ballistic integration in the Category is unique for its recoil reduction and the ability to enhance pin-point long-range targeting. All ballistic weapons receive %s less recoil and a flat range bonus of %s.,"This ship suffers from problems which makes CR degrade faster, recover CR and repair slower, and take more damage due to terrain effects.",,graphics/hullmods/ballistics_integration.png,
Reinforced Weapon Chassis,hmi_barber_reinforcement,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_DrillArmour,The modifications to the Barber's chassis include a considerable amount of alteration to the vessels armour and weapon's mechanisms to ensure that space dust and asteroid impacts do not compromise long-term maintenance of the vessel. Weapon health increased by %s.,The Barber's weapons are incredibly resilient.,,graphics/hullmods/detach_never.png,
Linked Hull,hmi_linkedhull,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_LinkedHull,Mirrors certain aspects between the parent and child hulls.,,,graphics/hullmods/vast_bulk.png,
Improvised Station Hull,hmi_stationhull,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_StationHull,"This vessel was originally designed for geosynchronous orbit, not for interstellar travel. The alterations to ensure this ship is able to move between stars involved a fair amount of jury-rigging and dangerous improvisation. A large amount of the alterations were dedicated to ensuring the ex-station can withstand the forces of the engines without crumpling in on itself. This has had the unfortunate impact of dedicating the power systems from the shields to the engines, while the engines themselves are difficult to apply additional modification to. Integrating a %s will %s. Applying a %s will result in the %s. Equipping %s will reduce range by an additional %s. However, the sheer mass and size of the main part of the vessel means that %s. Modules lack this damage mitigation, being smaller sections of the strucutre.

The large bulk of the station, combined with the inefficient engines, increases sensor profile by %s.",Increases sensor strength and profile.,,graphics/hullmods/vast_bulk.png,
Conjugated Accuracy Computer,conjugatedaccuracycomputer,,,,,,,,TRUE,,15,30,45,60,data.hullmods.ConjugatedAccuracyComputer,"Integrates a large, complex targeting computer into the ship. While this increases the weapon range of ballistic and energy weapons by %s, the ship becomes comprimised in several respects. The speed and maneuverability is inhibited by %s/%s/%s/%s depending on hull size due to the bulk of the assembly. Further, passive venting reduced by %s  to prevent the computer being damaged by wild swings in the ship energy systems. Finally, if overloaded, the computer will require a lengthy restart and reorientation sequence, increasing overload time by %s. Incompatible with Safety Overrides, Integrated Targeting Unit, Dedicated Targeting Core and Advanced Optics.","A large targeting computer that drastically increases range, but reduces speed, movement and venting.",,graphics/hullmods/conjugate_computer.png,
Supplementary Surveying Suite,hmi_improve_surveying_equipment,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ImprovedSurveyingEquipment,"Various technologies and equipment that increase the efficiency of the existing survey suite, reducing the cost of surveying by %s and %s, down to a minimum of 5 for each.",Reduces costs for surveying.,,graphics/hullmods/axial_rotation.png,
Comgence Armour,monjeau_armour,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_Monjeau_Armour,"The Monjeau's key feature, the Combat Intelligence Armour multiplies the effective armour strength for damage reduction by %s, with maximum armour damage reduction increased by %s. An extension of this effect is that %s have very little impact on armour.

The armour also protects the weapon emplacements and engine assembly, reducing EMP damage by %s and giving weapons an extra %s health points. However, due to the Comgence Armour utilising the entire vessel to support its damage reduction abilities, there is %s.",Heavy armour that stops a disproportionate amount of damage.,,graphics/hullmods/damper_field.png,
Monjeau Slip Jets,monjeau_jets,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_Monjeau_Jets,"Instead of a shield generator, the Monjeau has a %s that %s. The system comes with %s, that regains %s.",This ship possesses a burst movement system,,graphics/hullmods/augmented_engines.png,
Fixed Frontal Shield,hmi_fixed_shield,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_FixedShield,This ship's shields will always remain front facing. Blocks the installation of Omni Shield Hullmod.,This ship's shields will always remain front facing. Blocks the installation of Omni Shield Hullmod.,,graphics/hullmods/front_shield_emitter.png,
Dromedary Maintenance Efficiency,hmi_drom,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_Dromedary,"The Dromedary is a ship well known for it's low supply cost, being legendary for its ease of use, ease of acquiring parts, and sheer resilience of the components once integrated. Supply cost reduced by %s.",Reduces maintenace cost.,,graphics/hullmods/hmi_drom.png,
Deep Dream Reconstruction,hmi_limina_reconstruction,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_LiminaReconstructionStats,"This passive system %s. The amount %s by the system depends on the %s, with the rate of repair decreasing with decreasing flux level. The system causes the ship to vent %s faster during active venting.

While the ship itself is easily and readily maintained by the Deep Dream generators, the Dream Generators themselves are disproportionately difficult to maintain, requiring unique and intricate pieces and extensive work hours to maintain peak operation - and not have the ship possibly eat itself and the crew. Maintenance cost increased by %s.",This ship will repair hull on active venting.,,graphics/hullmods/nanite_computer.png,
