name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remora Drone,drone_remora_scan,,High Tech,,,200,25,150,,100,,,175,250,250,45,90,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,10999.1
Blitz Borer,drone_blitz_borer,,Junker (HMI),,,90,25,200,,100,,,355,500,400,90,270,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,10999.2
Reign Borer,drone_blitz_borer_suicide,,Junker (HMI),,,300,100,200,,100,,,235,300,300,90,180,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,10999.2
Bombardment Pod,support_bombardment_drone,,Junker (HMI),,,350,50,150,,100,0,,220,180,120,90,90,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,11000
Heavy Shepherd Drone,heavy_shepherd_borer,,HMI Modification,,,550,300,350,,75,0,,250,250,250,250,250,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,11001
Shell,hmi_shell,,Junker (HMI),flarelauncher,,500,150,150,,100,0,,85,50,50,40,75,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,11024.1
Taker Mining Drone,hmi_taker_drone,,Junker (HMI),,,400,100,150,,100,0,,125,75,75,45,90,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,108
Trapdoor,hmi_trapdoor,,HMI Modification,,,200,25,400,,100,0,,245,350,275,180,300,10,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,11024.2
Nail,hmi_nail,,HMI Techmined,,,65,15,400,,100,0,,250,350,300,100,200,20,FRONT,,360,0,0.4,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,11024.2
Scogliera,hmi_scogliera,,HMI Techmined,flarelauncher_fighter,,550,150,120,,100,0,,235,420,370,140,220,30,FRONT,,160,0,0.6,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Scale,hmi_scale,,HMI Techmined,,,500,300,150,,75,0,,175,75,75,90,90,50,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,11024
Vincensa,hmi_vincensa,,HMI Techmined,,,300,25,150,,50,0,,150,200,200,70,120,40,OMNI,,160,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,11200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##HMI Mods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crook,shepherd_heavy,Heavy Frigate,HMI Modification,hmi_drone_heavy_borer,5,2750,400,1250,,150,35,,75,100,60,60,120,200,NONE,,0,0,0,,,20,40,65,40,1,40,10,12000,8,20,240,0.25,5,5,,,,,,,,"hmi_bp, ind",,0.5,2,2,,222.2222
Whiskey Priest,shepherd_light,Stripped Drone Tender,HMI Modification,flarelauncher,4,450,200,750,,100,10,3,80,75,85,90,180,200,NONE,,0,0,0,,,50,35,20,10,1,10,10,8000,8,20,180,0.25,3,3,,,,,,,CARRIER,"hmi_bp, ind",0.75,0.5,2,2,,216
Barber,lasher_hmi,Mining Frigate,HMI Modification,hmi_drill_attack,4,2150,485,1200,,160,35,,125,115,85,55,110,200,NONE,,0,0,0,,,35,50,100,25,1,25,10,8500,8,10,240,0.25,4,4,,,,,,,,"hmi_bp, ind",,0.8,2,2,,11002.22212
Khorkhoi,cerberus_miner,Mining Frigate,HMI Modification,burndrive,5,2300,315,1300,,160,30,,100,95,70,55,120,300,NONE,,0,0,0,,,20,50,100,40,1,40,10,9500,8,10,240,0.25,4,4,,,,,,,,"hmi_bp, ind",,0.4,2,2,,11006
Maunderer,maunderer,Mining Freighter,HMI Modification,flarelauncher,6,2250,250,1600,,120,30,2,70,85,60,45,70,300,OMNI,,90,0.5,1.2,,,35,50,100,40,1,40,8,14000,8,10,240,0.25,7,7,,,,,,,"CIVILIAN, CARRIER","hmi_bp, ind",0.75,0.5,2,2,,221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remora,remora,Drone Tender,High Tech,flarelauncher_active,3,1000,150,1000,,80,25,1,125,90,80,90,120,125,OMNI,,90,0.4,0.6,,,20,40,100,60,0.5,120,9,11000,8,20,180,0.25,3,3,,,,,,,CARRIER,"hightech_bp, ind",,0.5,2,2,,203.5
Mulligan,mulligan,Phase Destroyer,Low Tech,ammofeed,12,3350,600,3900,,265,60,,90,80,65,60,80,200,PHASE,phasecloak,,,,0.06,0.06,20,35,35,35,1,35,9,34000,10,20,180,0.25,8,8,,,,,,,,"lowtech_bp, ind",,0.8,2,2,,228.1
Prognosticator,prognosticator,Experimental Destroyer,High Tech,hmi_timeaccelerator,10,3850,250,5000,,145,30,,85,75,65,30,30,350,OMNI,,120,0.4,0.6,,,50,60,30,30,2,15,9,45000,5,15,240,0.25,11,11,,,,,,,,"hightech_bp, hist1t, merc, tritachyon",0.5,0.5,2,3,,301.1111
Dromedary,mule_hmi_heavy,Explorer Destroyer,HMI Modification,reservewing,10,5650,625,3750,,150,65,1,35,25,20,20,15,500,FRONT,,90,0.4,1.1,,,40,80,125,150,1.25,120,9,36000,2.5,16,300,0.35,8,8,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","hmi_bp, ind",,0.5,2,3,,11022
Donkey,mule_hmi_light,Stripped Miner,HMI Modification,flarelauncher,8,1250,250,3000,,150,30,5,65,55,65,40,30,375,NONE,,0,0,0,,,100,60,35,20,2,10,9,28000,5,10,300,0.25,6,6,,,,,,,CARRIER,"hmi_bp, ind",0.75,0.5,2,3,,310
Ass,mule_hmi_x,Converted Destroyer,Pirate,burndrive,10,4950,600,4700,,245,80,,70,50,40,40,40,500,FRONT,,165,0.4,0.8,,,35,50,85,40,2,20,9,38000,5,10,240,0.25,8,8,,,,,,,ALWAYS_PANIC,pirate_bp,,0.5,2,3,,11021.2
Nebulite,nebula_hmi,Converted Miner,HMI Modification,flarelauncher,12,3000,175,1500,,85,40,3,55,45,35,20,12,450,OMNI,,90,0.5,1.2,,,55,100,200,80,2,40,7,28000,4,20,240,0.25,12,12,,,,,,,"CIVILIAN, CARRIER","hmi_bp, ind",0.75,,2,3,,313
Hippocampus,hippocampus,Explorer Destroyer,High Tech,targetingfeed,12,8500,165,3850,,265,80,2,50,35,15,25,20,400,OMNI,,120,0.4,0.6,,,100,220,185,100,2,50,8,42500,4,8,360,0.25,12,12,,,,,,,CARRIER,"hightech_bp, tritachyon",,0.6,2,3,,305.1111
Mora (P),mora_pirates,Combat Carrier,Pirate,burndrive,15,10000,1250,4000,,200,105,2,45,20,10,10,10,2000,OMNI,,150,0.4,1,,,175,300,100,60,4,15,8,105000,4,12,420,0.25,18,18,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",pirate_bp,,0.4,2,3,,410
Beldam,beldam,Battlecruiser,High Tech,microburn,30,7500,650,12000,,600,220,,70,50,40,8,12,1500,OMNI,,180,0.4,0.8,,,180,300,100,120,8,15,8,350000,3,12,540,0.25,35,35,,,,,,,,"rare_bp, hist2t, merc",,0.4,2,3,,402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##HMI Junkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shotglass,hmi_shotglass,Junker Shuttle,Junker (HMI),flarelauncher,2,1000,125,885,1250,175,40,,150,150,100,90,120,200,NONE,,0,0,0,,,2,5,20,20,1,20,11,7000,5,10,240,0.25,2,2,,,,,,,,hmi_junk_bp,,0.8,2,2,,220.111
Greasy,hmi_greasy,Junker Frigate,Junker (HMI),burndrive,4,7000,265,2200,2188,125,65,,90,80,80,40,80,300,NONE,,0,0,0,,,30,50,40,25,1,25,10,20000,8,10,240,0.25,4,4,,,,,,, ,hmi_junk_bp,,0.5,2,2,,220.11
Snail,hmi_snail,Junker Frigate,Junker (HMI),fastmissileracks,4,6500,240,2500,2188,155,50,,85,75,75,35,35,250,NONE,,0,0,0,,,15,45,85,20,1,20,10,18000,8,10,240,0.25,4,4,,,,,,,,hmi_junk_bp,,0.6,2,2,,219.01
Streak,hmi_streak,Junker Frigate,Junker (HMI),ammofeed,4,5500,185,2000,1875,185,70,,120,85,85,65,120,285,NONE,,0,0,0,,,20,30,10,10,1,10,11,13500,8,10,240,0.25,4,4,,,,,,,,hmi_junk_bp,,0.8,2,2,,213.01
Creep,hmi_creep,Junker Destroyer,Junker (HMI),ammofeed,10,8500,265,4000,4167,245,120,,95,75,75,45,80,375,NONE,,0,0,0,,,65,85,50,40,2,20,9,36000,5,12,360,0.25,8,8,,,,,,,,hmi_junk_bp,,0.8,2,3,,3000.01
Convict,hmi_convict,Junker Carrier,Junker (HMI),fastmissileracks,10,3500,125,2250,2813,185,85,2,60,30,25,20,20,300,NONE,,0,0,0,,,120,150,85,50,2,25,9,48000,5,15,360,0.25,10,10,,,,,,,CARRIER,hmi_junk_bp,,0.8,2,3,,3181.01
