id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
lightdualac_rem_shot,projectile,50,0.15,0.15,"[225,220,255]",,,,,,50,0.15,0.2,"[225,220,255]",,1,TRUE
railgun_rem_shot,projectile,100,0.25,0.3,"[200,190,255]",,100,0.2,0.6,"[200,190,255]",,,,,,1,TRUE
heavyac_rem_shot,projectile,90,0.25,0.2,"[225,220,255]",,90,0.25,0.75,"[225,220,255]",100,0.2,0.15,"[225,220,255]",,1,TRUE
gauss_rem_shot,projectile,150,0.4,0.3,"[100,200,255]",,150,0.45,0.75,"[100,200,255]",200,0.55,0.25,"[100,200,255]",,1,TRUE
rem_hellbore_shot,projectile,175,0.4,0.5,"[200,0,0]",,250,0.7,1,"[200,0,0]",175,0.45,0.75,"[200,50,50]",,1,TRUE
mark9_rem_shot,projectile,125,0.4,0.2,"[225,220,255]",,125,0.4,0.75,"[225,220,255]",150,0.25,0.15,"[225,220,255]",,1,TRUE
,,,,,,,,,,,,,,,,,
messenger_rocket,projectile,75,0.2,0.4,"[255,125,25]",11,250,0.2,1,"[255,165,10]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
irpulse_rem_shot,projectile,100,0.2,0.25,"[0,0,200]",,115,0.2,0.5,"[0,0,200]",75,0.1,0.35,"[50,50,200]",,1,TRUE
heavyblaster_rem_shot,projectile,140,0.4,0.3,"[255,90,60]",,200,0.6,0.75,"[255,90,60]",150,0.4,0.2,"[255,90,60]",,1,TRUE
pulselaser_rem_shot,projectile,125,0.2,0.25,"[0,0,200]",,150,0.25,0.6,"[0,0,200]",100,0.15,0.5,"[50,50,200]",,1,TRUE
,,,,,,,,,,,,,,,,,
lrpdlaser_rem,beam,35,0.4,,"[120,60,220]",,105,0.2,,"[120,60,220]",55,0.2,,"[120,60,220]",,1,TRUE
mininglaser_rem,beam,40,0.25,,"[255,215,75]",,,,,,,,,,,1,TRUE
mininglaser_double_rem,beam,40,0.25,,"[255,215,75]",,,,,,,,,,,1,TRUE
burst_rem,beam,50,0.85,,"[120,60,220]",,155,0.45,,"[120,60,220]",,,,,,1,TRUE
heavyburst_rem,beam,85,0.7,,"[120,60,220]",,260,0.35,,"[120,60,220]",,,,,,1,TRUE
burst_rem_ftr,beam,50,0.85,,"[120,60,220]",,155,0.45,,"[120,60,220]",,,,,,1,TRUE
pdlaser_rem,beam,35,0.45,,"[120,60,220]",,110,0.25,,"[120,60,220]",55,0.25,,"[120,60,220]",,1,TRUE
taclaser_rem,beam,45,0.45,,"[0,255,0]",,130,0.25,,"[0,255,0]",65,0.25,,"[0,255,0]",,1,TRUE
phasebeam_rem,beam,70,1.05,,"[125,50,155]",,210,0.5,,"[125,0,155]",105,0.5,,"[125,0,155]",,1,TRUE
gravitonbeam_rem,beam,65,0.4,,"[10,255,110]",,200,0.2,,"[10,255,110]",100,0.2,,"[10,255,110]",,1,TRUE
guardian_rem,beam,15,0.95,,"[100,255,255]",,45,0.45,,"[100,255,255]",,,,,,1,TRUE
tachyonlance_rem,beam,90,1.65,,"[165,100,255]",,275,0.85,,"[165,100,255]",135,0.85,,"[85,25,215]",,1,TRUE
