id,type,text1,text2,text3,notes
# WEAPONS WEAPONS WEAPONS,,,,,
,,,,,
sml_fragrifle,WEAPON,"The HK-101 Precision Survey Pike is primarily used to fire survey probes into asteroids for more accurate information regarding asteroid composition. In combat  it's a superbly accurate, if somewhat underwhelming semi-automatic weapon. On contact the probes can emit a sharp, confusing burst of EMP that can disrupt engines and weapons on impact.",Fire Support,,
sml_shotgrun,WEAPON,"This medium-ranged shotgun is something of a frontiersmen favourite for hunting [REDACTED]. Has a poorer damage efficiency when compared with it's main rival, the dual autocannon.",Assault,,
rangus_crossbow,WEAPON,"The Rangus Crossbow Autocannon is a straightforward miniaturization of the Arbelest, adjusted to fit in a small ballistic mount. Sacrifices were made to range, turret traverse rate and recoil, but it still functions as a cheaper alternative to the railgun.",Anti-Shield,,
hmi_kiddie_mortar,WEAPON,"The Vince Kidney Mortar (colloquially 'Kiddie' Mortar) is a slap-dash modification of the light mortar. With the reload and firing mechanism replaced, this weapon can fire a short burst of mortar rounds at high speed, but takes considerable time to reload with free rounds. Useful for strikes against unshielded hull.",Strike,,
hmi_nailgun,WEAPON,"The Silesia Nailgun is an old riveting tool used to pin station supports to asteroids and geological features. In combat the safeties are disabled and the weapon fires molten rivets at the enemy in short bursts over acceptable ranges with decent flux efficiency. The molten fragments themselves lack punch against armour and shields, but will cut through armour-stripped hull in seconds.",General,,
rock_launcher,WEAPON,"The Lesser Xin Li Mining Collector uses localised gravitronic fields similar to artificial gravity on ships to grab small asteroids - or fling small objects like bundled mining explosives at the enemy. While the weapon has long range, it is let down by a slow projectile, and the civilian explosive that splatters harmlessly against shields.",Suppression,,
retro_ml,WEAPON,"A low powered mining laser retrofitted for ballistic slots. Due to the ballistic integration, the weapon works by depleting manually loaded energy cores in short bursts. The process of reloading the cores is slow and sluggish, but the rapid depletion of the core provides a surprising amount of firepower. Lacks the ability to track missiles, but works as a semi-effective anti-fighter weapon.",Anti-Fighter,,
burst_ml,WEAPON,"The Chimobuko configuration of the mining laser utilises better lensing to extend the reach of the mining laser. This extension weakens the beam considerably, however it does enable remote gravitation manipualtion of small objects. While this weapon will struggle to kill a missile or fighter in combat situations, it will disrupt its flight plan enough for other weapons to deal with it.",Point Defense,,
mining_gen,WEAPON,"This assembly, under mining conditions, fires a stream of magnetic nanites that seek out ores, which are then sucked back into the assembly. In combat the assembly is rotated 90 degrees to the side and overcharged. When released from the emergency vent port, the resulting blast of charged nanites can cripple ship systems and overload even mid-grade shielding. The intense conditions put tremendous strain on the assembly, ensuring the weapon can only be used once or twice before suffering a critical malfunction.",Strike, ,
hmi_slagger_gun,WEAPON,"This weapon heats asteroid matter to unstable levels for future refining. In combat it fires this slag in short spurts. Near heavy matter it explodes, distributing the heat into the target. The short range of the heated material prevents effective anti-ship combat, but the wildly unpredictable slag can effective clear small regions of missiles.",Point Defense,,
kane_missile,WEAPON,"Considered to be an 'upgrade' of the Hammer torpedo, the Kane torpedo has very weak tracking capability while maintaining the same damage output as the Hammer. Mostly used by old dodgers with poor eyesight.",Strike,,
seth_sml,WEAPON,"A hacked drone construction assembler crudely applied to a missile slot, this weapon is able to release a slow but steady stream of Seth Drones; slow, dumb borer drones that burst apart into a small number of kinetic fragments when nearing enemy ships.",Fire Support,,
mbeke_sml,WEAPON,"A turret that shoots a steady stream of low-yield warheads, the Mbeke Rocket Turret is considered to be an outdated if rather useful weapon to pressure enemy ships. An autoloader sustains its ability to pressure targets in longer engagements.",Suppression,,
mbeke_fighter,WEAPON,"A smaller derivative of the Annhiliator, the Ngolo releases a steady stream of low yield rockets. Restricted by a limited ammo pool and slow firing rate.",Suppression,,
signpost_sml,WEAPON,"A simple seismic mining charge, the Signpost vibrates and destabilises particularly thick regions of geology for future accumulation. In combat these charges are launched over long range to suppress the enemy. However, due to safety measures and easy dispersal by shields, the charge only properly activates on sudden contact with armour.",Anti-Armour,,
,,,,,
hmi_ragtime,WEAPON,"The Ragtime Mortar is an attempt to improve upon the Heavy Mortar. With an extended barrel and a reinforced reloading mechanism, the Ragtime can fire slightly quicker and hit with marginally better consistency than the Heavy Mortar, but loses out on some flux efficiency.",Anti Armour,,
launcher_cannon,WEAPON,"The Greater Xin Li Mining Collector uses localised gravitronic fields similar to artificial gravity to grab moderate asteroids. While these fields are too weak to affect ships in combat, they can propel a small clutch of mining explosives at the enemy. These projectiles are easily defeated by shields, but can be fired with good flux efficiency.",Suppression,,
med_frag_mg,WEAPON,"This weapon is deeply loved by Gunnery Officers for rewarding the proper upkeep of its overly complicated and many reduntant systems, liked by Starship Captains who like to eliminate swathes of fighters, and loathed by gunnery crews for using an archaic liquid cooling system that requires constant attention and continual upkeep.",Suppression,, 
twotherac,WEAPON,"By removing the central rifle of the Heavy Autocannon, it becomes much easier to compensate for successive shots from a single turret. The result is the Two-Third (Toother) Autocannon, with better accuracy and longer range, at the cost of lower damage output.",Anti-Shield,,
clyde_mg,WEAPON,"Affectionately known as the Tommy Gun, this weapon fires a continuous stream of kinetic bullets at the enemy. Unfortunately let down by an old rechambering mechanism, which rapidly builds flux on use.",Assault,,
pumm_mg,WEAPON,"Techmined from some forgotten archaeological site, this derivative of the Thumper has a smaller magazine, but a larger caliber bullet and is able to track missiles. Able to fire short bursts at mid-range, this weapon is useful for anti-fighter and point-defense applications.",Point Defense,,
hmi_voracious,WEAPON,"This monster of a techmined weapon unleashes a torrent of armour-piercing projectiles downrange with terrifying accuracy for moderate flux efficiency. However, the weapon is limited by it's magazine and slow reload, relegating it to a strike weapon.",Close Support,,
retro_mb,WEAPON,"A mining blaster retrofitted for a medium ballistic slot, this mining implement is deceptively powerful. While lacking the punch a mining blaster normally possesses due to a dependance on manually loaded energy cores, the better containment of the lower energy bolts results in a more flux-efficient weapon.",Assault,,
mcg_ml,WEAPON,"A frankenstein design from a legendary technician, this battery of overcharged mining lasers releases a burst of unfocused, short range beams that can demolish armour, but are easily turned aside by shields and lack the ability to properly disrupt hull structure.",Assault,,
suowang_pulser,WEAPON,"A primitive variation of the Autopulse Laser, the Suo Wang Pulser shoots a rapid stream of IR laser bursts as long as its capacitors allow. Considered to be an effective assault weapon for light craft.",Strike,,
double_ir,WEAPON,"A relatively simple weapon, the Double IR Pulse Laser is exactly what it says on the tin - two IR pulse lasers combined into a single slot. The size of the doubled assembly requires the usage of a medium energy mounting, however it is still a useful and flux efficient weapon for assault craft.",Assault,,
hmi_mininglaser_array,WEAPON,"Three upsized Mining Lasers in an array, this asteroid cutting and accumulation device doubles as a cheap but weak anti-missile and suppression weapon.",Point Defense,,
seth_med,WEAPON,"Two hacked borer drone construction assemblys crudely applied to a missile slot, this weapon is able to release a slow but steady stream of Seth Drones with improved, longer range engines and implanted explosive devices. On close range, the drones burst apart and shoot the explosive charges at the enemy.",Fire Support,,
campbelltown_med,WEAPON,"More a threat to friendly vessels than to enemy ships, this weapon releases a wide spread of light rockets. For this reason its use has all but disappeared, apart from several crazy miscreants from beyond the Outer Rim who still say its useful as a strike weapon.",Strike,,
mbeke_med,WEAPON,"The Mbeke Rocket Rack launches short bursts of long-range, low yield missiles. While individual missiles lack punch, they can be worrying for lighter targets and armour stripped hulls, and can be massed quite effectively. An autoloader sustains its pressuring potential.",Suppression,,
signpost_med,WEAPON,"A larger Signpost Launcher, this weapon is a useful for long range suppression. On detonation on hull, the target's armour will be destabilized by intense vibration, weakening the foe for additional follow-up attacks.",Anti-Armour,,
rad_gun,WEAPON,"A horrifyingly inhuman machine, this weapon shoots a stream of concentrated high energy particles and subspacial anomalies in a brief beam that turns unprotected targets into molten, screaming goo. The saving grace of this weapon is it's absurdly high ordinance cost, meaning it's not in use everywhere - little hope for those facing it, however.",Suppression,,
mining_burst_blaster,WEAPON,"A modification of the Mining Blaster to utilize a rotary system similar to the Thumper, this weapon can deal reliable damage to enemy hull but is notoriously flux intensive.",Strike,,
,,,,,
dick_cannon,WEAPON,"A weapon extracted from what may have been a Pre-Domain weapons facility, this artillery assembly fires a considerable stream of ordinance. While it has a short range and fires weak fragmentary projectiles similar to oversized vulan rounds, the high-speed turret motors and sheer volume of fire ensure it has a niche use as combination point defence and assault weapon.",Point Defense,,
mark_iv,WEAPON,"With a cripplingly shallow ammo pool and slower reload speed, this progenitor of the Mark IX is widely considered to be obsolete despite its better accuracy and longer range. However, with investment into magazine expansion, this weapon becomes an somewhat effective close support weapon.",Close Support,,
hmi_megalauncher_cannon,WEAPON,"The Xin Li Mining Accumulator uses localised gravitronic fields similar to artificial gravity on ships to manipulate large volumes of smaller asteroids. In combat it's used to manipulate small mining charges at the enemy, producing a field of explosions that can wipe missile and fighter waves, while at least worry larger vessels.",Assault,,
tpc_hmi,WEAPON,"This halfway-successful attempt to replicate the Thermal Pulse Cannon in a modular form resulted in several key differences with the original weapon, with the ammo pool drastically reduced, accuracy compromised, range shortened and flux efficiency decreased. Despite these niggling factors making it closer to an oversized Heavy Blaster than an actual modular TPC, the weapon otherwise works as advertised.",Strike,,
hmi_heavy_assault_launcher,WEAPON,"The Baffler Area Denial Launcher is a simple weapon - it fires a large burst of unguided, low-yield bombs with basic proximity fuses across a conservative area. These bombs are large and slow moving, making them unique in that point defense weapons can target and detonate them. However, the launching mechanism is flux efficient and capable of projecting the bombs over long distances, although inaccurately.",Suppression,,
,,,,,
hmi_khorkoi_miningblaster,WEAPON,"This dumb-fire rocket was ubiquitous in the pre-Collapse Persean Sector due to applications pioneered by asteroid miners. The go-to strike weapon of the desperately under-equipped, the Hammer is often employed by poor independent militias, Pirates, and particularly the Luddic Path. This version, built directly into the hull of the Khorkoi, allows the crew to directly but slowly reload the weapon in battle.

This particular three-shot mount earned its name when some clever spacer figured out how to modify the civilian rack-cycler into a hull-jarring one-two-three salvo. The modification spread through the Sector seemingly overnight.",Strike,,
pumm_cannon,WEAPON,"An archaic derivative of the Gauss Cannon, this clumsy monstrosity is too large to use as a modular weapon and only effectively useable in specially designed mountings, such as the spinal mount of the Junk. On the battlefield, this beast deletes fighters and frigates with ease, and worries larger targets enough to give them a second thought.",Fleet Defense,,
swarmer_junk,WEAPON,"This derivative of the Swarmer SRM is usually built in to a station's infrastructure to continuously supply the weapon with ammunition. Further, the weapon itself fires additional missiles per burst, which move faster and pack additional explosive. An effective anti-fighter close support weapon, it is let down by the need for its integration into a station's infrastructure, and its unfortunate name.",Anti Fighter,,
marlinblaster,WEAPON,"The core of the Marlin, the Scarlet Aura Energy Blaster lies somewhere between a Heavy Blaster and a Pulse Laser in damage output, with much greater flux efficiency.",General Purpose,,
tpc_weaver,WEAPON,"The vast majority of the Weaver is built around this improved version of the Thermal pulse Cannon. Possessing a greater damage output and faster projectile speed, the Weaver Pulse Cannon is nevertheless let down by its limited ammo pool.",Suppression,,
domres_hellbore,WEAPON,"Two Hellbores slaved into a single turret, this station-bourne weapon can crush Capital grade armour with ease. Luckily it's ungainly bulk prevents it from being mounted on anything other than a station-based platform.",Suppression,,
khradeh_left,WEAPON,"A weapon built directly into the sub-structure of the Jakkle, the Khradeh Autocannon is a mid-ranged ballistic gatling gun. While it lacks punch due to flaws sabotaged into the ship design, the alteration resulted in a reduction in expected flux cost, making it a very flux efficient weapon.",General Purpose,,
khradeh_right,WEAPON,"A weapon built directly into the sub-structure of the Jakkle, the Khradeh Autocannon is a mid-ranged ballistic gatling gun. While it lacks punch due to flaws sabotaged into the ship design, the alteration resulted in a reduction in expected flux cost, making it a very flux efficient weapon.",General Purpose,,
,,,,,
blitz_suicide_drive,WEAPON,"The Reign Borer Drone is sent at high speed into the enemy. Due to all energy being sent to the thrusters, the drone is unable to reorientate on 'firing' itself. Damage is primarily caused through the kinetic mass of the drone striking the target.",Anti-Shield,,
bombardment_drone_suicide_drive,WEAPON,"The Bombardment Drone lives up to its name, and bombards itself into the enemy, wherein the explosives packed into hull of the fighter explodes. Crippling to armour, however shields can mitigate a substantial amount of the impact.",Anti-Armour,,
hmi_drill,WEAPON,"The Marx Drill is an effective instrument for the grinding, sorting and analysis of ore materials, ensuring its widespread use as a mining tool. Able to tear through geological astrogeology with great efficiency, there is little wonder then that it can also tear through ship armour with similar, if incredibly frightening efficiency. If, of course, it can get in range of the enemy.",Anti-Ship,, 
tpc_hmi_hvb,WEAPON,"A bulky energy weapon from an early epoch, this TPC has been tweaked to have a higher damage output and a greater ammunition capacity. Capable of a truly horrifying amount of overwhelming firepower.

Designed before modular energy weapons were universally trusted by Domain naval architects, this weapon was coded into the Onslaught's blueprint because no other hull of the time was large enough or had reactors capable of generating the requisite power.

Even though it's outperformed by some of the later epoch modular designs, the Thermal Pulse Cannon remains an integral part of the Onslaught's arsenal.",Assault,,
,,,,,
monjeau_arm_L,WEAPON,"A high explosive weapon integrated directly into the Monjeau, the Vertice Rifle is an effective anti-armour weapon. Incredibly flux efficient, this weapon fires in three shot bursts.",Anti-Shield,,
monjeau_arm_R,WEAPON,"A high explosive weapon integrated directly into the Monjeau, the Vertice Rifle is an effective anti-armour weapon. Incredibly flux efficient, this weapon fires in three shot bursts.",Anti-Shield,,
,,,,,
hmi_prendergast_left,WEAPON,"Not a part of the original fighter chassis, the Prendergast Cannon is a crudely hackjob of the existing infrastructure to focus the energy into a semi-automatic, dispersed energy weapon. Effective at destroying missiles and fighters, this weapon lacks punch against larger targets.",Anti-Fighter,,
hmi_prendergast_right,WEAPON,"Not a part of the original fighter chassis, the Prendergast Cannon is a crudely hackjob of the existing infrastructure to focus the energy into a semi-automatic, dispersed energy weapon. Effective at destroying missiles and fighters, this weapon lacks punch against larger targets.",Anti-Fighter,,
,,,,,
hmi_amblaster_single,WEAPON,"A slow-firing, extremely high damage energy gun meant to pose a threat to the largest ships in the Sector. Can only be used at close-range.",Strike,,
bomb_single,WEAPON,"Three momentum-derived charges released at high speed by the Trapdoor bomber. Individual bombs lack punch, but are easily massable.",Anti-Armour,,
hmi_swarmer_triple,WEAPON,A short range guided missile launcher. The missiles are designed to intercept and destroy enemy fighters. Has three missiles.,Anti-Armour,,
hmi_ascendante_hammer,WEAPON,"A weapon built into the Ascendante's spine, this weapon launches bursts of three light-weight Hammer torpedoes. The lighter weight means the torpedo moves faster and enables easy reloading, but the downside is the lighter torpedo packs a lighter punch and burns out faster.",Strike,,
,,,,,
,,,,,
# REMNANT WEAPONS,,,,,
,,,,,
lightdualac_rem,WEAPON,"An AI-influenced modification of the Light Dual Autocannon, this weapon utilises the firing ship's flux to charge the kinetic projectile to create electromagnetic arcs on contact with hull.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Anti-Shield,,
railgun_rem,WEAPON,"Modified by artificial intelligence, this Railgun's coils have been enhanced to fire large, highly unstable projectiles that explode on contact. While this projectile is substantially more damaging, it tends to overheat the rail coils, lowering the rate of fire drastically. The ammunition can be loaded via a ballistic mechanism, or created through an energy mounting, however the projectiles generated in situ are unstable, and thus tend to explode much sooner than pre-made ammunition. 

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Anti-Shield,,
messenger_rem,WEAPON,"Somewhat of a novel weapon based on the Annhiliator, the Messenger Rocket is a simple weapon; an encased energy charge with rockets strapped to it. Individual rockets tend to be low yielding, however the short times between bursts ensure that there is a constant waves of ordinance from the Launcher, pressuring shields and armour alike.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
messenger_rem_single,WEAPON,"Somewhat of a novel weapon based on the Annhiliator, the Messenger Rocket is a simple weapon; an encased energy charge with rockets strapped to it. Individual rockets tend to be low yielding, however when massed from multiple different sources a volley of these rockets can be devastating.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
taclaser_rem,WEAPON,"A Tactical Laser influenced by AI modification, this weapon is capable of disrupting matter on a macroscale and causing material to be more easily damaged from other sources. Multiple applications of the thermogravimetric beam enable enhanced disruption of matter.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
mininglaser_rem,WEAPON,"An overtuned Mining Laser, this Remnant weapon has superior range and power output relative to the original, that increases output relative to flux level. However, the effect of the tuning has resulted in a more dispersed laser which can easily be defeated by shields and armour.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
ioncannon_rem,WEAPON,"A modification of the Ion Cannon designed for Tri-Tachyon's autonomous security forces, this weapon is able to fire larger electromagnetic pulse payloads faster towards the target. The consequence of this change however is a drastic loss in damage.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Special,,
irpulse_rem,WEAPON,"With a slightly slower firing rate and a more powerful and faster IR pulse, this AI-modified IR Pulse Laser suffers from a deceptive loss in flux efficiency.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",General,,
pdlaser_rem,WEAPON,"A Point Defense Laser with a drastically improved focusing mechanism that increases damage output and can inhibit the movement of small craft, this Autonomous Security weapon is sorely limited by its short range.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Point Defense,,
lrpdlaser_rem,WEAPON,"A Long Range Point Defense Laser, this AI-modified weapon possesses an advanced focusing mechanism that deals greater damage over a longer range and inhibits the movement of small craft, but is let down by poor flux efficiency.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Point Defense,,
burst_rem,WEAPON,"Something of a combination of Burst PD Laser and Phase Lance, this attack laser is an assault weapon able to cut through shield and armour. Limited by a short range.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Assault,,
burst_rem_ftr,WEAPON,"Something of a combination of Burst PD Laser and Phase Lance, this attack laser is an assault weapon able to cut through shield and armour. Limited by a short range.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Assault,,
,,,,,
heavyac_rem,WEAPON,"An alteration of the Heavy Autocannon utilised by Remnant forces, this weapon utilises the firing ship's flux to charge the kinetic projectile to generate electromagnetic arcs on contact with hull.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Anti-Shield,,
