name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraction Laser,remora_emp_laser,1,,200,600,10,,85,0,100,4,,,,ENERGY,,35,0,0.25,,,,,,,2400,,,,,,,SYSTEM,"beam7, SR, no_drop, no_drop_salvage",,High Tech,,Suppression,,,,,,,,,,17.11
Light Autocannon (Shepherd),lightag_shepherd,1,,125,770,,50,,3,20,4,,,,KINETIC,50,,0,0.5,1,,0,20,3,9,,800,,,20,,,SYSTEM,"kinetic6, no_drop, no_drop_salvage",,Low Tech,,Anti Shield,,,,,,,,,,2
Gauze Accelerator,lightthump_sifter,0,,125,700,,100,,10,20,4,,,,FRAGMENTATION,25,,0,1.5,1,,0,20,3,9,,800,,,20,,,SYSTEM,"kinetic6, no_drop, no_drop_salvage",,Explorarium,,Suppression,,,,,,,,,,2.011
Ion cannon (Long Range),hmi_ioncannon_lr,1,,750,900,,25,400,0,40,6,,,,ENERGY,30,,0.2,0,,,,,,,,1000,,,,,,SYSTEM,"energy8, no_drop, no_drop_salvage",,Remnant,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,19
HK-101 Survey Pike,sml_fragrifle,0,,110,900,,30,60,3,80,3,8,4,16,FRAGMENTATION,10,,0,0.1,,,0,10,0.5,10,,2000,,,5,,,SYSTEM,"kinetic0, LR",,HMI Techmined,,Range Finding,,,,,Weapon fully replenishes ammo clip on reload when used with Expanded Magazines.,,,,,14.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamson Shotgun,sml_shotgrun,1,,315,620,,12,,3,10,5,,,,KINETIC,12,,0,0.6,,,2,10,1,5,,850,,,10,,,,"kinetic2, hmi_bp",,HMI Techmined,,Anti Shield,,,,,,,,,,15.66
Rangus Crossbow Autocannon,rangus_crossbow,1,,600,600,,200,,10,8,6,,,,KINETIC,150,,0,1.2,1,,0,15,6,10,,800,,,30,,,,"kinetic12, hmi_bp",,HMI Techmined,,Anti Shield,,,,,,,,,,4.125
Kiddie Rapid Mortar,hmi_kiddie_mortar,1,,500,600,,75,,4,30,4,6,1.5,6,HIGH_EXPLOSIVE,50,,0,0.1,1,,0,15,1,4,,700,,,10,,,STRIKE,"he8, hmi_bp",,HMI Techmined,,Strike,,,,,,,,,,0.75
Silesia Nail Gun,hmi_nailgun,0,,500,700,,60,,0,15,5,9,3,9,FRAGMENTATION,20,,0,0.2,3,0.05,0,7,1,20,,2000,,,5,,,,"he4, kinetic2, hmi_bp",,HMI Techmined,,General,,,,,,,,,,3.8
Maglev Mining Generator,mining_gen,1,,1200,400,,1000,500,0,30,6,2,,,KINETIC,1000,,0.25,10,,,0,0,0,0,,900,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike2, hmi_bp",SR_strike_only,HMI Techmined,,Strike,,,,,,,,,,18.66
