id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,,,,,,,,,,,,,,,
#PROJECTILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
eis_dualrailgun_shot,projectile,35,0.6,0.75,"[235,235,255]",,250,0.7,1,"[235,235,255]",45,0.8,1,"[255,150,80]",,1,TRUE
,,,,,,,,,,,,,,,,,
eis_ghb_shot,projectile,80,0.4,0.7,"[255,114,229]",,250,0.7,0.75,"[255,114,229]",100,0.25,0.75,"[255,187,114]",,1,TRUE
eis_lunar_sabot_warhead,projectile,75,0.2,0.2,"[200,225,255]",,100,0.25,0.5,"[200,225,255]",105,0.15,0.5,"[200,225,255]",,1,FALSE
eis_fluxthrower_shot,projectile,75,0.8,0.7,"[245,174,235]",,150,0.8,0.7,"[245,174,235]",80,0.85,0.7,"[245,174,235]",,0.5,TRUE
eis_barretta_shot,projectile,80,1,0.7,"[223,43,22]",,200,0.4,0.45,"[223,43,22]",100,1.5,0.75,"[255,150,80]",,1,TRUE
eis_acg_shot,projectile,10,0.45,0.7,"[223,43,22]",,20,0.4,0.2,"[223,43,22]",15,0.55,0.75,"[255,150,80]",,1,TRUE
eis_arbalest_shot,projectile,10,0.45,0.7,"[223,43,22]",,20,0.4,0.2,"[223,43,22]",15,0.55,0.75,"[255,150,80]",,1,TRUE
eis_devastator_shot,projectile,10,0.45,0.7,"[223,43,22]",,20,0.4,0.2,"[223,43,22]",15,0.55,0.75,"[255,150,80]",,1,TRUE
eis_heavyneedler_shot,projectile,35,0.45,0.3,"[235,235,255]",,250,0.5,0.3,"[235,235,255]",45,0.5,0.3,"[255,150,80]",,1,TRUE
#MISSILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
eis_hammer_torp,projectile,150,0.5,0.5,"[225,79,144]",10,600,0.7,1.25,"[225,79,144]",,,,,,1,FALSE
eis_hammercaneproj,projectile,150,0.5,0.5,"[225,79,144]",10,600,0.7,1.25,"[225,79,144]",,,,,,1,FALSE
eis_piranha_torp,projectile,150,0.75,0.5,"[255,155,155]",11,800,1,1.75,"[255,100,100]",,,,,,1,FALSE
eis_celestials_blossom_torp,projectile,120,0.6,0.5,"[255,155,155]",11,800,1,1.75,"[255,100,100]",,,,,,1,FALSE
eis_lrkmirv,projectile,125,0.6,0.5,"[75,145,255]",14,250,0.5,1.25,"[75,145,255]",,,,,,1,FALSE
eis_lunar_sabot,projectile,75,0.15,0.5,"[75,145,255]",9,200,0.3,1,"[75,145,255]",,,,,,1,FALSE
eis_annihilator_screen,projectile,75,0.2,0.4,"[65,205,210]",11,250,0.2,1,"[65,205,210]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#BEAMS,,,,,,,,,,,,,,,,,
eis_milf,beam,55,0.85,,"[255,114,229]",,80,0.85,,"[255,114,229]",60,0.9,,"[255,114,229]",,1,TRUE
