id,type,frame,magnitude,map,path
#SHIPS,,,,,
eis_broadsword,ship,,0.65,normal,graphics/shaders/normal/ships/eis_broadsword_normal.png
eis_gladius,ship,,0.65,normal,graphics/shaders/normal/ships/eis_gladius_normal.png
eis_warthog,ship,,0.65,normal,graphics/shaders/normal/ships/eis_warthog_normal.png
eis_xyphos,ship,,0.65,normal,graphics/shaders/normal/ships/eis_xyphos_normal.png
eis_kopis,ship,,0.65,normal,graphics/shaders/normal/ships/eis_kopis_normal.png
eis_khopesh,ship,,0.65,normal,graphics/shaders/normal/ships/eis_khopesh_normal.png
eis_dagger,ship,,0.65,normal,graphics/shaders/normal/ships/eis_dagger_normal.png
eis_gunblade,ship,,0.65,normal,graphics/shaders/normal/ships/eis_gunblade_normal.png
eis_gunshield,ship,,0.65,normal,graphics/shaders/normal/ships/eis_gunshield_normal.png
eis_mining_drone,ship,,0.65,normal,graphics/shaders/normal/ships/eis_mining_pod_normal.png
eis_talon,ship,,0.65,normal,graphics/shaders/normal/ships/eis_talon_normal.png
eis_piranha,ship,,0.65,normal,graphics/shaders/normal/ships/eis_piranha_normal.png
eis_thunder,ship,,0.65,normal,graphics/shaders/normal/ships/eis_thunder_normal.png
eis_thunder_mk2,ship,,0.65,normal,graphics/shaders/normal/ships/eis_thunder_mk2_normal.png
eis_peacekeeper,ship,,0.65,normal,graphics/shaders/normal/ships/eis_peacekeeper_normal.png
eis_amity,ship,,0.65,normal,graphics/shaders/normal/ships/eis_amity_normal.png
eis_vanguard_xiv,ship,,0.65,normal,graphics/shaders/normal/ships/eis_vanguard_xiv_normal.png
eis_courageous,ship,,0.65,normal,graphics/shaders/normal/ships/eis_courageous_normal.png
eis_valorous,ship,,0.65,normal,graphics/shaders/normal/ships/eis_valorous_normal.png
eis_audacious,ship,,0.65,normal,graphics/shaders/normal/ships/eis_audacious_normal.png
eis_flagellator,ship,,0.65,normal,graphics/shaders/normal/ships/eis_flagellator_normal.png
eis_eradicator,ship,,0.65,normal,graphics/shaders/normal/ships/eis_eradicator_normal.png
eis_mora,ship,,0.65,normal,graphics/shaders/normal/ships/eis_mora_normal.png
eis_vengeance,ship,,0.65,normal,graphics/shaders/normal/ships/eis_vengeance_normal.png
eis_indomitable,ship,,0.65,normal,graphics/shaders/normal/ships/eis_indomitable_normal.png
eis_champion,ship,,0.65,normal,graphics/shaders/normal/ships/eis_champion_normal.png
eis_endeavor,ship,,0.65,normal,graphics/shaders/normal/ships/eis_endeavor_normal.png
eis_tyrant,ship,,0.65,normal,graphics/shaders/normal/ships/eis_tyrant_normal.png
eis_skyrend,ship,,0.65,normal,graphics/shaders/normal/ships/eis_skyrend_normal.png
eis_renown,ship,,0.65,normal,graphics/shaders/normal/ships/eis_renown_normal.png
,,,,,
#MODULES,,,,,
eis_tyrant_tl,ship,,0.65,normal,graphics/shaders/normal/modules/eis_tyrant_tl_normal.png
eis_tyrant_tr,ship,,0.65,normal,graphics/shaders/normal/modules/eis_tyrant_tr_normal.png
,,,,,
#DECOS,,,,,
eis_deco_courageous_front,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_courageous_front_normal.png
eis_deco_courageous_front,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_courageous_front_normal.png
eis_deco_valorous_ml,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_valorous_ml_normal.png
eis_deco_valorous_ml,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_valorous_ml_normal.png
eis_deco_valorous_mr,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_valorous_mr_normal.png
eis_deco_valorous_mr,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_valorous_mr_normal.png
eis_deco_audacious_front,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_audacious_front_normal.png
eis_deco_audacious_front,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_audacious_front_normal.png
eis_deco_audacious_back,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_audacious_back_normal.png
eis_deco_audacious_back,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_audacious_back_normal.png
eis_deco_flagellator_tl,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_flagellator_tl_normal.png
eis_deco_flagellator_tl,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_flagellator_tl_normal.png
eis_deco_flagellator_tr,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_flagellator_tr_normal.png
eis_deco_flagellator_tr,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_flagellator_tr_normal.png
eis_deco_vengeance_front,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_vengeance_front_normal.png
eis_deco_vengeance_front,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_vengeance_front_normal.png
eis_deco_vengeance_ml,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_vengeance_ml_normal.png
eis_deco_vengeance_ml,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_vengeance_ml_normal.png
