id,trigger,conditions,script,text,options,notes
"#RULESET_NAME MAYASURA",,,,,,
,,,,,,
# mayasuran faction text,,,,,,
relLevelNeutralMayasura,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == mayasura","FireAll RelLevelMoreDescription","The people of Mayasura view you neither positively or negatively, just as another spacer passing through.",,
relLevelFavorableMayasura,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == mayasura","FireAll RelLevelMoreDescription","You have officially made yourself known to $faction officials in a positive way, though this has little in the way of implications. At least the people of Mayasura see you as someone who may be willing to work with them and their goals.",,
relLevelWelcomingMayasura,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == mayasura","FireAll RelLevelMoreDescription","Your continued deeds have made a name for you in $theFaction. $faction patrols salute you and your efforts for their cause.",,
relLevelFriendlyMayasura,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == mayasura","FireAll RelLevelMoreDescription","You're well-known within $theFaction, with the people of Mayasura considering you one of their own. Both military and civilians treat you with respect.",,
relLevelCooperativeMayasura,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == mayasura","FireAll RelLevelMoreDescription","The Grand Navarch of the $faction personally knows of you, with your deeds and efforts inspiring countless others to follow your example. You represent a shining beacon and hope to rise once more from the ashes and for the people of Mayasura to once more claim greatness. ",,
relLevelSuspiciousMayasura,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == mayasura","FireAll RelLevelMoreDescription","Though nothing has been proven (yet), $faction officials tend to view you with distrust. The people of Mayasura eye you and your fleet warily, uncertain what further to make of you.",,
relLevelInhospitableMayasura,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == mayasura","FireAll RelLevelMoreDescription","Having tolerated your misdeeds for long enough, $theFaction has officially barred you from planetary space. Though you may not be officially labelled an enemy of Mairaath, $faction patrols eye you with disdain and disgust.",,
relLevelHostileMayasura,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == mayasura","FireAll RelLevelMoreDescription","$theFaction has officially declared you enemy of the nation, with a shoot-on-sight order now in effect. Though you may regain standing with $theFaction through concentrated effort, the people of Mayasura aren't going to make it easy.",,
relLevelVengefulMayasura,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == mayasura","FireAll RelLevelMoreDescription","The Grand Navach of $theFaction has officially declared a kill order on your fleet, with $faction patrols tracking you down the moment you enter their space. The people of Mayasura view you as no better than the Hegemony and the Luddic Path, another enemy seeking their destruction",,
"#END mayasuran faction text",,,,,,
,,,,,,
# mayasuran commission dialog,,,,,,
CMSNTextRejectHostile_mayasura,CMSNTextRejectHostile,"$faction.id == mayasura",,"""You dare...! The Grand Navarch has personally declared you an enemy of the people of Mairaath! Such an intrusion will not be forgotten!""
",,
