bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
MSS_Cjuicy_bounty,20,spaceCommander,Cristobal,Jones,reckless,Mayasuran Spec-Ops Flotilla,Fandango,MALE,pirates,graphics/mayasura/portraits/bounties/MSS_Cjuicy.png,"Your screen crackles a bit before the connection stabilizes, and you are greeted by a man in a faded blue coat. In the corner of the screen you can see what appears to be his bridge crew, all somewhat flummoxed at the situation. ""Hey there! Are you joining us too? Stars sure are pretty out here, away from all the fighting."" Incredulously you shake your head, and he stops in thought for a moment. ""Well then, Lets see what happens today on Total. Drama. Corvus!""",FALSE,mayasura,100000,10,"An oddball of an individual, Cristobal ""Juicy"" McLane was a decorated commander of a Mayasuran Spec-ops fleet. After a disaterous run-in with pirates en-route to another mission, he spent nearly 9 years in a coma due to head trauma. Upon waking up, his personality was completely different, and before long he ran off, gathering his old fleet and escaping into the abyss. Rumors have spread about his fleet being used to facilitate unusual death games, and Mayasuran authorities have now elected to post a bounty on his head.",MSS_Scaramouche_HVB_CJ,"MSS_Falcon_Elite, MSS_Falcon_Elite, MSS_Heron_Elite, MSS_Hammerhead_Elite, MSS_Sunder_Elite",100,1.1,1,,,TRUE,FALSE,207,10,75
MSS_Kart_bounty,20,spaceCommander,The,Kart,reckless,Spaceballs,Spaceball One,MALE,pirates,graphics/mayasura/portraits/bounties/MSS_TheKart.png,"The Kart shows up on your comm screen, surrounded by men with strange and silly round helmets. With a distinctive breathing sound filtered from his obnoxiously large mask, he flips it up saying ""I canåt breathe in this thing!""",FALSE,mayasura,420690,10,Your colleagues in the Mayasuran Navy have reports of a famous tournament spec Mokarran piloted by The Kart. His reputation as a pirate of the lost Astropolis raiding the Mayasura system is well known. A favorite tactic of his seems to be spoofing his transponder under Mayasuran codes while salvaging damaged (M) ships.,MSS_Mokarran_HVB_Angry,"MSS_Moa_Elite, MSS_Moa_Stormhawk, MSS_Stingray_Elite, MSS_Stingray_Elite, MSS_Stingray_Elite, MSS_Stingray_Elite, MSS_Perryi_F_Elite, MSS_Perryi_F_Elite, MSS_Perryi_F_Elite, MSS_Perryi_F_Elite, MSS_Perryi_F_Elite, MSS_Perryi_F_Elite, MSS_Perryi_F_Elite",250,1.1,1,,,TRUE,FALSE,207,20,100
MSS_Zyrithithrall_bounty,20,spaceCommander,Zyrith,Thrall,reckless,Mayasuran R&D Fleet,Rendís Anger,MALE,pirates,graphics/mayasura/portraits/bounties/MSS_Zyrith.png,"OwO, UwU, UmU",FALSE,mayasura,200000,10,"Careful Commander, a rogue individual known as Zyrith Thrall has rebelled against Mayasuran Research and Development by stealing a prototype Champion (M). Seemingly naming the new prototype after himself, heís holed up with a fleet of other Overdriven Mayasuran ships.",MSS_Champion_HVB_Overdriven,"MSS_Hammerhead_Overdriven, MSS_Hammerhead_Overdriven, MSS_Hammerhead_Overdriven, MSS_Tiburo_Overdriven, MSS_Tiburo_Overdriven, MSS_Tiburo_Overdriven",150,1.1,1,,,TRUE,FALSE,207,15,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
