id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number,
MSS_Crow,MSS_Crow_fighter,"fighter3, fighter, mid, rare_bp, mayasura_bp",2,,11,18,V,4000,500,,2,FIGHTER,Assault Fighter,15,12000,,,,,,,,,,,,,4,
MSS_Sipahi,MSS_Sipahi_strike,"bomber3, bomber, mid, rare_bp, mayasura_bp",2,,5,15,CLAW,4000,1500,,3,BOMBER,Strike Bomber,15,8000,,,,,,,,,,,,,,
MSS_Tachi,MSS_Tachi_interceptor,"interceptor1, interceptor, mid, rare_bp, mayasura_bp",1,,5,5,V,4000,300,,3,INTERCEPTOR,Interceptor Drone,6,4000,,,,,,,,,,,,,,
MSS_Stormbreaker,MSS_Stormbreaker_Gunship,"support5, fighter, mid, rare_bp, mayasura_bp",2,,6,8,V,4000,1000,,1,SUPPORT,Gunship,10,8000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSS_Owstoni,MSS_Owstoni_fighter,"no_drop, no_sell, high",3,,18,35,V,4000,600,,1,FIGHTER,Phase Superfighter,30,100000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSS_Akinci,MSS_Akinci_gunship,"no_drop, no_sell, mid",3,,4,8,BOX,3000,200,,1,INTERCEPTOR,Drone Gunship,10,10000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSS_Ferox,MSS_Ferox_bomber,"bomber3, bomber, mid, rare_bp, mayasura_bp",3,,5,26,BOX,4000,600,,2,BOMBER,Heavy Bomber,18,16000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSS_Joker,MSS_Joker_Artillery,"no_drop, no_sell, mid",3,,20,50,BOX,4000,1000,,1,FIGHTER,Artillery Drone,60,100000,,,,,,,,,,,,,,
MSS_Crossbow,MSS_Crossbow_Bomber,"bomber3, bomber, mid, rare_bp, mayasura_bp",3,,6,18,BOX,4000,700,,2,BOMBER,Heavy Bomber,20,12000,,,,,,,,,,,,,,
#,,"fighter3, fighter, mid, no_drop, no_sell",,,,,,,,,,,,,,,,,,,,,,,,,,,
MSS_Khopesh,MSS_Khopesh_Obliterator,"bomber3, bomber, mid, rare_bp, mayasura_bp",3,,3,14,V,4000,2000,,3,BOMBER,Elite Bomber,15,9000,,,,,,,,,,,,,,10
MSS_Didymoi,MSS_Didymoi_Minelayer,"bomber3, bomber, mid, rare_bp, mayasura_bp",3,,3,16,V,4000,1800,300,2,BOMBER,Minelayer,12,14000,,,,,,,,,,,,,,
MSS_Perryi,MSS_Perryi_Escort,"no_drop, no_sell, high",3,,4,40,BOX,4000,800,,1,FIGHTER,Escort Corvette,50,30000,,,,,,,,,,,,,,
MSS_Perryi_Elite,MSS_Perryi_Elite_Escort,"no_drop, no_sell, high",3,,4,40,BOX,4000,800,,1,BOMBER,Escort Corvette,50,30000,,,,,,,,,,,,,,
MSS_Viper,MSS_Viper_Fighter,"fighter4, fighter, mid, rare_bp, mayasura_bp",2,,6,10,V,4000,500,,2,FIGHTER,Fighter,15,10000,,,,,,,,,,,,,,
MSS_Aznable,MSS_Aznable_Fighter,"fighter4, fighter, mid, rare_bp, mayasura_bp",3,,6,20,V,4000,500,,2,FIGHTER,Fighter,15,10000,,,,,,,,,,,,,,
