trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
#EXAMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SKR_blackout_shot,SKR_blackout_shot,SKR_fuzzyTrail,10,0.1,0.1,0.5,24,12,"[25,200,150]","[50,100,200]",0.5,-128,-256,10,0,0,FALSE,FALSE,TRUE,50,0,0,0,0,180,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSS_plasmaRING_shot3,MSS_plasmacannon_shot,MSS_trail_rings_3,10,0.5,0,0.0025,35,25,"[248,112,86]","[254,255,197]",1,64,100,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
MSS_plasmaRING_shot2,MSS_plasmacannon_shot,MSS_trail_rings_2,10,0.525,0,0.0025,35,25,"[248,112,86]","[254,255,197]",1,64,100,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
MSS_plasmaRING_shot,MSS_plasmacannon_shot,MSS_trail_rings_1,10,0.6,0,0.0025,35,4,"[248,112,86]","[254,255,197]",1,64,100,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
MSS_plasmaHELIX_shot2,MSS_plasmacannon_shot,MSS_beam_wave2,10,0.5,0,0.15,24,4,"[248,112,86]","[254,255,197]",1,400,100,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
MSS_plasmaHELIX_shot3,MSS_plasmacannon_shot,MSS_beam_wave3,10,0.5,0,0.15,24,4,"[248,112,86]","[254,255,197]",1,400,100,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
MSS_plasmaHELIX_shot4,MSS_plasmacannon_shot,MSS_beam_wave4,10,0.5,0,0.15,24,4,"[248,112,86]","[254,255,197]",1,400,100,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
MSS_EMPzap_shot,MSS_derpcannon_shot,base_trail_zap,10,0.5,0,0.5,50,25,"[80,255,255]","[80,255,255]",1,400,100,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
MSS_410mm_smoke_1,MSS_Iowa_shot,base_trail_smooth,10,0,0,2.5,1,50,"[100,150,150]","[255,120,35]",0.2,200,-10,-1,2,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
MSS_410mm_smoke_2,MSS_Iowa_shot,base_trail_smooth,10,0.5,0,2.5,35,75,"[150,100,100]","[255,120,35]",0.1,200,-10,-1,5,1,TRUE,FALSE,TRUE,50,0,0,0,0,0,false,false
MSS_40mm_smoke_1,MSS_TigerGL_Grenade_shot,base_trail_smooth,10,0,0,2.5,1,50,"[100,150,150]","[255,120,35]",0.2,200,-10,-15,2,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
MSS_40mm_smoke_2,MSS_TigerGL_Grenade_shot,base_trail_smooth,10,0.5,0,2.5,35,75,"[150,100,100]","[255,120,35]",0.1,200,-10,-10,5,1,TRUE,FALSE,TRUE,50,0,0,0,0,0,false,false
