id,trigger,conditions,script,text,options,notes
"#RULESET_NAME PAGSM",,,,,,
,,,,,,
# relationship level descriptions,,,,,,
,,,,,,
# commissioned rel,,,,,,
,,,,,,
# sindrian comm rel,,,,,,
relLevelNeutralFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == NEUTRAL
sfcemployee sindrian_diktat","FireAll RelLevelMoreDescription","Though the Sindrian Fuel Company still considers you an employee, your contract is barely kept in place. Keep this up, and you'll be back to waiting in long lines just to fuel up at the pumps.",,
relLevelFavorableFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FAVORABLE
sfcemployee sindrian_diktat","FireAll RelLevelMoreDescription","As an employee of the Sindrian Fuel Company, it is your duty to uphold the values of the Supreme Chief Overlord President Executive Gas Station Manager and of the Sindrian Fuel Company as a whole. As another bonus, you get to skip most lines when going to refuel your starships. Or, more accurately, you get to wait in a line exclusively made up of other Company employees looking to refuel their own starships.",,
relLevelWelcomingFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == WELCOMING
sfcemployee sindrian_diktat","FireAll RelLevelMoreDescription","Your dutiful service to the Sindrian Fuel Company has brought some good attention to you, with a few of your fellow employees reaching out to you to help them out in some troubles. As well, your superiors have given you some extra priority in the customer line. Now you can expect to have your fleet finish refueling 50% faster than everyone else!",,
relLevelFriendlyFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FRIENDLY
sfcemployee sindrian_diktat","FireAll RelLevelMoreDescription","Having made such a name for yourself within the Sindrian Fuel Company, the Board of Advertisement and Marketing has reached out to you to help promote the ideal employee within the Company. Though you might not be paid for your appearances, you at least can rest well, knowing that you're considered a model employee for others to emulate.",,
relLevelCooperativeFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == COOPERATIVE
sfcemployee sindrian_diktat","FireAll RelLevelMoreDescription","Many may claim to be the best employee in the Sindrian Fuel Company, but you, Captain $playerName, truly deserve to be called Employee of Month. With your continued service to the Sindrian Fuel Company, you can expect to be recognized as Employee of the Month of every month for not only this cycle, but for many cycles to come. Congratulations, champ. You earned it.",,
"#END sindrian comm rel",,,,,,
,,,,,,
# hegemony comm rel,,,,,,
relLevelVengefulFuelheg,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == sindrian_diktat score:2000
sfcemployee hegemony","FireAll RelLevelMoreDescription","As a vile servant of the Nachiketa Fuel Traders, Incorporated and their Hegemony lackeys, you have been reserved a special place of dishonor in the annals of Sindrian Fuel history. Considered an absolute criminal in all manners of fuel, it is very unlikely you'll be able to rehabilitate your image with the Company any time soon.",,
relLevelHostileFuelheg,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == sindrian_diktat score:2000
sfcemployee hegemony","FireAll RelLevelMoreDescription","Having sided with the Nachiketa Fuel Traders, Incorporated and against the Sindrian Fuel Company, you have made yourself powerful enemies. Unlikely to be given any leniency should your fleet face defeat, you best hope that your Non-Sindrian brand Antimatter Fuel will keep you going through these hostile times.",,
relLevelInhospitableFuelheg,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == sindrian_diktat score:2000
sfcemployee hegemony","FireAll RelLevelMoreDescription","With the sour relations between the Sindrian Fuel Company and the Nachiketa Fuel Traders, you now face an embargo of fuel from Askonia and other Company aligned markets. Though this state of affairs could go possibly improve or worsen, for now, the coveted Sindrian Fuel brand is out of your 'legal' reach.",,
relLevelSuspiciousFuelheg,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == sindrian_diktat score:2000
sfcemployee hegemony","FireAll RelLevelMoreDescription","Tensions between the Nachiketa Fuel Traders and their Hegemony lackeys with the Sindrian Fuel Company have begun to grow, with both sides getting ready for a fight. Since you've sided against the great rival of the Company, expect some rough treatment if you end up passing by Askonia any time soon.",,
relLevelNeutralFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == NEUTRAL
sfcemployee hegemony","FireAll RelLevelMoreDescription","For the time being, relations between the Nachiketa Fuel Traders, Incorporated and the Sindrian Fuel Company are tense but not wholly leaning towards hostile. Askonia remains open to you, but with how aggressively both fuel conglomerates are with protecting their markets, you might want to consider stockpiling extra Sindrian Fuel for a rainy day.",,
relLevelFavorableFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FAVORABLE
sfcemployee hegemony","FireAll RelLevelMoreDescription","A rare moment of calm has begun between the Nachiketa Fuel Traders, Incoporated and the Sindrian Fuel Company. With both fuel producers caring more about their own production instead of looking for ways to bring down the other, the great refueling stations of Askonia awaits for your next visit.",,
relLevelWelcomingFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == WELCOMING
sfcemployee hegemony","FireAll RelLevelMoreDescription","Having gone from simple tolerance to warming of relations, the Nachiketa Fuel Traders, Incorporated and the Sindrian Fuel Company have opened official channels with each other to better improve the flow of Antimatter Fuel trade through the Core Worlds. Take advantage of this time of calm, all it takes is for one wrong mood for hostilities to return.",,
relLevelFriendlyFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FRIENDLY
sfcemployee hegemony","FireAll RelLevelMoreDescription","Efforts of cooperation between the Nachiketa Fuel Traders, Incorporated and the Sindrian Fuel Company have begun to take root, with both groups now looking to organize a new standard of production and export throughout the Persean Sector. Whatever strange events have managed to occur to allow this to happen, pray that such things may last longer than a mere moment.",,
relLevelCooperativeFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == COOPERATIVE
sfcemployee hegemony","FireAll RelLevelMoreDescription","Cooperation between the Nachiketa Fuel Traders, Incorporated and the Sindrian Fuel Company have reached an all-time high. Though the Hegemony maintains its stance of the Company as a whole, even the most staunch detractors cannot deny the winds of change. Though both organizations may never truly be able to settle all their differences, for now, there is peace.",,
"#END hegemony comm rel",,,,,,
,,,,,,
# persean league comm rel,,,,,,
relLevelVengefulFuelleague,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == sindrian_diktat score:2000
sfcemployee persean","FireAll RelLevelMoreDescription","The Sindrian Fuel Company has officially denounced the Persean League as nothing more than a failed organization, run by the petty oligarchs of Kazeron. Broadcasts across the sector proclaim the Company's intention to eventually oust the old leadership and bring the tried and true methods of ""Hard Work and Honest Labor"" to the oppressed people of the League.",,
relLevelHostileFuelleague,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == sindrian_diktat score:2000
sfcemployee persean","FireAll RelLevelMoreDescription","An official state of war between the Sindrian Fuel Company and Persean League is now in effect. Citing poor treatment of its employees and refusal to accept the superiority of Sindrian Fuel-brand antimatter fuel, the Company states that the war will only end once the League rectifies the error of its ways, either by the flick of a pen or at the point of a sword.",,
relLevelInhospitableFuelleague,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == sindrian_diktat score:2000
sfcemployee persean","FireAll RelLevelMoreDescription","Officially, the Sindrian Fuel Company states that the Persean League has closed all its ports to all Company trade, stating that the breakdown in relations is on the League's refusal to abandon using inferior fuel brands. Intercepted transmissions paint a different picture as military build up between the two polities threaten to spill over into outright war.",,
relLevelSuspiciousFuelleague,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == sindrian_diktat score:2000
sfcemployee persean","FireAll RelLevelMoreDescription","Though the Sindrian Fuel Company and Persean League still continue to maintain official diplomatic channels, tensions between the two polities is straining what goodwill there may be. Company representatives and League traders clash over fuel brands as drastic actions may be taken if things don't improve soon.",,
relLevelNeutralFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == NEUTRAL
sfcemployee persean","FireAll RelLevelMoreDescription","The Sindrian Fuel Company sees the Persean League as just another customer for their antimatter fuel. Though the League's insistence on purchasing other fuel brands is a sore point of contention, both polities maintain a strictly business relationship and void any unnecessary conflict.",,
relLevelFavorableFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FAVORABLE
sfcemployee persean","FireAll RelLevelMoreDescription","The Sindrian Fuel Company views its working relationship with the Persean League to be slightly higher than most other customers. Though this changes little in the grand scheme of things, Sindrian Fuel maintains a keen interest for at least maintaining this positive relations.",,
relLevelWelcomingFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == WELCOMING
sfcemployee persean","FireAll RelLevelMoreDescription","With this continued trade of fuel, the Sindrian Fuel Company views its relations with the Persean League to be one worth further development. Convoys continue to make the journey to help supply the League with high quality antimatter fuel for both civilian and military use.",,
relLevelFriendlyFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FRIENDLY
sfcemployee persean","FireAll RelLevelMoreDescription","Efforts between the Sindrian Fuel Company and Persean League has bloomed into more concentrated trade deals, with Sindrian Fuel providing the League with better trade deals to ensure a ready supply of antimatter fuel and aid.",,
relLevelCooperativeFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == COOPERATIVE
sfcemployee persean","FireAll RelLevelMoreDescription","The Sindrian Fuel Company views the Persean League as both a vital trade partner and powerful friend. The League enjoys a dedicated trade network supplying more than enough fuel at competitive prices, with the Company hosting countless League dignitaries to maintain this relation.",,
"#END persean league comm rel",,,,,,
,,,,,,
# uaf comm rel,,,,,,
relLevelVengefulFueluaf,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == sindrian_diktat score:2000
sfcemployee uaf","FireAll RelLevelMoreDescription","A curse upon you.

Interlopers from afar.

May death be your end.",,
relLevelHostileFueluaf,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == sindrian_diktat score:2000
sfcemployee uaf","FireAll RelLevelMoreDescription","The Sindrian Fuel Company holds the United Auroran Federation in contempt, with Company fleets poised at the ready to strike at any moment. Transmissions intercepted from the core worlds paint a constant smear campaign held by the Company against the Aurorans, attempting to drum up support from the rest of the Sector to oust these 'interdimensional interlopers' as soon as possible.",,
