name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
# blueprints,,,,,,,,,,,,,,,
Sindrian Fuel Fleet Blueprint Package,sfc_rare_bp,"package_bp, no_drop",Sindrian Fuel Company,,50000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_bp,"This rare, limited-edition blueprint package enables heavy industry to construct the majority of the design catalogue of the Sindrian Fuel Company, from ships to fighters and weapons. It also comes with a lottery ticket for entry into the Sindrian Fuel Company raffle for a free, all expenses paid trip to Volturn. Nice.",1
Sindrian Fuel Regular Blueprint Package,sfc_regular_bp,package_bp,Sindrian Fuel Company,,10000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_reg_bp,"Enables heavy industry to construct the regular line of Sindrian Fuel tankers. It also comes with an, unfortunately now expired, discount for a pair of Sindrian Fuel brand sunglasses. Oh well.",2
Sindrian Fuel Plus Blueprint Package,sfc_plus_bp,package_bp,Sindrian Fuel Company,,20000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_plus_bp,Enables heavy industry to construct the more base line experimental line of ships as designed by the Board of Research and Development. Any complaints may be sent to the Sindrian Fuel Company Board of Research and Development.,3
Sindrian Fuel Premium Blueprint Package,sfc_premium_bp,package_bp,Sindrian Fuel Company,,30000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_prem_bp,"Enables heavy industry to construct the premier militarized fuel tankers of the Sindrian Fuel Comapny, built from the ground up for fleet actions. This package was suppose to also include a ticket for entry into the Company monthly raffle but it seems that someone has already redeemed it. How sad.",4
Sindrian Fuel Fleet Weapons Package,sfc_weapon_bp,package_bp,Sindrian Fuel Company,,15000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_wep_bp,Enables heavy industry to construct the weaponry of the Sindrian Fuel Comapny. Each weapon has be rigorously tested by Sindrian Fuel's Board of Security and Armament to ensure only the most top quality weapons are produced for the Sindrian Fuel Fleet. Any complaints may be addressed to the Board of Security and Armament Office at Cruor.,5
Nephropoidea Blueprint,sfc_nep_bp,"package_bp, no_drop",Sindrian Fuel Company,,0,1,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_nep,"A unique blueprint package containing the design notes and details for the Nephropoidea Fighter. Plenty of notes and details can be gleamed from the data inside, including reminders to get more lobster after work.",6
Ajax Blueprint,sfc_mech_bp,"package_bp, no_drop",Sindrian Fuel Company,,0,1,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_mech,"A unique blueprint package containing the design notes and details for the Ajax Fuel Tender. You've also noticed a few extra files added on, though it seems mostly to be some random junk data added on after the fact.",7
,,,,,,,,,,,,,,,
# special items,,,,,,,,,,,,,,,
Aquatic Stimulator,sfc_aquaticstimulator,"no_drop, pather4",Eridani-Utopia Terraforming,0,60000,1000,1,EXTREME,graphics/icons/cargo/sfc_aquaticstimulator.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,aquaculture,"Nanoscopic stimulators are capable of boosting growth rate of aquatic based organisms, allowing for much more rapid growth and turnover of Aquaculture farms. Both flora and fauna may be affected: Rumors of Aquatic Stimulators leading to the creation of massive, monstrous sealife are unsubstantiated.",30
Mote Megacondenser,sfc_motemegacondenser,"hist3t, pather4",Fabrique Orbitale,0,60000,1000,1,EXTREME,graphics/icons/cargo/sfc_motemegacondenser.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Compared to extracting volatiles from gas giants, terrestrial extraction of industrial quantities of motes is a much harder affair. As such, a powerful tool capable of condensing motes into a more extractable form allows for wide-scale mining of the precious materials needed in the creation of Antimatter fuel. Although gas giant extraction will always be preferrable, the Mote Megacondenser ensures that terrastrial extraction can remain viable enough to ensure the continued flow of precious volatiles.",31
