id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
# standard wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfcminim_bomber_wing,sfcminim_bomber,"bomber5, bomber, mid, sfc_bp, sfc_prem_bp",2,,6,20,V,4000,500,600,1,BOMBER,Antimatter Bomber,30,15000,,,,,,,,,,,,,1
sfcmillilitro_wing,sfcmillilitro_fighter,"fighter4, fighter, mid, sfc_bp, sfc_plus_bp",2,,6,10,V,4000,500,0,3,FIGHTER,Heavy Fighter,10,8000,,,,,,,,,,,,,2
sfcdroplet_wing,sfcdroplet_Interceptor,"interceptor2, interceptor, mid, sfc_bp, sfc_reg_bp, rapid_reform",1,,4,8,CLAW,3000,500,0,4,INTERCEPTOR,Rapid Interceptor,8,5000,,,,,,,,,,,,,3
sfctankerdrone_wing,sfctankerdrone_Standard,"stay_in_front_of_ship, support2, drone, mid, sfc_bp, sfc_reg_bp, auto_fighter",1,,5,5,CLAW,0,500,,3,SUPPORT,Support Drone,12,3000,,,,,,,,,,,,,4
sfcslentfighter_wing,sfcslentfighter_Bomber,"bomber6, bomer, mid, no_drop, no_sell",0,,10,25,V,4000,1000,600,1,BOMBER,Corvette Bomber,45,30000,,,,,,,,,,,,,5
sfcnephropoidea_wing,sfcnephropoidea_Fighter,"fighter6, fighter, mid, no_drop, no_sell, sfc_nep",5,,15,30,BOX,4000,800,600,2,FIGHTER,Elite Fighter,20,60000,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# mech wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfcfuelmech_wing,sfcfuelmech_Standard,"stay_in_front_of_ship, support3, fighter, low, no_drop, no_sell, sfc_mech",5,,6,17,BOX,0,500,0,2,SUPPORT,Fuel Tender Mech,18,20000,,,,,,,,,,,,,11
sfcmurmexlg_wing,sfcmurmexlg_Standard,"stay_in_front_of_ship, fighter6, fighter, mid",5,,15,20,CLAW,3000,800,600,1,FIGHTER,Assault Mech,20,60000,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# built in wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfcakon_wing,sfcakon_Support,"stay_in_front_of_ship, no_drop, no_sell",5,,12,99,BOX,0,800,,2,SUPPORT,Heavy Drone,15,0,,,,,,,,,,,,,21
