name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Fuel Dump,sfcfueldump,1500,,,,,,,,,0.25,3,0.5,15,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
Augmented Jets,sfcplusjets,,,,,,,,2,0.025,1,8,1,2,,,,,,,,,,,,,graphics/icons/hullsys/infernium_injector.png
Flash Damper Field,sfcdamper,1,,,,,,,2,0.075,0.25,2,0.25,3,,,,,,,,,TRUE,TRUE,,uses_damper_ai,graphics/icons/hullsys/damper_field.png
Advertisement Blitz,sfcblitz,1,,,,,0.5,,,,0.1,20,3,30,TRUE,,,,,,,,,,,,graphics/icons/hullsys/reserve_deployment.png
Premium Overcharge,sfcovercharge,500,,,,,,,,,2.5,5,0.5,15,,,,,,,,,,TRUE,,,graphics/icons/hullsys/ammo_feeder.png
Weapons Overclock,sfcoverclock,1250,,,,,,,,,5,15,0.5,30,,,,,,,,,,TRUE,,,graphics/icons/hullsys/ammo_feeder.png
Fuel Delivery (Plus),sfcdeliveryplus,,,,,,0.1,,2,0.15,0.50,,0.50,4,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Rammer Drive,sfcramdriveburn,1,,,,,,,,,0.5,6.25,0.25,10,TRUE,,,,TRUE,,TRUE,,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Augmented Turret System,sfcaugmentedrange,1,,,,,,,,,0.5,10,1,10,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Shield Booster,sfcshieldbooster,,,,,,,,2,0.05,0.25,5,2,10,,,,TRUE,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
# Fuel Destabilizer,sfcfueldestabilizer,,,,,,0.2,,,,0.5,15,1,20,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
