condition_id,occurrence_weight_mult,abundance_capacity_cap,abundance_per_month_cap
ruins_scattered,0.5,0.4,0.4
ruins_widespread,1,0.6,0.6
ruins_extensive,2,0.8,0.8
ruins_vast,4,1,1
ore_sparse,0.25,0.2,0.2
ore_moderate,0.5,0.4,0.4
ore_abundant,1,0.6,0.6
ore_rich,2,0.8,0.8
ore_ultrarich,4,1,1
rare_ore_sparse,0.25,0.2,0.2
rare_ore_moderate,0.5,0.4,0.4
rare_ore_abundant,1,0.6,0.6
rare_ore_rich,2,0.8,0.8
rare_ore_ultrarich,4,1,1
volatiles_trace,0.5,0.4,0.4
volatiles_diffuse,1,0.6,0.6
volatiles_abundant,2,0.8,0.8
volatiles_plentiful,4,1,1
organics_trace,0.5,0.4,0.4
organics_common,1,0.6,0.6
organics_abundant,2,0.8,0.8
organics_plentiful,4,1,1
farmland_poor,0.5,0.4,0.4
farmland_adequate,1,0.6,0.6
farmland_rich,2,0.8,0.8
farmland_bountiful,4,1,1
decivilized,1,1,1
decivilized_subpop,1,1,1
cold,1,1,1
very_cold,2,1,1
hot,1,1,1
very_hot,2,1,1
tectonic_activity,1,1,1
extreme_tectonic_activity,2,1,1
poor_light,1,1,1
dark,2,1,1
