fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
psm_headerIncreaseSModLimit,Increasing S-Mod Limit,Header,Increasing S-Mod Limit,,,,,General
psm_allowIncreaseSModLimit,Allow Increase,Boolean,true,,Allows increasing S-mod limit by spending story points and ship XP.,,,General
psm_baseExtraSModSPCostFrigate,Frigate Base SP Cost,Double,0.5,,SP cost for the first time the S-mod limit is increased on a frigate. Fractional amounts award bonus XP at a fraction equal to one minus the fractional part.,0,10,General
psm_baseExtraSModSPCostDestroyer,Destroyer Base SP Cost,Double,1,,SP cost for the first time the S-mod limit is increased on a destroyer. Fractional amounts award bonus XP at a fraction equal to one minus the fractional part.,0,10,General
psm_baseExtraSModSPCostCruiser,Cruiser Base SP Cost,Double,1.5,,SP cost for the first time the S-mod limit is increased on a cruiser. Fractional amounts award bonus XP at a fraction equal to one minus the fractional part.,0,10,General
psm_baseExtraSModSPCostCapital,Capital Base SP Cost,Double,2,,SP cost for the first time the S-mod limit is increased on a capital ship. Fractional amounts award bonus XP at a fraction equal to one minus the fractional part.,0,10,General
psm_extraSModSPCostGrowthType,SP Cost Growth Is Exponential,Boolean,true,,"If enabled, the SP cost increase per additional S-mod slot is exponential. Otherwise, it's linear.",,,General
psm_extraSModSPCostGrowthFactor,SP Cost Growth Factor,Double,1,,"SP Cost for additional S-mod slots is base+factor*n if linear, or base*factor^n if exponential.",0,5,General
psm_baseExtraSModXPCostFrigate,Frigate Base XP Cost,Double,800,,Base XP cost for the first time the S-mod limit is increased on a frigate. Will be modified by the ship's deployment cost.,0,2500,General
psm_baseExtraSModXPCostDestroyer,Destroyer Base XP Cost,Double,1600,,Base XP cost for the first time the S-mod limit is increased on a destroyer. Will be modified by the ship's deployment cost.,0,5000,General
psm_baseExtraSModXPCostCruiser,Cruiser Base XP Cost,Double,3200,,Base XP cost for the first time the S-mod limit is increased on a cruiser. Will be modified by the ship's deployment cost.,0,10000,General
psm_baseExtraSModXPCostCapital,Capital Base XP Cost,Double,6400,,Base XP cost for the first time the S-mod limit is increased on a capital ship. Will be modified by the ship's deployment cost.,0,20000,General
psm_extraSModXPCostGrowthType,XP Cost Growth Is Exponential,Boolean,true,,"If enabled, the XP cost increase per additional S-mod slot is exponential. Otherwise, it's linear.",,,General
psm_extraSModXPCostGrowthFactor,XP Cost Growth Factor,Double,2.25,,"XP Cost for additional S-mod slots is base*(1+factor*n) if linear, or base*factor^n if exponential.",0,5,General
,,,,,,,,
,,,,,,,,
psm_headerBuildIn,Building in S-Mods,Header,Building in S-Mods,,,,,General
psm_xpCostMultiplierFrigate,Frigate XP Cost Multiplier,Double,1,,Multiplies XP cost for building in hullmods on a frigate by the specified amount.,0,10,General
psm_xpCostMultiplierDestroyer,Destroyer XP Cost Multiplier,Double,1,,Multiplies XP cost for building in hullmods on a destroyer by the specified amount.,0,10,General
psm_xpCostMultiplierCruiser,Cruiser XP Cost Multiplier,Double,1,,Multiplies XP cost for building in hullmods on a cruiser by the specified amount.,0,10,General
psm_xpCostMultiplierCapital,Capital XP Cost Multiplier,Double,1,,Multiplies XP cost for building in hullmods on a capital ship by the specified amount.,0,10,General
