id,trigger,conditions,script,text,options,notes
sun_rs_sal_printDefaultDefenders,TriggerAutomatedDefenses,$hasDefenders == true score:9,RS_SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, new energy signatures are detected near the $shortName.",,
sun_rs_sal_printDebrisDefenders,TriggerAutomatedDefenses,$customType == debris_field_shared score:10,RS_SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, new energy signatures are detected near a larger piece of debris.",,
sun_rs_sal_triggerProbeDefenders,TriggerAutomatedDefenses,$customType == derelict_probe score:10,RS_SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, several energy signatures are detected coming online inside the probe's hold.",,
sun_rs_sal_triggerSurveyShipDefenders,TriggerAutomatedDefenses,$customType == derelict_survey_ship score:10,RS_SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, multiple energy signatures are detected coming online from various points on and within the flayed hull of the survey ship.",,
sun_rs_sal_triggerMothershipDefendersBoth,TriggerAutomatedDefenses,"$customType == derelict_mothership score:10
$hasStation
$hasNonStation",RS_SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, numerous strong energy signatures are detected coming online inside the darkened work-bays of the mothership's vast hulk. Your sensors also detect several weapon emplacements powering up on the mothership itself.",,
sun_rs_sal_triggerMothershipDefendersOnlyDrones,TriggerAutomatedDefenses,"$customType == derelict_mothership score:10
$hasNonStation",RS_SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, numerous strong energy signatures are detected coming online inside the darkened work-bays of the mothership's vast hulk.",,
sun_rs_sal_triggerMothershipDefendersOnlyItself,TriggerAutomatedDefenses,"$customType == derelict_mothership score:10
$hasStation",RS_SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, your sensors detect several weapon emplacements powering up in darkened crevasses on the mothership's vast hulk.",,
sun_rs_psi_defenderDesc,TriggerAutomatedDefenses,$psi_planet score:1010,RS_SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, sensors detect multiple contacts rising up from the murky red depths.",,
sun_rs_marketHostileEngageSel,DialogOptionSelected,$option == mktEngage score:6,RS_MarketCMD engage,,,
,,,,,,
