fieldID,fieldName,fieldType,defaultValue,fieldDescription,minValue,maxValue,tab
,,,,,,,
sun_rs_HEADER_STIPENDS,,Header,Stipends and Bounty Pay,,,,Money & XP
sun_rs_galatianStipendDuration,Galatian Stipend Duration,Int,1115,"How long the Galatian Academy will pay you at the start of each game, in days. In Vanilla, it is 1115.",0,10000,Money & XP
sun_rs_galatianStipendPay,Galatian Stipend Pay,Int,15000,"How many credits the Galatian Academy will pay you per month at the start of each game. In Vanilla, it is 15,000.",0,1000000,Money & XP
sun_rs_factionCommissionBountyMult,Commission Bounty Multiplier,Double,1,,0,10,Money & XP
sun_rs_factionCommissionStipendBaseMult,Commission Stipend Base Pay Multiplier,Double,1,,0,10,Money & XP
sun_rs_factionCommissionStipendPerLevelMult,Commission Stipend Pay Per Level Multiplier,Double,1,,0,10,Money & XP
,,,,,,,
sun_rs_HEADER_XP_OPTS,,Header,Expericence Gain,,,,Money & XP
sun_rs_scaleXpGainBasedOnBattleDifficulty,Scale XP Gain Based on Battle Difficulty,Boolean,FALSE,"If true, xp gained in battls will be adjusted based on estimated difficulty.

The XP Multiplier for each battle is calculated as follows:
(enemyStrength / playerStrength - min) * mult, where:
      enemyStrength = Total estimated strength of all enemy ships
      playerStrength = Total estimated strength of ships you deploy
      min = ""Minimum Difficulty to Earn XP"" setting
      mult = ""XP Multiplier After Reduction"" setting",,,Money & XP
sun_rs_minDifficultyToEarnXp,Minimum Difficulty to Earn XP,Double,0.5,,0,5,Money & XP
sun_rs_xpMultiplierAfterReduction,XP Multiplier After Reduction,Double,3,,1,10,Money & XP
sun_rs_disableVanillaDifficultyBonus,Disable Vanilla Difficulty Bonus,Boolean,FALSE,"The vanilla bonus stacks with the ruthless sector adjustment.
Vanilla caclulates difficulty based on all of the ships in your fleet, while ruthless sector only considers the ones you deploy.",,,Money & XP
sun_rs_loseProgressTowardNextLevelOnDeath,Lose Progress Toward Next Level On Death,Boolean,FALSE,"If true, you will lose any XP you have gained toward the next level, but will not lose any levels.",,,Money & XP
,,,,,,,
sun_rs_HEADER_PENALTY,,Header,Reload Penalty,,,,Money & XP
sun_rs_DESC_PENALTY,,Text,These options allow you to control how much the XP from the next battle will be reduced each time you reload after engaging with a hostile fleet.,,,,Money & XP
