parameter,operator,value,notes
"# change ""operator"" and ""value"" according to String/Array/Float",,,
"# String Operators: startsWith/endsWith/contains/in/equals/matches. Prefix with ""!"" to negate. cAsE SeNSiTiVe (except ""equals""). ""matches"" is in regex format.",,,
"# Array Operators: containsAll/containsAny/allIn. Prefix with ""!"" to negate. ",,,
"# Float Operators: </>/=/<=/>=/!=/()/[]/[)/(]. Uses modified values when possible. Interval values should be of the form ""a,b""",,,
"# Values: String (cAsE SeNSiTiVe) / Array (comma separated (""a,b,c,..."")) / Float",,,
,,,
### Strings ###,,,"# Operators: startsWith/endsWith/contains/in/equals/matches. Prefix with ""!"" to negate. cAsE SeNSiTiVe (except ""equals""). ""matches"" is in regex format."
id,,,
name,,,
designation,,,
tech/manufacturer,,,"FYI no manufacturer entry returns ""Common"""
system id,,,
system name,,,
defense type,,,"Can be ""NONE"", ""FRONT"", ""OMNI"", ""PHASE"""
hullSize,,,"Can be ""FRIGATE"", ""DESTROYER"", ""CRUISER"", ""CAPITAL_SHIP"""
,,,
### Other ###,,,"# Operators: Always ""*"""
knownShips,*,,Should be a faction id
priorityShips,*,,Should be a faction id
,,,
### Arrays ###,,,"# Operators: containsAll/containsAny/allIn. Prefix with ""!"" to negate. "
hints,,,
tags,,,
builtInMods,,,
builtInWings,,,
,,,
### Floats ###,,,"# Operators: </>/=/<=/>=/!=/()/[]/[)/(]. Uses modified values when possible. Interval values should be of the form ""a,b"""
DP,,,
fleet pts,,,
hitpoints,,,
armor rating,,,
max flux,,,
flux dissipation,,,
ordnance points,,,
fighter bays,,,
numBuiltInWings,,,
max speed,,,
acceleration,,,
deceleration,,,
max turn rate,,,
turn acceleration,,,
mass,,,
shield arc,,,
shield upkeep,,,
shield efficiency,,,
phase cost,,,
phase upkeep,,,
min crew,,,
max crew,,,
cargo,,,
fuel,,,
fuel/ly,,,
max burn,,,
base value,,,
cr %/day,,,
repair %/day,,,
CR to deploy,,,
peak CR sec,,,
CR loss/sec,,,
supplies/rec,,,
supplies/mo,,,
rarity,,,
breakProb,,,
minPieces,,,
maxPieces,,,
sensorProfile,,,
sensorStrength,,,
numModules,,,
,,,
numSmallSlots,,,
numMediumSlots,,,
numLargeSlots,,,
numBallisticSlots,,,
numEnergySlots,,,
numMissileSlots,,,
numSBSlots,,,
numSESlots,,,
numSMSlots,,,
numMBSlots,,,
numMESlots,,,
numMMSlots,,,
numLBSlots,,,
numLESlots,,,
numLMSlots,,,
numMBSlots,,,
numMESlots,,,
numMMSlots,,,
numLBSlots,,,
numLESlots,,,
numLMSlots,,,
