fieldID,fieldName,fieldType,defaultValue,fieldDescription,minValue,maxValue,tab
,,,,,,,
sun_sl_REP_GROWTH_HEADER,,Header,Negative Traits,,,,Reputation
sun_sl_maxInitialNegativeTraits,Maximum Initial Negative Traits,Int,4,Controls the maximum number of negative traits your ships may have once all traits are once unlocked.,0,16,Reputation
sun_sl_minInitialNegativeTraits,Minimum Initial Negative Traits,Int,1,Controls the minimum number of negative traits your ships may have once all traits are once unlocked.,0,16,Reputation
sun_sl_minNegativeTraits,Absolute Minimum Negative Traits,Int,1,"Controls the absolute minimum number of negative traits a ship may have, even after adjustments from events.",0,16,Reputation
,,,,,,,
sun_sl_SEMI_RELEVANT_TRAITS,,Header,Semi-relevant Trait Frequency,,,,Reputation
sun_sl_chanceToIgnoreLogisticsTraitsOnCombatShips,Skip Logistics Traits for Combat Ships,Double,0.75,Controls the chance for combat ships to ignore logistics traits when traits are chosen.,0,1,Reputation
sun_sl_chanceToIgnoreCombatTraitsOnCivilianShips,Skip Combat Traits for Civilian Ships,Double,0.75,Controls the chance for logistics ships to ignore combat traits when traits are chosen.,0,1,Reputation
,,,,,,,
sun_sl_FAME_DESC,,Header,Reputation Growth Rate,,,,Reputation
sun_sl_fameBonusPerPlayerLevel,Fame Bonus Per Player Level,Double,0.6,"Controls how much each player level improves the rate at which your ships earn reputation. With a setting of 0.6, reputation growth will be increased by 900%% at max level. 0.6 x 15 = 9 (+900%%)",0,10,Reputation
sun_sl_fameBonusFromChroniclersForCombatShips,Chronicler Fame Bonus for Combat Ships,Double,1,"Controls how much chroniclers improve the rate at which your combat ships earn reputation. For example, setting this to 3 would increase rep growth by 300%%.",0,10,Reputation
sun_sl_fameBonusFromChroniclersForCivilianShips,Chronicler Fame Bonus for Civilian Ships,Double,5,"Controls how much chroniclers improve the rate at which your civilian ships earn reputation. For example, setting this to 3 would increase rep growth by 300%%.",0,10,Reputation
,,,,,,,
sun_sl_XP_GAIN_HEADER,,Header,Experience Gain,,,,Reputation
sun_sl_XP_GAIN_DESC,,Text,The XP earned by the player character is used to determine how quickly your ships earn reputation and how quickly their crews become more loyal. The amount of XP earned by each ship depends on several factors:,,,,Reputation
sun_sl_xpMultFlat,Flat XP,Double,0.1,Controls the fraction of XP each ship earns by default.,0,1,Reputation
sun_sl_xpMultPerPlayerCaptainLevel,XP for Captain Levels (Player),Double,0.005,Controls the fraction of XP earned per player level by ships captained by the player character.,0,1,Reputation
sun_sl_xpMultPerNonPlayerCaptainLevel,XP for Captain Levels (NPC),Double,0.01,Controls the fraction of XP earned per officer level by ships captained by an officer.,0,1,Reputation
sun_sl_xpMultPerFleetPoint,XP for Fleet Points,Double,0.0075,"Controls the fraction of XP earned for how many fleet points the ship is worth, which typically ranges between 5 (most frigates) and 30 (Paragon)",0,1,Reputation
sun_sl_xpMultPerDamageDealtPercent,XP for Damage Dealt,Double,0.005,"Controls the fraction of XP earned based on the amount of hull damage ships deal, scaled based on how powerful the ship is compared to the ships it damages.",0,1,Reputation
,,,,,,,
sun_sl_RESERVED_XP_DESC,,Header,Combat XP for Ships that Were Not Deployed,,,,Reputation
sun_sl_xpMultForReservedCombatShips,For Combat Ships,Double,0.02,Scales XP gained from battles by combat ships that were not deployed.,0,1,Reputation
sun_sl_xpMultForReservedCivilianShips,For Civilian Ships,Double,0.02,"Scales XP gained from battles by civilian ships that were not deployed,",0,1,Reputation
,,,,,,,
sun_sl_PEACEFUL_XP_DESC,,Header,XP from Any Source Other than Combat,,,,Reputation
sun_sl_peacefulXpMultForCombatShips,For Combat Ships,Double,0.2,Scales XP gained outside of battle by combat ships.,0,10,Reputation
sun_sl_peacefulXpMultForCivilianShips,For Civilian Ships,Double,1,Scales XP gained outside of battle by civilian ships.,0,10,Reputation
,,,,,,,
