trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
sw_plasma_trail1,plasma_seeker,Trail_Clean,10,0,0.5,1,15,0,"[235,205,255]","[235,205,255]",1,50,0,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sw_plasma_trail2,plasma_seeker,Trail_Clean,10,0,0.5,1,40,0,"[60,140,255]","[60,140,255]",1,50,0,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw_terror_trail1,terror_torpedo,Trail_Fuzzy,10,0,0.1,1.2,12,15,"[225,105,45]","[120,120,120]",0.3,300,400,10,0,0,TRUE,FALSE,TRUE,20,40,0.3,0,0,250,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw_rail_trail1,electromagnetic_railshot,Trail_Zappy,10,0,0.7,1.3,30,15,"[170,170,235]","[170,170,235]",1,200,-100,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sw_rail_trail2,electromagnetic_railshot,Trail_Fuzzy,10,0,0.7,1.3,15,7,"[130,130,255]","[130,130,255]",0.9,200,500,0,0,0,TRUE,FALSE,TRUE,25,75,0.333,0,0,250,TRUE,FALSE
sw_rail_trail3,electromagnetic_railshot,Trail_Doublehelix,10,0,0.7,1.3,50,60,"[90,90,255]","[90,90,255]",1,200,100,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw_gauss_trail1,gauss_rail,Trail_Clean,10,0,0.5,0.7,10,0,"[255,205,205]","[255,205,205]",1,50,0,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sw_gauss_trail2,gauss_rail,Trail_Fuzzy,10,0,0.5,0.8,30,0,"[253,199,134]","[253,199,134]",1,50,0,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sw_gauss_trail3,gauss_rail,Trail_Ring,10,0,0.5,0.8,65,15,"[230,200,170]","[230,200,170]",1,100,-20,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw_positron_trail,positron_charge,Trail_Zappy,4,0,0.2,0.3,40,20,"[75,125,230]","[15,75,185]",1,315,-180,5,0,1,TRUE,TRUE,TRUE,5,15,0.12,0,0,75,TRUE,
sw_positron_trail2,positron_charge,Trail_Zappy,4,0,0.2,0.3,20,10,"[200,200,200]","[200,200,200]",1,315,-180,5,0,1,TRUE,TRUE,TRUE,5,15,0.12,0,0,75,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw_lightspear_trail1,lightspear,Trail_Clean,4,0,0.2,0.3,30,30,"[55,145,220]","[15,55,185]",1,315,-180,5,0,1,TRUE,TRUE,TRUE,5,15,0.12,0,0,75,TRUE,
sw_lightspear_trail2,lightspear,Trail_Zappy,4,0,0.1,0.2,25,25,"[200,200,200]","[200,200,200]",1,315,-180,5,0,1,TRUE,TRUE,TRUE,5,15,0.12,0,0,75,TRUE,
sw_lightspear_trail3,lightspear,Trail_Ring,10,0,0.1,0.9,50,600,"[150,200,250]","[150,200,250]",1,200,-20,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw_lightsplinter_trail1,lightsplinter,Trail_Clean,4,0,0.1,0.15,20,20,"[55,145,220]","[15,55,185]",1,315,-180,5,0,1,TRUE,TRUE,TRUE,5,15,0.12,0,0,75,TRUE,
sw_lightsplinter_trail2,lightsplinter,Trail_Zappy,4,0,0.05,0.1,15,15,"[200,200,200]","[200,200,200]",1,315,-180,5,0,1,TRUE,TRUE,TRUE,5,15,0.12,0,0,75,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw_flash_core,tachyon_charge,Trail_Surge,10,0,0.25,0.8,45,22.5,"[255,255,255]","[150,205,255]",0.8,500,-1000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sw_flash_outer_core,tachyon_charge,Trail_Contrail,10,0,0.25,0.8,90,45,"[170,220,255]","[25,190,255]",0.85,300,-250,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sw_flash_fringe,tachyon_charge,Trail_Core,10,0,0.25,0.8,140,70,"[150,170,255]","[0,155,255]",0.75,400,-80,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sw_flash_smoke,tachyon_charge,Trail_Smooth,10,0,0.1,2.75,1,700,"[255,255,255]","[0,155,255]",0.6,300,500,-50,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sw_flash_helix,tachyon_charge,Trail_Doublehelix,10,0,0,1,200,700,"[200,225,255]","[50,155,255]",0.4,800,75,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw_nova_trail1,novax_shrapnel,Trail_Fuzzy,10,0,0.1,1.2,12,15,"[225,105,45]","[120,120,120]",0.3,300,400,10,0,0,TRUE,FALSE,TRUE,20,40,0.3,0,0,250,TRUE,FALSE
