name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Rare (Tier 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tartarus LRM Launcher,sw_tartarus,3,0.6,160000,6000,,2500,300,40,5,36,48,,,ENERGY,0,,0,20,3,1,0,0,0,0,,330,110,25,700,"DO_NOT_AIM, DO_NOT_CONSERVE","missile20, strike13, utility15,no_bp_drop,no_sell,sw_techmining,no_dealer",,Rare,,Long range,Medium,Average,,Good,"Delivers %s on impact, dealing %s and %s of the missile damage as %s and %s damage respectively.",Electromagnetic Shockwaves | 30% | 60% | Energy | EMP,,,,
Terror MRM Battery,sw_terror,3,0.6,155000,1250,,1400,100,30,6,30,80,,,HIGH_EXPLOSIVE,,,0,15,8,0.3,0,0,0,0,,600,100,4,450,"STRIKE,DO_NOT_CONSERVE,USE_VS_FRIGATES","strike4, rocket2,no_bp_drop,no_sell,sw_techmining,no_dealer",,Rare,,Heavy strike,Fast,None,,,,,,,,
X9 Prism Driver,sw_prismdriver,3,0.6,175000,1000,3095.5,,,50,6,32,,,,ENERGY,,7700,0,0.7,0.3,4,0,0,0,0,25000,,,,,DO_NOT_CONSERVE,"energy20, beam15, LR,no_bp_drop,no_sell,sw_techmining,no_dealer",,Rare,,Burst,,,,,"Pressure generated by the beam creates a discharge dealing %s of it's damage as %s damage to %s random targets in %s units around the blast.
Deals %s damage.",40% | Energy | 5 | 750 | Hard Flux,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultra Rare (Tier 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercharged Fusion Beam,sw_fusionbeam,3,0.5,195000,800,1250,,,0,7,35,,,,ENERGY,,2000,0.4,0.3,,,0,0,0,0,25000,,,,,DO_NOT_CONSERVE,"beam20, LR,no_bp_drop,no_sell,sw_techmining,no_dealer",,Ultra Rare,,Heavy Ray,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra %s and %s damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.
Deals %s damage.",EMP | Energy | Hard Flux,,,,
MX Gauss Cannon,sw_gauss,3,0.5,190000,1250,,660,,25,6,30,,,,HIGH_EXPLOSIVE,1350,,0,3,,,0,6,6,3,,2000,,,,DO_NOT_CONSERVE,"LR,no_bp_drop,no_sell,sw_techmining,no_dealer",,Ultra Rare,,Long range,Very Fast,,,Average,"Projectiles gains %s of High Explosive damage as extra %s damage for every %s units across up to %s.
Damage scales with distance reaching %s at maximum weapon range.
%s by Modifiers to projectile Speed.",10% | Kinetic | 200 | 100% | 150% | Unaffected,,,,
Photon Lens,sw_photonlense,3,0.5,200000,1150,,3200,1000,100,5,38,,,,KINETIC,4200,,0,7,,,4,4,0,0,,1500,,0.3,,"DO_NOT_CONSERVE, STRIKE","strike6, LR,no_bp_drop,no_sell,sw_techmining,no_dealer",,Ultra Rare,,Destabilizer,Very Fast,,,Good,"%s the target:
-Hits against shields cause them to take %s more kinetic damage.
-Hits against Armor and hull cause them to take %s more kinetic damage.
Debuff lasts for %s, doesn't stack.",Destabilizes | 30% | 100% | 10 seconds,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
