name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Royal Executive Access Key Card (Red),uaf_keycard_red,uaf_keycard,Auroran Royal Complex,,500000,1000,1,EXTREME,graphics/icons/keycards/uaf_arv_keycard_red.png,ui_cargo_luxury,ui_cargo_luxury_drop,com.fs.starfarer.api.campaign.impl.items.uaf_keycard,,"The Auroran keycards are infamously known for having advanced multi-layered encryption and encodings, ensuring no one would be able to hack into them easily. Making them one of the easiest method to physically contain or transfer sensitive information. The cards are typically categorized in color depending on their purpose and importance level. 

The Red tier are only used and given to important personnel such as the Permaisuri. This top tier card are very much sought after even outside Federation space and may contain precious data and information regarding the Auroran Federation and its hidden secrets.",120
Classified Access Key Card (Blue),uaf_keycard_blue,uaf_keycard,Auroran Administrative Bureau,,350000,1000,1,EXTREME,graphics/icons/keycards/uaf_arv_keycard_blue.png,ui_cargo_luxury,ui_cargo_luxury_drop,com.fs.starfarer.api.campaign.impl.items.uaf_keycard,,"The Auroran keycards are infamously known for having advanced multi-layered encryption and encodings, ensuring no one would be able to hack into them easily. Making them one of the easiest method to physically contain or transfer sensitive information. The cards are typically categorized in color depending on their purpose and importance level. 

The Blue tier is a rare, high-end military grade card used by the higher ups in the Auroran Federation. Typically filled with important intel and other sensitive information. It also comes with a self-destruct feature if anyone tries to hack or reverse engineer it.",120
Exclusive Access Key Card (Green),uaf_keycard_green,uaf_keycard,Auroran Administrative Bureau,,250000,1000,1,EXTREME,graphics/icons/keycards/uaf_arv_keycard_green.png,ui_cargo_luxury,ui_cargo_luxury_drop,com.fs.starfarer.api.campaign.impl.items.uaf_keycard,,"The Auroran keycards are infamously known for having advanced multi-layered encryption and encodings, ensuring no one would be able to hack into them easily. Making them one of the easiest method to physically contain or transfer sensitive information. The cards are typically categorized in color depending on their purpose and importance level. 

The Green tier is a military grade, standard issue card used by the Auroran Federation personnel and  higher class civilians. ",120
Limited Access Key Card (Orange),uaf_keycard_orange,uaf_keycard,Auroran Administrative Bureau,,100000,1000,1,EXTREME,graphics/icons/keycards/uaf_arv_keycard_orange.png,ui_cargo_luxury,ui_cargo_luxury_drop,com.fs.starfarer.api.campaign.impl.items.uaf_keycard,,"The Auroran keycards are infamously known for having advanced multi-layered encryption and encodings, ensuring no one would be able to hack into them easily. Making them one of the easiest method to physically contain or transfer sensitive information. The cards are typically categorized in color depending on their purpose and importance level. 

The Orange tier is the lowest of them all, commonly used by the Federation people across all levels of society. Typically used as debit card or storing personal information.",120
Standard Access Key Card (Violet),uaf_keycard_violet,uaf_keycard,Auroran Administrative Bureau,,150000,1000,1,EXTREME,graphics/icons/keycards/uaf_arv_keycard_violet.png,ui_cargo_luxury,ui_cargo_luxury_drop,com.fs.starfarer.api.campaign.impl.items.uaf_keycard,,"The Auroran keycards are infamously known for having advanced multi-layered encryption and encodings, ensuring no one would be able to hack into them easily. Making them one of the easiest method to physically contain or transfer sensitive information. The cards are typically categorized in color depending on their purpose and importance level. 

The Violet tier is the standard tier, increased data storage capacity allows the user to store larger data in it. It also comes with a built-in security feature for better data protection.",120
,,,,,,,,,,,,,,,
Auroran Modular Purifier,uaf_modular_purifier,"hist3t, pather4",Auroran Logistics,,200000,1000,20,EXTREME,graphics/icons/cargo/uaf_modular_purifier.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,"A modular component that specializes in refining raw resources into usable construction materials. There is an on-going rumor among engineers that it purrs like a kitten whenever its in low output.
",120
Auroran Servosync Pump,uaf_servosync_pump,"hist3t, pather4",Auroran Logistics,,250000,1000,20,EXTREME,graphics/icons/cargo/uaf_servosynco_pump.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"A special component that converts volatile gasses into usable fuel, its simplistic and modular design allowed it to be install in any fuel production facilities without any major drawbacks.",139.2
Auroran Dimensional Nanoforge,uaf_dimen_nanoforge,"nanoforge, hist3t, pather4",Auroran Logistics,,250000,1000,20,EXTREME,graphics/icons/cargo/uaf_dimen_nanofab.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","A powerful and versatile manufacturing box, capable of running virtually any programmable functions up to galaxy scale, it can also stack itself on top of each other to generate increased nanoforge capacity and keep building given enough materials are present. This one is as good as new, including a newly manufactured nanoforge technology from NanoVidia, amplifying the power generated ForgeTX 1060 to a brand new ForgeTX 3060.",139.1
Auroran Dimensional Stove,uaf_dimen_microwave,"nanoforge, hist3t, pather4",Auroran Logistics,,250000,1000,20,EXTREME,graphics/icons/cargo/uaf_dimen_stove.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"uaf_bakery, uaf_bakery_branch","The Microwave Oven primarily heats food using a form of electromagnetic radiation similar to radio waves. Allowing them to cook or heat something safely so long as no one put something dangerous into them. Luckily, numerous safety measures are implemented in order to prevent such catastrophe from happening and no incidents have been recorded yet, so far.",139.1
