offer_id,name_of_offer,offer_type,reward,cost,offer-description,isBundle,BundleDuration,imageOverride,stockpile,tags,,
#Id of offer : unique,#Name of Offer,"#TYPES: SHIP,WEAPON,SPECIAL_ITEM,OFFICER,NORMAL_ITEM,POINTS","#hashmap : reward can be like : ship:1, weapon:3","#hashmap , cost can look like this : POINTS:3000, CASH:600000",#description of offer,#Determines if offer is bundle,#Duration of Bundle(Days),#Override used to display custom image in offer box ,"#Stockpile work like this - amount_of_goods:cooldown -> you specify here amount of goods per stockpile ,if player buys entier stockpile then it starts cooldown of reseting it ","#example tags: infinite:stockpile is always there, unique: You can buy this offer only one time, point_conversion -> cosmetic tag that this offer showcases for example 1 item -> 1200 points . Req that offer ONLY have points as reward",,
#COLONY ITEMS,,,,,,,,,,,,
uaf_colony_item1,Dimensional Nanoforge,SPECIAL_ITEM,uaf_dimen_nanoforge:1:SPECIAL_ITEM,points:105000:POINTS,"From NanoVidia, a powerful and versatile manufacturing box, capable of running virtually any programmable functions. Including a newly manufactured nanoforge technology stacking up to galaxy scale, start printing industrial equipment right now!",false,0,,3:350,uaf_reputation_FAVORABLE,,
uaf_colony_item2,Modular Purifier,SPECIAL_ITEM,uaf_modular_purifier:1:SPECIAL_ITEM,points:105000:POINTS,A modular component that specializes in refining raw resources into usable construction materials. This piece of tech can purify even the harshest of metals!,false,0,,3:350,uaf_reputation_FAVORABLE,,
uaf_colony_item3,Servosync Pump,SPECIAL_ITEM,uaf_servosync_pump:1:SPECIAL_ITEM,points:105000:POINTS,"Gas! Gas! Gas! You are gonna step on the pump! Tonight, you’ll fly and be a captain. Yeah, yeah, yeah! And I’ll be your hero~! Uhh… I mean, its obviously a pump that pumps volatiles and convert them into usable material, go figure!",false,0,,3:350,uaf_reputation_FAVORABLE,,
uaf_colony_item4,Confectionary Stove,SPECIAL_ITEM,uaf_dimen_microwave:1:SPECIAL_ITEM,points:85000:POINTS,Food production on an industrial scale that doubles as a heater during those cold winters. Watch as this item unleashes a buffet of warm nutritious goodness into the stomachs of your citizens. Stop world hunger now!,false,0,,3:350,uaf_reputation_FAVORABLE,,
uaf_colony_item5,Access Router,SPECIAL_ITEM,uaf_access_router:1:SPECIAL_ITEM,points:61500:POINTS,"Just to be sure, inform your tech miners to only access the extranet for work purposes only. Our Discreet Neuko Services will be watching your every move. Yes, even your browser history. This one allows you to have higher chance of finding more loot.",false,0,,3:350,uaf_reputation_FAVORABLE,,
uaf_colony_item6,Garrison Transmitter,SPECIAL_ITEM,uaf_garrison_transmitter:1:SPECIAL_ITEM,points:70000:POINTS,"The latest in military network development, allowing for increased bandwidth and electronic-warfare resistance; this transmitter allows for seamless communications on the battlefield. Outplay the Nemyeay!",false,0,,3:350,uaf_reputation_FAVORABLE,,
uaf_colony_item7,Rice Cooker,SPECIAL_ITEM,uaf_rice_cooker:1:SPECIAL_ITEM,points:60000:POINTS,"Need something to cook for you while you and your men are working hard in the fields? Fear not, behold the Interplanetary Rice Cooker! This one is capable of beyond",false,0,,3:350,uaf_reputation_FAVORABLE,,
,,,,,,,,,,,,
