trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
uaf_heavy_trail_1,uaf_shot_heavy,base_trail_zap,10,0.05,0,0.25,20,4,"[238,130,238]","[238,130,238]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_heavy_trail_2,uaf_shot_heavy,base_trail_zap,10,0,0.05,0.15,50,10,"[238,130,238]","[255,45,0]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_heavy_trail_3,uaf_shot_heavy,base_trail_mild,10,0.05,0.5,0.4,12,5,"[238,130,238]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_heavy_trail_4,uaf_shot_heavy,base_trail_mild,10,0.05,0.5,0.4,12,5,"[238,130,238]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_heavy_trail_1_piercing,uaf_shot_heavy_piercing,base_trail_zap,10,0.05,0,0.25,15,4,"[238,130,238]","[238,130,238]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_heavy_trail_2_piercing,uaf_shot_heavy_piercing,base_trail_zap,10,0,0.05,0.15,30,5,"[100,165,255]","[255,45,0]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_heavy_trail_3_piercing,uaf_shot_heavy_piercing,base_trail_mild,10,0.05,0.5,0.4,12,5,"[238,130,238]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_heavy_trail_4_piercing,uaf_shot_heavy_piercing,base_trail_mild,10,0.05,0.5,0.4,12,5,"[100,165,255]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_heavy_trail_5_piercing,uaf_shot_heavy_piercing,base_trail_smooth,10,0,0,0.4,5,5,"[250,250,255]","[50,0,205]",1,200,100,0,10,1,TRUE,FALSE,TRUE,100,50,0,0,0,0,false,false
uaf_heavy_trail_6_piercing,uaf_shot_heavy_piercing,base_trail_zap,10,0,0,0.6,5,60,"[40,160,255]","[50,110,185]",0.2,500,0,0,10,1,TRUE,FALSE,TRUE,150,20,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_shot_heavy_trail_1_piercing_overload,uaf_shot_heavy_piercing_overload,base_trail_zap,10,0.05,0,0.25,15,4,"[255,255,175]","[238,130,238]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_shot_heavy_trail_2_piercing_overload_trail_2,uaf_shot_heavy_piercing_overload,base_trail_zap,10,0,0.05,0.15,30,5,"[255,255,175]","[255,45,0]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_shot_heavy_trail_3_piercing_overload_trail_3,uaf_shot_heavy_piercing_overload,base_trail_mild,10,0.05,0.5,0.4,12,5,"[255,255,175]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_shot_heavy_trail_4_piercing_overload_trail_4,uaf_shot_heavy_piercing_overload,base_trail_mild,10,0.05,0.5,0.4,12,5,"[100,165,255]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_shot_heavy_trail_5_piercing_overload_trail_5,uaf_shot_heavy_piercing_overload,base_trail_smooth,10,0,0,0.4,5,5,"[100,165,255]","[50,0,205]",1,200,100,0,10,1,TRUE,FALSE,TRUE,100,50,0,0,0,0,false,false
uaf_shot_heavy_trail_6_piercing_overload_trail_6,uaf_shot_heavy_piercing_overload,base_trail_zap,10,0,0,0.6,5,60,"[100,165,255]","[50,110,185]",0.2,500,0,0,10,1,TRUE,FALSE,TRUE,150,20,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_railgun_trail1_xl_piercing,uaf_pu_ash_xl_piercing,base_trail_zap,10,0.05,0,0.25,20,4,"[238,130,238]","[238,130,238]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_railgun_trail2_xl_piercing,uaf_pu_ash_xl_piercing,base_trail_zap,10,0,0.05,0.15,50,10,"[100,165,255]","[255,45,0]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_railgun_trail3_xl_piercing,uaf_pu_ash_xl_piercing,base_trail_mild,10,0.05,0.5,0.4,12,5,"[238,130,238]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_railgun_trail4_xl_piercing,uaf_pu_ash_xl_piercing,base_trail_mild,10,0.05,0.5,0.4,12,5,"[100,165,255]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_railgun_trail3_lg,uaf_pu_ash_lg,base_trail_weave,10,0.05,0.5,0.4,12,2.5,"[255,255,175]","[50,50,50]",0.1,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_railgun_trail4_lg,uaf_pu_ash_lg,base_trail_weave,10,0.05,0.5,0.4,12,5,"[100,165,255]","[50,50,50]",0.1,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_railgun_trail5_lg,uaf_pu_ash_lg,base_trail_aura,10,0.05,0.5,0.8,12,5,"[100,165,255]","[50,50,50]",0.1,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_edge_type_iii_shot_trail1,uaf_edge_type_iii,base_trail_zapWithCore,10,0.05,0,0.25,6,2.5,"[175,255,255]","[230,130,240]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_edge_type_iii_shot_trail2,uaf_edge_type_iii,base_trail_zapWithCore,10,0,0.05,0.15,6,2.5,"[100,165,255]","[255,45,0]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_edge_type_iii_shot_trail3,uaf_edge_type_iii,base_trail_weave,10,0.05,0.5,0.4,6,2.5,"[175,255,255]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_edge_type_iii_shot_trail4,uaf_edge_type_iii,base_trail_weave,10,0.05,0.5,0.4,10,5,"[100,165,255]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_edge_type_iii_shot_trail5,uaf_edge_type_iii,base_trail_aura,10,0.05,0.5,0.8,10,5,"[100,165,255]","[50,50,50]",0.6,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_edge_type_iii_shot_overload_trail1,uaf_edge_type_iii_overload,base_trail_zap,10,0.05,0,0.25,15,4,"[250,100,200]","[238,130,238]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_edge_type_iii_shot_overload_trail2,uaf_edge_type_iii_overload,base_trail_zap,10,0,0.05,0.15,30,5,"[250,100,200]","[255,50,220]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_edge_type_iii_shot_overload_trail3,uaf_edge_type_iii_overload,base_trail_mild,10,0.05,0.5,0.4,12,5,"[250,100,200]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_edge_type_iii_shot_overload_trail4,uaf_edge_type_iii_overload,base_trail_mild,10,0.05,0.5,0.4,12,5,"[250,180,230]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_edge_type_iii_shot_overload_trail5,uaf_edge_type_iii_overload,base_trail_smooth,10,0,0,0.4,5,5,"[250,180,230]","[190,50,115]",1,200,100,0,10,1,TRUE,FALSE,TRUE,100,50,0,0,0,0,false,false
uaf_edge_type_iii_shot_overload_trail6,uaf_edge_type_iii_overload,base_trail_zap,10,0,0,0.6,5,60,"[250,180,230]","[185,50,105]",0.2,500,0,0,10,1,TRUE,FALSE,TRUE,150,20,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_edge_type_iv_shot_trail1,uaf_edge_type_iv,base_trail_zapWithCore,10,0.05,0,0.25,6,2.5,"[175,255,255]","[230,130,240]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_edge_type_iv_shot_trail2,uaf_edge_type_iv,base_trail_zapWithCore,10,0,0.05,0.15,6,2.5,"[100,165,255]","[255,45,0]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_edge_type_iv_shot_trail3,uaf_edge_type_iv,base_trail_weave,10,0.05,0.5,0.4,6,2.5,"[175,255,255]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_edge_type_iv_shot_trail4,uaf_edge_type_iv,base_trail_weave,10,0.05,0.5,0.4,10,5,"[100,165,255]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_edge_type_iv_shot_trail5,uaf_edge_type_iv,base_trail_aura,10,0.05,0.5,0.8,10,5,"[100,165,255]","[50,50,50]",0.6,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_edge_type_iv_shot_overload_trail1,uaf_edge_type_iv_overload,base_trail_zap,10,0.05,0,0.25,15,4,"[250,100,200]","[238,130,238]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_edge_type_iv_shot_overload_trail2,uaf_edge_type_iv_overload,base_trail_zap,10,0,0.05,0.15,30,5,"[250,100,200]","[255,50,220]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_edge_type_iv_shot_overload_trail3,uaf_edge_type_iv_overload,base_trail_mild,10,0.05,0.5,0.4,12,5,"[250,100,200]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_edge_type_iv_shot_overload_trail4,uaf_edge_type_iv_overload,base_trail_mild,10,0.05,0.5,0.4,12,5,"[250,180,230]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_edge_type_iv_shot_overload_trail5,uaf_edge_type_iv_overload,base_trail_smooth,10,0,0,0.4,5,5,"[250,180,230]","[190,50,115]",1,200,100,0,10,1,TRUE,FALSE,TRUE,100,50,0,0,0,0,false,false
uaf_edge_type_iv_shot_overload_trail6,uaf_edge_type_iv_overload,base_trail_zap,10,0,0,0.6,5,60,"[250,180,230]","[185,50,105]",0.2,500,0,0,10,1,TRUE,FALSE,TRUE,150,20,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_railgun_trail1_lg_cyrexaii,uaf_pu_beam_lg_cyrexa_ii,base_trail_zapWithCore,10,0.05,0,0.25,6,2.5,"[255,255,175]","[238,130,238]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_railgun_trail2_lg_cyrexaii,uaf_pu_beam_lg_cyrexa_ii,base_trail_zapWithCore,10,0,0.05,0.15,6,2.5,"[100,165,255]","[255,45,0]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_railgun_trail3_lg_cyrexaii,uaf_pu_beam_lg_cyrexa_ii,base_trail_weave,10,0.05,0.5,0.4,6,2.5,"[255,255,175]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_railgun_trail4_lg_cyrexaii,uaf_pu_beam_lg_cyrexa_ii,base_trail_weave,10,0.05,0.5,0.4,10,5,"[100,165,255]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_railgun_trail5_lg_cyrexaii,uaf_pu_beam_lg_cyrexa_ii,base_trail_aura,10,0.05,0.5,0.8,10,5,"[100,165,255]","[50,50,50]",0.6,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_railgun_trail1_md_catun,uaf_pu_beam_md_catun,base_trail_zapWithCore,10,0.05,0,0.25,12,4,"[255,255,175]","[238,130,238]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_railgun_trail2_md_catun,uaf_pu_beam_md_catun,base_trail_zapWithCore,10,0,0.05,0.15,25,10,"[51,85,130]","[255,45,0]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_railgun_trail3_md_catun,uaf_pu_beam_md_catun,base_trail_weave,10,0.05,0.5,0.4,10,5,"[255,255,175]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_railgun_trail4_md_catun,uaf_pu_beam_md_catun,base_trail_weave,10,0.05,0.5,0.4,10,5,"[51,85,130]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
uaf_railgun_trail5_md_catun,uaf_pu_beam_md_catun,base_trail_aura,10,0.05,0.5,0.8,10,5,"[51,85,130]","[50,50,50]",0.6,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_railgun_trail1_lg_catun,uaf_pu_beam_lg_catun,base_trail_zapWithCore,10,0.05,0,0.25,12,4,"[255,255,175]","[238,130,238]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_railgun_trail2_lg_catun,uaf_pu_beam_lg_catun,base_trail_zapWithCore,10,0,0.05,0.15,25,10,"[51,85,130]","[255,45,0]",0.4,300,100,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
uaf_railgun_trail3_lg_catun,uaf_pu_beam_lg_catun,base_trail_weave,10,0.05,0.5,0.4,10,5,"[255,255,175]","[50,50,50]",0.2,300,100,20,5,1,TRUE,FALSE,TRUE,5,20,0.4,0,0,100,true,false
