name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Experimental Fighter System,uaf_experimental_fighter,0,0,,,Special,0,,TRUE,,0,0,0,0,data.hullmods.uaf_fighterSystem,"Experimental System developed for the experimental fighter plane, Lynx by Dr. Christine Forstner of the research and development department.",Improved panel controls for Lynx,graphics/hullmods/targeting_core.png
Auroran Melody Modification,uaf_melodyEngine,0,0,,,Special,0,TRUE,TRUE,,0,0,0,0,data.hullmods.uaf_melodyEngine,"Allows the installation of Special Engine Reactor developed by the research and development department with enhanced fuel-burning. It's said to produce a distinct light purple-ish flame on ships installed with this engine. The engine also harbors ███████ frequency ██████ ████████ ██████ ██ resonance █████ ██████ █████ ████ ████████ ██████████ ████████, in which during █████████ █████████, it ████████ by 65 ██████████, 25 ██████████, 50 ██████ ██████████, 50 ███ ██████, 35 █████ █████",Engine Improvement,graphics/hullmods/uaf_melodyengine.png
Auroran Engineering,uaf_auroranEngineering,0,0,,,Special,0,TRUE,TRUE,,0,0,0,0,data.hullmods.uaf_auroranEngineering,"Damage control is the most important step to ensure the survivability of both crew and ship. Auroran ship crew and other personnel are typically trained to be able to conduct basic repairs and firefighting, no matter how small the attempts may be, one well-placed tape at the right spot might make a real difference between life and death. Multiple types of equipment are typically readily available across the ship, ready to be used for when the situation demands it.",HP Regeneration,graphics/hullmods/uaf_auroranengineering.png
Auroran Royal November Grade,uaf_militaryGrade,0,0,,,Special,0,TRUE,TRUE,,0,0,0,0,data.hullmods.uaf_militaryGrade,Her Royal Highness' November Fleet are the prominent defenders of the New Aurora that installs unique sets of upgrade and paints a rather stylish three-tone dazzle navy camouflage pattern on their ships which makes them stand out pretty well. Some may even have more than just internal modification which allows them to survive even longer in battle under pressure. ,Military UAF upgrades,graphics/hullmods/uaf_militarygrade.png
Auroran Automata Specification,uaf_automataSpec,0,0,,,Special,0,TRUE,TRUE,,0,0,0,0,data.hullmods.uaf_automataSpecification,The Expeditionary Automata Division ships are usually given the best equipment available to the Federation and partially crewed with automated NEUKO androids that could give them an edge in exploration and combat. Such comprehensive modification however come at a cost as they aren't easily mass producible and require more active maintenance cycles to keep them running.,AI UAF upgrades,graphics/hullmods/uaf_automataspec.png
UAF Modular Freighter,uaf_modularFreighter,0,0,,,Special,0,TRUE,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_modularFreighter,Modular Freighter %s,Military UAF upgrades,graphics/hullmods/uaf_modularfreighter.png
No Explosion,uaf_noExplosion,,,,,Special,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_noExplosion,Reduced explosion radius and damage.,,graphics/hullmods/reduced_explosion.png
Linked Engine,uaf_linkedEngine,,,,,Special,,,TRUE,,0,0,0,0,data.hullmods.uaf_linkedEngine,"This module houses the main engine of the ship, with dozens of engine exhausts to generate enough thrusts for the whole ship.",,
Linked Hangar,uaf_linkedHangar,,,,,Special,,,TRUE,,0,0,0,0,data.hullmods.uaf_linkedHangar,The hangar of this module can be controlled by the main ship module through mirroring the main ship command. The main ship has to have wing controls or the fighters would be on defensive mode around the ship.,,
Decentralized Engines,uaf_parentEngine,,,,,Special,,,TRUE,,0,0,0,0,data.hullmods.uaf_parentEngine,"The main engine of this ship is located on separate ship modules, both contributing to the speed and total maneuverability of this ship. Losing one operational engine exhaust might affect the ship maneuverability greatly.",,graphics/hullmods/uaf_parentengine.png
Auroran Flagship Modifications,uaf_flagship,,,,,Special,,,TRUE,,0,0,0,0,data.hullmods.uaf_flagship,"The main flagship of UAF Fleet, with improved systems and efficiency, equipped with best of the best materials from UAF Military. Increases Ballistic ROF by %s, Range by %s, Projectile Speed by %s, Accuracy by %s, Turn Maneuverability by %s, Armor Bonus by %s. Also increase capacity by %s and dissipation rate by %s.",,graphics/hullmods/uaf_flagship.png
#Flagship Electronic Warfare Deflector System,uaf_flagship_eccm,,,,,Special,,,TRUE,,0,0,0,0,data.hullmods.uaf_flagship_eccm,"The ECCM System implanted to the flagship of UAF Fleet, producing a massive counter electronic warfare measure with possibilities to launch the fleet's own electronic warfare capabilities.",,
Flagship Extended Hangar,uaf_flagship_exthangar,,,,,Special,,,TRUE,,0,0,0,0,data.hullmods.uaf_flagship_exthangar,"The flagship's hangar, manned by the most trained crew, cuts down the replacement rate of airborne fighters by about 30%%, improving its efficiency and capabilities.",,
Flagship Armour Plating,uaf_flagship_armouring,,,,,Special,,,TRUE,,0,0,0,0,data.hullmods.uaf_flagship_armouring,Improved armour plating of the flagship vulnerable modules. Increases armor by %s.,,
Increased Explosion,uaf_increased_explosion,,,,,Special,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_increasedExplosion,"Fragile cargo ship, may cause bigger explosion than ordinary ones.",Explosive Up,
,,,,,,,,,,,,,,,,,,
EYESEAU Exploration Package,uaf_eyeseau_science,3,,Auroran Tech,,"Logistics, Support",12000,,,,0,0,0,25,data.hullmods.uaf_eyeseau_campaign,"The onboard advanced command and control system serves multiple functions that can be switched to two versions. The Exploration version allows the user to survey space objects or extraterrestial bodies easily from orbit at significantly cheaper cost. However, such sophisticated systems and devices are fragile and prone to damages which requires constant maintenance to remain functional.",Survey and Exploration,graphics/hullmods/uaf_eyeseau_comm.png
EYESEAU Command and Control Package,uaf_eyeseau_command,3,,Auroran Tech,,"Logistics, Support, Defense",12000,,,,0,0,0,25,data.hullmods.uaf_eyeseau_combat,"The onboard advanced command and control system serves multiple functions that can be switched to two versions. The Command version allows the user to relay commands and establish battlefield control more easily while providing passive support to the fleet. However, such sophisticated systems and devices are fragile and prone to damages which requires constant maintenance to remain functional.",Support and Command,graphics/hullmods/uaf_eyeseau_comm.png
,,,,,,,,,,,,,,,,,,
Secondary Focus,uaf_secondary_focus,3,,Auroran Tech,,Weapons,5000,,,,5,10,15,25,data.hullmods.uaf_secondaryfocus,"An Auroran arsenal computing systems that modify and adjust the specification of all weapons, providing various effects depending on the installed weapon type and size. Can only be installed on cruiser and capital.",,graphics/hullmods/uaf_sec_focus.png
,,,,,,,,,,,,,,,,,,
Melody Syncore,uaf_melody_syncore,0,0,,,Special,,,TRUE,,0,0,0,0,data.hullmods.uaf_melodySyncore,Melody Syncore is a modified version of the existing Melody Drive that synchronizes the onboard weapon systems by tuning into a certain 'rhythm' in the sequence seen in the engineering line chart and actively calibrating them depending on the ship's needs.,Beam Weaponry Up,graphics/hullmods/uaf_melodysyncore.png
,,,,,,,,,,,,,,,,,,
