name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
#SHIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exoria,uaf_exoria,Carrier,Auroran Tech,uaf_midway_protocol,12,5600,650,6000,,300,120,3,70,90,60,50,40,600,FRONT,,150,0.6,1.0,,,100,300,130,90,3,20,8,123000,4,20,360,0.25,20,20,CARRIER,uaf_ship_bp,,0.5,2,5,210
Exoria II(SP),uaf_ai_exoria,Elite Carrier,Advanced Auroran Tech,uaf_defensive_flare,14,8500,500,9000,,420,165,4,80,75,50,45,35,700,OMNI,,95,0.3,0.7,,,75,350,100,20,2.8,20,8,205000,3,25,320,0.25,30,30,"CARRIER, NO_AUTO_ESCORT",uaf_ai_ship_bp,,0.5,2,5,210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minoria,uaf_minoria,Escort Carrier,Auroran Tech,maneuveringjets,9,3550,400,2300,5800,125,50,2,120,100,100,45,30,250,FRONT,,150,0.5,1.0,,,60,120,90,60,2,20,9,54500,7,10,270,0.25,10,10,CARRIER,uaf_ship_bp,,0.7,2,3,408
Minoria II(SP),uaf_ai_minoria,Elite Escort Carrier,Advanced Auroran Tech,recalldevice,14,3700,200,2800,6200,350,90,1,100,70,60,43,28,270,OMNI,,95,0.3,0.7,,,55,140,90,60,1.8,20,10,115000,3,15,235,0.25,14,14,CARRIER,uaf_ai_ship_bp,,0.7,2,3,408
Minoria(M),uaf_m_minoria,Escort Carrier,Auroran Tech,reservewing,12,4000,550,2400,6150,245,80,1,110,80,70,45,30,250,FRONT,,180,0.4,0.9,,,65,160,90,60,2,20,9,65000,5,12,300,0.25,12,12,"CARRIER, NO_AUTO_ESCORT",uaf_m_ship_bp,,0.7,2,3,408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perwira(M),uaf_m_perwira,Combat Shuttle,Auroran Tech,uaf_flarelauncher,3,910,280,1600,1250,85,25,,155,140,100,105,70,200,FRONT,,180,0.5,0.85,,,7,30,70,30,1,30,10,7500,10,10,270,0.25,3,3,,uaf_m_ship_bp,,0.7,3,4,208
