name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Assume Wing Control,uaf_Override,,,,,,,,,,0.1,30,0.1,15,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
#Salvo Breaker,uaf_salvoBreaker,,,,,,,,,,,,,,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Melody Frequency Overcharge,uaf_melodyOvercharge,,,,,,,,,,0.1,10,0.1,10,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
#Detach Ship,uaf_detachShip,,,,,,,,,,0.1,50,0.1,2,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Ravenya Troop Carrier,uaf_ravenya_troop_carrier,,,,,,,,6,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Rapid Burn Drive,uaf_fusoDrive,1,,,,,,,,,1,5,1,10,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Royal Maneuvering Jets,uaf_royalJets,,,,,,,,,,1,3,2,5,,,,,,,,,,,,,graphics/icons/hullsys/infernium_injector.png
Royal Super Heavy Jets,uaf_supercap_royaljets,,,,,,,,,,1,5,1,10,,,,,,,,,,,,,graphics/icons/hullsys/infernium_injector.png
Royal Vector Drive,uaf_royalBurn,,,,,,,,2,0.1,0.5,0.5,0.5,,,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyeseau Targeting System,uaf_eyeseau_laser_tgt,,,,,,0.2,,,,0.5,5,1,7,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
Eyeseau Disruptive Pulse,uaf_emp,1,,,,,,,,,1,20,1,15,,,,,,,,,,TRUE,,,graphics/icons/hullsys/infernium_injector.png
Osela Disruptive Pulse,uaf_emp_small,1,,,,,,,,,1,90,1,160,,,,,,,,,,TRUE,,,graphics/icons/hullsys/infernium_injector.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Rack Accelerator,uaf_acceleratedMissileRack,,,,,,0.235,,1,0.1,,0.1,,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Targeting Laser System,uaf_entropyamplifier,,,,,,0.2,,,,0.5,10,1,10,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
