id,type,text1,text2,text3,notes
#WEAPONS,,,,,
uaf_ivory,WEAPON,"General purpose naval gun, loaded with high explosive rounds. Perfect for dealing with armored targets.",Assault,,
uaf_ivory_shotgun,WEAPON,"A collaboration with an undisclosed partner, this variant of the Ivory weapon platform disperses bursts of cluster munitions, saturating the targeted area in ballistic shells, leaving no room to maneuver in areas directly at its fore. Meant to target pirate frigates and destroyers, its host ship, the Procrastria, is excellent as an escort vessel for patrols and convoys.",Assault,,
uaf_medlav_dual,WEAPON,"General purpose naval gun, it fires disruptive kinetic rounds designed to suppress enemy shields and weapons, but it doesn't do well against well armored targets.",Assault,,
uaf_medlav_quad,WEAPON,"Reliable naval gun, enhanced with additional barrels for greater firepower at the cost of more flux generation.",Assault,,
uaf_hikone_quad,WEAPON,"Standard medium caliber autocannon created with affordability and versatility in mind. It is a weaker and smaller version of the pre-existing Medlev series, designed to provide supporting fire.",Suppression,,
uaf_shimata_155_cn,WEAPON,"Built using commonly available artillery components from the Yokata howitzer, the Shimata was originally designed to be used as a static ground defense weapon. The auroran navy quickly saw its potential as a naval weapon due to how effective and readily available it was.",Assault,,
uaf_20mm_autocannon,WEAPON,"Developed specifically as a primary armament for UAF's fighter wings, this autocannon uses six barrels, operating in a gatling-style manner, which allows extremely high rate of fire.

In comparison to it's Vulcan counterpart, this autocannon has been modified to be fitted straight into the airframe of any aircraft, which makes it a very accurate and reliable weapon.",Anti-Aircraft,,
uaf_pd_reina,WEAPON,"The standard general purpose autocannon, its rapid fire rate and excellent tracking capabilities make it a suitable defensive weapon.",Point Defense,,
uaf_claris_cn,WEAPON,"The standard general purpose autocannon, its high caliber kinetic rounds will suppress shields and knock out weapon systems.",Strike,,
uaf_cantata_cn,WEAPON,"The standard general purpose autocannon, its high caliber high explosive rounds will make a short work out of anything that's not bigger than a frigate.",Strike,,
uaf_weiss_flk,WEAPON,"The standard auroran flak autocannon, performs well against missiles and fighters but struggles against anything bigger than a corvette.",Point Defense,,
uaf_weiss_ii_flk,WEAPON,The enlarged version of standard Weiss autocannon. It boasts slightly better performance against missiles and fighters. Its extended barrels also slightly increase its range.,Point Defense,,
uaf_weiss_iii_flk,WEAPON,Weiss III is the largest of the reliable and thoroughly tested anti-air defense cannon series. It is equipped with experimental beehive shells that disperse incendiary shrapnel in a cone.,Point Defense,,
uaf_tona_i,WEAPON,"This small, standard railgun may not pack the biggest punch in the entirety of Auroran arsenal, but with enough of these no shield will stay standing.",Suppression,,
uaf_tona_ii,WEAPON,"Medium sized design of widely used railgun, a suitable weapon to suppress the enemy with constant barrage of kinetic rounds while staying at safe range.",Suppression,,
uaf_tona_iii,WEAPON,"The biggest of the Tona railgun series, this huge weapon will devastate enemy shields and temporarily disable their weapons. However, such firepower comes at the cost of a high amount of flux generated per shot, and slow fire rate.",Suppression,,
uaf_cyrexa,WEAPON,"Reliable Cyrexa modified with an additional barrel, for even faster rate of fire and even greater shield bursting potential.",Strike,,
uaf_cyrexa_triple,WEAPON,The standard capital cannon. It masterfully mixes a decent rate of fire with some of the largest disruptive kinetic shells available to the UAF.,Strike,,
uaf_cyrexa_single_experimental,WEAPON,"A single-barreled Cyrexa, modified to be as light as possible while preserving its mighty firepower. This gun is rumored to be mounted on some sort of experimental fighter…",Experimental,,
uaf_phenex_lrg,WEAPON,"An experimental weapon specifically designed for Solvernia. This triple barreled, high caliber railgun fires disruptive, high-penetration, rocket-boosted shells which make it highly effective against everything but the smallest, nimblest targets.",Experimental,,
uaf_triyia_pdx,WEAPON,"An experimental Close-In Weapon System armed with quadruple rotary autocannons, capable of intercepting incoming missiles and strikecraft with devastating barrage of high explosive fragmentation rounds.",Experimental Point Defense,,
uaf_herexa,WEAPON,The standard capital cannon. It fires high explosive rounds that are guaranteed to swiftly dispose of the enemy armor.,Strike,,
uaf_herexa_triple,WEAPON,The standard capital cannon. It fires high explosive rounds that are guaranteed to swiftly dispose of the enemy armor at higher rate of fire.,Strike,,
uaf_penulisa_acx,WEAPON,"Dual rotary autocannons armed with high caliber, high explosive incendiary rounds, designed specifically to break down the enemy armor and melt them down with hail of lead.",Experimental Strike,,
,,,,,
#WEAPONS ENERGY,,,,,
uaf_merupaka_epd,WEAPON,"Merupaka is an upgraded variant of the existing Reina autocannon that fires energy-infused rounds. Even if it may be inferior compared to any of the Persean Sector’s counterparts, it gets the job done.",Point Defense,,
uaf_edge_type_i,WEAPON,"The Edge series are the first of its kind to ever enter mass production under request of the Automata Division. Each gun from Edge series is equipped with an experimental mechanism that allows them to convert the heat generated by the ship's reactor into flux-infused rounds, dealing a higher amount of disruptive damage while also helping with the flux ventilation, granted it's being used under the right circumstances. This smallest variant fires in bursts.",Disruptive Suppression,,
uaf_edge_type_ii,WEAPON,"The Edge series are the first of its kind to ever enter mass production under request of the Automata Division. Each gun from Edge series is equipped with an experimental mechanism that allows them to convert the heat generated by the ship's reactor into flux-infused rounds, dealing a higher amount of disruptive damage while also helping with the flux ventilation, granted it's being used under the right circumstances. This medium variant fires continuously.",Disruptive Suppression,,
uaf_edge_type_iii,WEAPON,"The Edge series are the first of its kind to ever enter mass production under request of the Automata Division. Each gun from Edge series is equipped with an experimental mechanism that allows them to convert the heat generated by the ship's reactor into flux-infused rounds, dealing a higher amount of disruptive damage while also helping with the flux ventilation, granted it's being used under the right circumstances. This large variant fires in bursts.",Disruptive Suppression,,
uaf_edge_type_iv,WEAPON,"The Edge series are the first of its kind to ever enter mass production under request of the Automata Division. Each gun from Edge series is equipped with an experimental mechanism that allows them to convert the heat generated by the ship's reactor into flux-infused shells, dealing a higher amount of disruptive damage while also helping with the flux ventilation, granted it's being used under the right circumstances. This unique super capital variant fires in bursts of two rounds",,,
uaf_catun_ii_erg,WEAPON,"Catun railgun series are an energy-conversion of the pre-existing Tona railguns. Compared to Tona it lacks the trademark penetration capability since the shell was changed to be fitted with a lighter, energy-infused warhead. Smaller, more advanced munitions allow it to fire slightly faster than the predecessor and to destroy targets quicker, as long as the shell makes it through enemy armor.",Strike,,
uaf_catun_iii_erg,WEAPON,"Catun railgun series are an energy-conversion of the pre-existing Tona railguns. Compared to Tona it lacks the trademark penetration capability since the shell was changed to be fitted with a lighter, energy-infused warhead. Smaller, more advanced munitions allow it to fire slightly faster than the predecessor and to destroy targets quicker, as long as the shell makes it through enemy armor.",Strike,,
uaf_kanshee_sxc,WEAPON,"Upgraded Herexa cannon that fires in bursts, designed for the Automata Division. Its highly potent energy-infused shells will devastate the enemy, no matter if they are shielded or not.",Strike,,
uaf_cyrexa_ii_sxc,WEAPON,"Upgraded Cyrexa cannon, its improved fire control and recoil dampener systems allow it to fire slightly faster than its predecessor while also enjoying the brand new energy-infused shells.",Strike,,
uaf_precisia_dual,WEAPON,"Precisia was the Federation's introduction into energy weaponry. It fires in two bursts, and uses its advanced targeting systems to strike the weak spots of the enemy ships with unparalleled accuracy.",Disruptive Strike,,
,,,,,
uaf_eyeseau_radar,WEAPON,"While technically considered a weapon under UAF law, to the point it requires interfacing with fire control systems, the Eyeseau Radar is not capable of damaging enemy ships. It is a support tool.",Cosmetic,,
,,,,,
#WEAPONS MISSILE,,,,,
uaf_vocal_s_srm,WEAPON,Rapid-firing missile system designed to overwhelm the enemy with pure numbers. It also comes with decent tracking capabilities which allows it to intercept incoming strikecraft as well.,Strike,,
uaf_vocal_m_srm,WEAPON,Rapid-firing missile system designed to overwhelm the enemy with pure numbers. It also comes with decent tracking capabilities which allows it to intercept incoming strikecraft as well.,Strike,,
uaf_vocal_l_srm,WEAPON,Rapid-firing missile system designed to overwhelm the enemy with pure numbers. It also comes with decent tracking capabilities which allows it to intercept incoming strikecraft as well.,Strike,,
uaf_clemente_base,WEAPON,"Standard anti-ship missile, packed with high explosive filler to penetrate through armored targets.",Finisher,,
uaf_clemente_nakiha,WEAPON,"Standard anti-ship missile, packed with high explosive filler to penetrate through armored targets.",Finisher,,
uaf_clemente_s_mrm_double,WEAPON,"Standard anti-ship missile, packed with high explosive filler to penetrate through enemy armor. This one is mounted on a self-reloading pod that allows for continuous rapid fire.",Finisher,,
uaf_typhoon_l_sasm,WEAPON,"Large unguided torpedo armed with a fragmentation flechette warhead. While it's immensely powerful as a tool to finish off slow or immobilized ships with exposed hulls thanks to its deadly fragmentation payload, it struggles against armor and shields. This version is installed on a self-reloading turret.",Finisher,,
uaf_typhoon_s_sasm,WEAPON,"Large unguided torpedo armed with a fragmentation flechette warhead. While it's immensely powerful as a tool to finish off slow or immobilized ships with exposed hulls thanks to its deadly fragmentation payload, it struggles against armor and shields.",Finisher,,
uaf_minibreve_tnt_s,WEAPON,"Experimental, small ""anti-everything"" cruise missile, based on the infamous Semibreve. It quickly gained popularity among ship captains that favor much more destructive nuclear weaponry over conventional anti-ship torpedoes. Its excellent guidance together with the fact that it can be installed on any ship only speak further in its favor.",Nuclear Finisher,,
uaf_minibreve_tnt_m,WEAPON,"Experimental, small ""anti-everything"" cruise missile, based on the infamous Semibreve. It quickly gained popularity among ship captains that favor much more destructive nuclear weaponry over conventional anti-ship torpedoes. Its excellent guidance together with the fact that it can be installed on any ship only speak further in its favor. This one comes in a pod capable of forging new missiles.",Nuclear Finisher,,
uaf_semibreve_base,WEAPON,"Experimental nuclear ""anti-everything"" torpedo, usually used as a last-resort weapon as it shows no mercy to friend and foe alike. Its fusion warhead will evaporate everything in its wake.",Area of Effect Suppression,,
uaf_semibreve_guided,WEAPON,"Experimental guided ""anti-everything"" cruise missile, usually used as a last-resort weapon as it shows no mercy to friend and foe alike. Its fusion warhead will evaporate everything in its wake.",Area of Effect Suppression,,
,,,,,
uaf_rhythm_base_triple,WEAPON,Missile system firing guided high explosive missiles in volleys of three. The missile's role are to saturate and overcome enemy defenses with pure numbers.,Saturation,,
uaf_rhythm_l_lrm,WEAPON,Missile system firing guided high explosive missiles in volleys up to twelve. The missile's role are to saturate and overcome enemy defenses with pure numbers.,Saturation,,
uaf_exoscar_torpedo_base,WEAPON,"Standard anti-ship torpedo, deadly against ships and stations. It also comes with a capable tracking system.",Finisher,,
uaf_exoscar_torpedo_base_shield,WEAPON,"Standard anti-ship torpedo, deadly against ships and stations. It also comes with a capable tracking system and miniaturized shield to protect the payload from enemy point defense.",Finisher,,
uaf_exoscar_torpedo_med,WEAPON,"Standard anti-ship torpedo, deadly against ships and stations. It also comes with a capable tracking system. This one comes in pod capable of reloading new missiles.",Finisher,,
uaf_exoscar_torpedo_large,WEAPON,"Standard anti-ship torpedo, deadly against ships and stations. It also comes with a capable tracking system. This one comes in a rack capable of reloading new missiles and fires in salvo of four missiles.",Finisher,,
uaf_selemene_l_mrm,WEAPON,"Disruptive anti-ship missile, equipped with excellent avionics and disruptive explosive filler to encircle the enemy and disable their engines. This one is capable of launching up to five missiles in salvo.",Strike,,
uaf_selemene_m_mrm,WEAPON,"Disruptive anti-ship missile, equipped with excellent avionics and disruptive explosive filler to encircle the enemy and disable their engines. This one is installed on a self-reloading pod.",Strike,,
uaf_selemene_s_mrm,WEAPON,"Disruptive anti-ship missile, equipped with excellent avionics and disruptive explosive filler to encircle the enemy and disable their engines.",Strike,,
,,,,,
uaf_amazoch_light_asrm_dual,WEAPON,Lightweight unguided torpedo. It rapidly accelerates forward and delivers a powerful blow to enemy shields.,Strike,,
uaf_amazoch_s_asrm_single,WEAPON,Lightweight unguided torpedo with slightly heavier payload. It rapidly accelerates forward and delivers a powerful blow to enemy shields.,Strike,,
uaf_amazoch_l_rack,WEAPON,Lightweight unguided torpedo with slightly heavier payload. It rapidly accelerates forward and delivers a powerful blow to enemy shields.,Strike,,
,,,,,
uaf_swaras_m_mlrs,WEAPON,"Multi-launch rocket system designed for shield suppression. It fires a stream of unguided, shield breaking rockets fitted with small explosive filler that allows them to deal acceptable damage against armor should the shields fall. ",Strike,,
uaf_swaras_l_mlrs,WEAPON,"Multi-launch rocket system designed for shield suppression. It fires a stream of unguided, shield breaking rockets fitted with small explosive filler that allows them to deal acceptable damage against armor should the shields fall. This one is simply an enlarged version with a greater number of missiles.",Strike,,
,,,,,
uaf_flair_pod,WEAPON,"Pod loaded with flares and chaffs designed to distract enemy fighters and missiles, giving the captain of the ship more time to react to incoming threats.",Final Point Defense,,
uaf_racun_pod,WEAPON,"Point defense weapon armed with multiple micro-missiles designed as a last line of defense against enemy fighters and missiles. It was accepted into service after the navy noticed how effective it was at protecting the ground forces' armored vehicles against incoming missile attacks.As effective as it is, it requires a brief moment to recalibrate itself after every shot, and as such it should not be used as a main point defense weapon.",Final Point Defense,,
,,,,,
uaf_chorus_l_amm,WEAPON,"Standard anti-air missile system, capable of effectively intercepting incoming threats and annihilating strikecraft thanks to its advanced avionics and excellent tracking capabilities.",Point Defense,,
uaf_chorus_m_amm,WEAPON,"Standard anti-air missile system, capable of effectively intercepting incoming threats and annihilating strikecraft thanks to its advanced avionics and excellent tracking capabilities.",Point Defense,,
uaf_chorus_s_amm,WEAPON,"Standard anti-air missile system, capable of effectively intercepting incoming threats and annihilating strikecraft thanks to its advanced avionics and excellent tracking capabilities.",Point Defense,,
