name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,tech/manufacturer,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Gravitic Flux Conduit,ugh_graviticflux,0,,,"defensive, merc",Defenses,10000,,,,Unusual,2,4,6,10,data.hullmods.UGH_GraviticFlux,"A makeshift gravity generator that harnesses energy in its surrounding area, increasing the ship's hull by %s and mass by %s.

As flux rises in the system up to peak of %s, the ship mass further increases by %s of its original value. This consequently sharply reduces Manueverability by %s.",,,graphics/UGH/hullmods/graviticflux.png
Autostruct Manufactory,ugh_autostruct,1,,,"defensive, req_spaceport, merc","Defenses, Requires Dock",20000,,,,Unusual,3,6,14,25,data.hullmods.UGH_Autostruct,"Overhauls the chassis of the hull with heavy machinery and sensitive electronics, so it can repair itself as it takes damage.",,,graphics/UGH/hullmods/autostruct.png
Anti-Terminal Reactive Breakers,ugh_antiterminalbreakers,2,,,"defensive, merc",Defenses,35000,,,,Unusual,2,4,6,10,data.hullmods.UGH_AntiterminalBreakers,Installs a long forgotten pro-consumer armor-reactor technology from a bygone era.,,"Shield efficiency penalty removed.
Overload time reduced by %s.
Increases Anti-Terminal duration by %s seconds. (%s seconds for Battleships)
Weapon and Engine repair speed is increased further to %s.",graphics/UGH/hullmods/antiterminal.png
Bobulated Heral Armor,ugh_spongearmor,2,,,"defensive, req_spaceport, merc","Defenses, Requires Dock",35000,,,,Unusual,6,12,20,30,data.hullmods.UGH_SpongeArmor,"Replaces traditional alloy armoring with a Heat-Regenerative, Ablative Laminated polymer armor.",,,graphics/UGH/hullmods/spongearmor.png
,,,,,,,,,,,,,,,,,,,,
Shunt Distributor,ugh_shuntdistributor,0,,,"special, merc","Special, Shields",10000,,,,Unusual,3,6,10,15,data.hullmods.UGH_ShuntDistributor,"Installs a shunt augment that connects between the already deactivated shield emitter to the main heat grid of the ship, greatly improving flux dissipation while stabilizing weapon firing capacity.",,"Non-Missile weapon firing speed bonus increased to %s.
Non-Missile weapon flux generation reduced by %s.
Flux Dissipation percentage bonus increased to %s.",graphics/UGH/hullmods/shuntdistributor.png
Shunt Diverted Thrusters,ugh_shuntthrusters,1,,,"special, merc","Special, Engines, Shields",20000,,,,Unusual,3,6,10,15,data.hullmods.UGH_ShuntThrusters,"Installs a shunt augment connecting between the converted shield emitter to the ship's primary thrusters, increasing their speed substantially.",,"Zero Flux movement speed penalty is halved.
Maneuverability bonus from speed increase is increased by %s.
Engines take %s less damage.",graphics/UGH/hullmods/divertedthrust.png
Titanic Turboconductors,ugh_turboconductors,3,,,"special, req_spaceport, merc","Requires Dock, Special",50000,,,,Unusual,8,15,25,40,data.hullmods.UGH_Turboconductors,"Standard Persean heatsinks are replaced with bulky, heavy duty capacitors and active coolants, increasing Flux capacity by a factor of %s. This very wide flux space provides room for Zero-Flux speed bonus to incur at %s with an additional speed of %s units.

The frigid coolers require constant power generation on the ship, which increases supply upkeep while active by %s and take %s more supplies just to repair the worn capacitors after the battle.",,,graphics/UGH/hullmods/turboconductors.png
Jandor Time Reactor,ugh_timereactor,3,0.1,,"special, req_spaceport, merc","Requires Dock,Special",100000,,,,Unusual,2,4,6,10,data.hullmods.UGH_TimeReactor,Forbidden schematics of a peculiar temporal generator that encapsulates the entire ship and its strikecraft in an event of an engagement. Use with extreme caution.,,"Time Flow increased to %s.
Damage taken from all sources increased to %s.",graphics/UGH/hullmods/timereactor.png
,,,,,,,,,,,,,,,,,,,,
