id,trigger,conditions,script,text,options,notes
# Game starts,,,,,,
ngcKadurStartOptions,AddNewGameChoices,,"SetTooltip ngcKadurStarts ""Many options await you. Will you be a fresh convert to the faith, eager to prove your worth to your new brethren? A vicious pirate, out for blood and plunder? Or something else entirely...""",,"13120:ngcKadurStarts:A traveler from afar, uninterested in these options. (Start options added by Vayra's Sector)",
ngcKadurStartOptionPicked,NewGameOptionSelected,$option == ngcKadurStarts,FireAll NewGameKadurOptions,You stand ready to embark on your journey as...,,
,,,,,,
ngcKadurCamelPicked,NewGameOptionSelected,$option == ngcKadurCamel,"NGCAddShip vayra_camel_shotgun
NGCAddShip vayra_buzzard_cs
NGCAddShip vayra_hyena_rod
NGCAddShip wolf_Overdriven
NGCAddShip vayra_mendicant_cs
NGCAddShip lasher_vayra_optimal
NGCAddShip shepherd_Starting
NGCAddCredits 8000
AddTextSmall ""Reputation with the Hegemony and Luddic sects ruined"" bad
SetTextHighlights ""the Hegemony and Luddic sects""
AddTextSmall ""Reputation with most other factions worsened"" bad
SetTextHighlights ""most other factions""
AddTextSmall ""Reputation with the Kadur Remnant and their allies improved"" good
SetTextHighlights ""the Kadur Remnant and their allies""",,0:ngcKadurCamelContinue:Continue,
ngcKadurCamelContinue,NewGameOptionSelected,$option == ngcKadurCamelContinue,"NGCAddCharacterPoints 3
NGCKadurTrySetStartingLocation Mirage 9500 6200
NGCKadurCamelStartScript
NGCKadurBaseStartingScript
NGCDone",,,
,,,,,,
ngcKadurCommieStart,NewGameKadurOptions,,"SetTooltip ngcKadurCommie ""Your flagship is a Hammerhead-class destroyer, with powerful forward gun mounts.\n\nYou lead a small band of guerillas, including a missile-armed support destroyer, an short-range attack frigate, and a heavily shielded monitor. All vessels in your flotilla have been modified for long-term reliability, at the cost of some mounting space.""",,"5:ngcKadurCommie:A hot-headed revolutionary, fiercely dedicated to your cause",
ngcKadurCommiePicked,NewGameOptionSelected,$option == ngcKadurCommie,"NGCAddShip vayra_hammerhead_rg_rg
NGCAddShip vayra_buffalo_rg_rg
NGCAddShip vayra_lasher_rg_rg
NGCAddShip vayra_monitor_rg_rg
NGCAddCredits 8000
AddTextSmall ""Reputation with the revolutionary classes improved"" good
SetTextHighlights ""the revolutionary classes""
AddTextSmall ""Reputation with tyrants of the sector ruined"" bad
SetTextHighlights ""tyrants of the sector""",,0:ngcKadurCommieContinue:Continue,
ngcKadurCommieContinue,NewGameOptionSelected,$option == ngcKadurCommieContinue,"NGCAddCharacterPoints 3
NGCKadurTrySetStartingLocation Askonia -5000 -10000
NGCKadurCommieStartScript
NGCKadurBaseStartingScript
NGCDone",,,
,,,,,,
ngcKadurMinerPicked,NewGameOptionSelected,$option == ngcKadurMiner,"NGCAddShip vayra_groundhog_m
NGCAddShip vayra_mining_hound_streamer
NGCAddShip vayra_heavy_drone_tender_mining
NGCAddShip vayra_prospector_e
NGCAddShip shepherd_vayra_mining
NGCAddShip vayra_spade_shielded
NGCAddCredits 18000
AddTextSmall ""Reputation with Independents and the Persean League improved"" good
SetTextHighlights ""Independents and the Persean League""",,0:ngcKadurMinerContinue:Continue,
ngcKadurMinerContinue,NewGameOptionSelected,$option == ngcKadurMinerContinue,"NGCAddCharacterPoints 3
NGCKadurTrySetStartingLocation Thule -3650 6000
NGCKadurMinerStartScript
NGCKadurBaseStartingScript
NGCDone",,,
,,,,,,
ngcKadurPirateStart,NewGameKadurOptions,,"SetTooltip ngcKadurPirate ""Your flagship is a stolen Shrike-class light destroyer, capable of incredible bursts of short-term speed.\n\nYou are also accompanied by a small pack of lighter pirate craft, well-equipped to support you in raiding hapless merchanter vessels.\n\nNote that selecting this option will make most factions hostile to you.""",,"7:ngcKadurPirate:A pirate warlord on the path to glory, commanding a small band of raiders and privateers",
ngcKadurPiratePicked,NewGameOptionSelected,$option == ngcKadurPirate,"NGCAddShip shrike_p_Attack
NGCAddShip wolf_d_pirates_Attack
NGCAddShip afflictor_d_pirates_Strike
NGCAddShip kite_pirates_Raider
NGCAddShip hound_d_pirates_Overdriven
NGCAddShip cerberus_d_pirates_Standard
NGCAddCredits 8000
AddTextSmall ""Reputation for ruthlessness and cruelty established"" good
SetTextHighlights ""ruthlessness and cruelty""
AddTextSmall ""Reputation with bootlickers across the galaxy ruined"" bad
SetTextHighlights ""bootlickers across the galaxy""",,0:ngcKadurPirateContinue:Continue,
ngcKadurPirateContinue,NewGameOptionSelected,$option == ngcKadurPirateContinue,"NGCAddCharacterPoints 3
NGCKadurTrySetStartingLocation Magec 555 4222
NGCKadurPirateStartScript
NGCKadurBaseStartingScript
NGCDone",,,
,,,,,,
ngcKadurGhostShipStart,NewGameKadurOptions,,"SetTooltip ngcKadurGhostShip ""You are a dread pirate lord, commander of the legendary - and infamous - Flying Dutchman. Your ship is slow, but heavily armed and armored; capable of reducing an unsupported orbital station on its own or fighting off an entire fleet of smaller craft, and has capacious enough holds to carry away the spoils of such a raid.\n\nNote that selecting this option will make most factions hostile to you.""",,"9:ngcKadurGhostShip:A dread pirate lord, commanding a powerful but cursed flagship",
ngcKadurGhostShipPicked,NewGameOptionSelected,$option == ngcKadurGhostShip,"NGCAddShip vayra_galleon_p_dread
NGCAddCredits 48000
AddTextSmall ""Reputation for ruthlessness and cruelty established"" good
SetTextHighlights ""ruthlessness and cruelty""
AddTextSmall ""Reputation with bootlickers across the galaxy ruined"" bad
SetTextHighlights ""bootlickers across the galaxy""",,0:ngcKadurGhostShipContinue:Continue,
ngcKadurGhostShipContinue,NewGameOptionSelected,$option == ngcKadurGhostShipContinue,"NGCAddCharacterPoints 3
NGCKadurTrySetStartingLocation Magec 555 4222
NGCKadurPirateStartScript
NGCKadurBaseStartingScript
NGCDone",,,
,,,,,,
ngcKadurPatherStart,NewGameKadurOptions,,"SetTooltip ngcKadurPather ""Your flagship is a well-armed Lasher-class frigate, deadly in a knife fight as long as its systems hold up to the strain.\n\nYou are accompanied by a sturdy Brawler-class wingman and a small pack of Pather armed freighters ready to carry home the spoils of your raiding, including a Colossus-class freighter modified to act as a torpedo platform.\n\nNote that selecting this option will make most factions hostile to you.""",,"8:ngcKadurPather:A radical militant on the Path of Ludd, prepared to bring righteous fire upon the corrupt and insufficiently zealous",
ngcKadurPatherPicked,NewGameOptionSelected,$option == ngcKadurPather,"NGCAddShip lasher_luddic_path_Raider
NGCAddShip brawler_pather_Raider
NGCAddShip cerberus_luddic_path_Attack
NGCAddShip hound_luddic_path_Attack
NGCAddShip colossus2_Pather
NGCAddShip dram_Light
NGCAddCredits 8000
AddTextSmall ""Anointed as a pilgrim on the Path of Ludd"" good
SetTextHighlights ""Path of Ludd""
AddTextSmall ""Feared and accursed by Moloch and his servants"" bad
SetTextHighlights ""Moloch and his servants""",,0:ngcKadurPatherContinue:Continue,
ngcKadurPatherContinue,NewGameOptionSelected,$option == ngcKadurPatherContinue,"NGCAddCharacterPoints 3
NGCKadurTrySetStartingLocation Kumari -1900 4000
NGCKadurPatherStartScript
NGCKadurBaseStartingScript
NGCDone",,,
