name,id,tags,rarity,base price,stack size,cargo space,icon,sound id,sound id drop,plugin,plugin params,desc,order
Red Guards Blueprint Package,kadur_redguards_package,"package_bp, no_drop, no_bp_drop",,150000,1000,1,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,revolutionary,Enables heavy industry to create the stripped-down vessels favored by the Revolutionary Council.,210
Rimward Venture Blueprint Package,kadur_rimward_package,"package_bp, no_drop, no_bp_drop",,150000,1000,1,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,mercantile,Enables heavy industry to create the bulk efficiency-focused vessels of the Rimward Venture Trading Company.,211
Phoenix Hunter Blueprint Package,kadur_warhawk_package,"package_bp, no_drop, no_bp_drop",,150000,1000,1,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,warhawk,Enables heavy industry to create the warships and support craft of the Stormhawk Republic's Phoenix Hunters.,212
Research Mandate Blueprint Package,kadur_science_package,"package_bp, no_drop, no_bp_drop",,150000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,science,"Enables heavy industry to create the research, science, and security vessels of the Independent AI War Research Mandate.",213
Ashen Knights Blueprint Package,kadur_ashen_package,"package_bp, no_drop, no_bp_drop",,150000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ashen,Enables heavy industry to create the effective and occasionally heretically technologically advanced vessels of the Ashen Keepers.,214
Deep Space Mining Blueprint Package,kadur_mining_package,package_bp,0.22,100000,1000,1,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,kadur_mining_bp,"Enables heavy industry to construct a set of ship hulls, weapons, and fighter LPCs modified or repurposed from Domain-era deep space mining tools, including some long thought lost to the sector.

Recovered tech such as this is as rare in the sector as it is powerful, and the scavengers who risk their lives to bring it back from the far-flung fringe systems where it can be found often prefer to keep it for themselves.",187
,,,,,,,,,,,,,
Missile System Blueprint Package,kadur_missile_package,"package_bp, no_drop",,150000,1000,1,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,kadur_missile_bp,"Enables heavy industry to construct the Jericho family of long-range missiles, the Janissary SRM, and several other kill vehicles carrying more exotic payloads.",201
Inert Mass Driver Blueprint Package,kadur_rail_package,"package_bp, no_drop",,150000,1000,1,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,kadur_rail_bp,"Enables heavy industry to construct the Jezail family of duranium-penetrator mass drivers, as well as several other inert-projectile electromagnetic kinetic weapons.",202
Exotic Mass Driver Blueprint Package,kadur_fission_package,"package_bp, no_drop",,150000,1000,1,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,kadur_fission_bp,Enables heavy industry to construct a series of mass driver weapons with exotic payloads such as fission-reactive shells and magnetic resonance-seeking charged crystal splinters.,203
Kadur Crusader Blueprint Package,kadur_warship_package,"package_bp, no_drop",0.5,300000,1000,1,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,kadur_warship_bp,Enables heavy industry to construct combat-focused ship hulls devised by the Kadur Theocracy and still available to the Kadur Remnant.,204
Kadur Guardian Blueprint Package,kadur_support_package,"package_bp, no_drop",0.5,300000,1000,1,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,kadur_support_bp,Enables heavy industry to construct fleet support-focused ship hulls devised by the Kadur Theocracy and still available to the Kadur Remnant.,205
Kadur Judgement Blueprint Package,kadur_capital_package,"package_bp, no_drop",0.5,300000,1000,1,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,kadur_capital_bp,Enables heavy industry to construct dedicated heavy anti-capital ship hulls and weapons devised by the Kadur Theocracy and still available to the Kadur Remnant.,206
