bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,maximumFleetFP,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
vayra_test_unique_bounty,15,spaceAdmiral,Corvid,Crowe,aggressive,The Black Talons,Black Talon,MALE,pirates,graphics/portraits/vayra_corvid_crow.png,"""I've seen things you wouldn't believe. Attack ships on fire off the shoulder of Chicomoztoc. I watched Tachyon Lances glitter in the dark near the Hybrasil Gate. All those moments will be lost in time, like tears in rain. Time to die.""",FALSE,independent,250000,15,"After cycles of searching, agents from a consortium of minor independent powers have finally tracked the infamous Persean League Navy deserter and pirate, Admiral Corvid Crowe, to his hideout in a deserted system. An extremely generous bounty has been posted for his disintegration.",vayra_black_eagle_bt,"eagle_Balanced, eagle_Assault, gryphon_FS, falcon_p_Strike, falcon_p_Strike, falcon_CS, hammerhead_Balanced, hammerhead_Balanced, sunder_CS",60,1.1,150,1,,,FALSE,FALSE,206,1,1
vayra_ghost_ship_unique_bounty,30,spaceAdmiral,Crazy,John,aggressive,The Jolly Rogers,Flying Dutchman,MALE,hvb_hostile,graphics/portraits/vayra_crazy_john.png,"The face of the dread pirate 'Crazy' John fills your viewscreen, his lightless eyes boring into yours as he seems almost to look past or through,you, his face locked in a rictus grin. ""Hello, poppet,"" he croons through gritted teeth. ""Come to take me toys, have ye? Well. Well, well, well. Well!"" He throws his head back and laughs. ""Better pilots than ye have tried, spacer... 'Tis not me time, y'see."" He winks at the comm unit, then his expression falls, leaving him looking suddenly pale and exhausted. ""Ye think I do not wish for death? Ye think I haven't TRIED? Th' ship... Th' ship won't let me die, y'see."" He leans forward, black eyes again filling the commscreen's frame, and whispers, ""Mark me words, spacer... Win or lose, it'll take ye too. It takes them all, in time.""",FALSE,pirates,400000,20,"Your intelligence sources report that they have received a coded communique addressed to you personally, sent through an elaborate system of switchbacks and dead-drops that ensure it cannot be traced. The contents of the message are almost incomprehensible, pages and pages of barely coherent gibberish written in a stream-of-consciousness style by someone who is quite clearly deranged, but you manage to glean three key points:

First, the message is intended as a bounty posting. The target: one Admiral John, dread pirate lord and commander of the fabled Flying Dutchman, a legendary Galleon-class treasure ship rebuilt into a formidable pirate dreadnought and weapon of war.

Second, the communique was originally sent by one of John's own lieutenants, herself a pirate of some reknown who spent several decades at his side aboard the Dutchman. Her insane rantings suggest that perhaps the legends of a curse placed upon the ship are to be taken seriously, if not literally - she describes ghostly hauntings and apparitions in florid language, but the actual happenings she describes broadly line up with more credible descriptions of symptoms experienced by crewmen who have held long-term posts aboard phase ships or in close defensive positions around makeshift hyperwave relays.

Third, and finally, the lieutenant - and a coalition of lesser pirate lords and captains - are offering a significant bounty for Admiral John's death.",vayra_galleon_p_dread,,150,1.4,400,1,pirate_package,vayra_test_unique_bounty,FALSE,FALSE,210,20,140
vayra_warlord_bounty,30,spaceAdmiral,Arpad,Zoltan,aggressive,Hegemony Heavy Detachment,Warlord,MALE,hegemony,graphics/portraits/portrait_hegemony05.png,"""Ah, I see you've found me at last, Diktat vultures and rats. I will not be such easy prey as you are used to hunting.""",FALSE,sindrian_diktat,600000,30,"Comms channels lately have been full of reports of the exploits of one Admiral Arpad Zoltan, a rising star in the Hegemony Navy whose meteoric career mirrors that of Philip Andrada himself during the years leading up to the Askonian Crisis. Perhaps that's why the Diktat has placed such a large price on his head, with the unusual stipulation that the bounty will not be withdrawn until and unless the Diktat Executor himself is personally satisfied with proof of Zoltan's death.",vayra_warlord_artillery,,200,1.2,600,1,,,TRUE,FALSE,209,20,200
vayra_blood_dog_bounty,20,spaceCaptain,Gal,Paladin,reckless,Gal's Gals,Blood Dog,FEMALE,pirates,graphics/portraits/vayra_gal_paladin.png,"""Hypocrite that you are, for you trust the cop inside your head as well as you do the cop in the Hegemony council. All domination is ultimately based on the triumph of the unworthy over the many, the cruel over the innocent. Do you know what my crime was? To dream of a world of freedom, a world where a woman might stand on her own rather than cowing and worshipping at the ruined corpse of the Domain.

To make the distinction unmistakably clear: Freedom is the vital force in human history, our history; Hegemony is that inert mass of institutions and organizations which accumulate around and tend to drag down the advance of life; Freedom is Arkadiy Innokenti facing death by fire; Hegemony is the Domain Intelligence Service, after sixty-two years of inquisition, sending him to the wall; Freedom is mutual aid and self-defense; Hegemony is the judge, the lawbook and the forces of Law; Freedom is uprising, insurrection, revolution; Hegemony is the war of state against state, or of machines against people, as in the fringe systems and Magec; Freedom is tolerance, detachment and humor, or passion, anger, revenge; Hegemony is the entrance examination, the planet-killer, the doctoral dissertation and the summary execution; Freedom is the heroes of the Askonian Revolutionary Council fighting the Persean League, then the Diktat, then the Hegemony, then the Diktat again; Hegemony is Andrada and the Diktat itself; Freedom is Ludd granting us freedom from the tired thanatarchy of the Domain; Hegemony is the Pathers dedicated to tearing down all of the old and the new alike; Freedom is a youth with an antimatter-catalyzed fusion grenade in her hand; Hegemony is the League militiaman or Tri-Tachyon enforcer that guns her down; Freedom is the wild river; Hegemony, 592,000 tons of cement; Freedom flows; Hegemony thickens and coagulates, like tired, sick, stifled blood.

Come, then, unthinking hunting beast that you are. Will you fight, or will you perish like a dog?""",FALSE,hegemony,69000,5,"Delivered on a secure comm channel used by the Hegemony for back-channel deals and bounty postings, denoting a target of such high priority that they deem it necessary to disseminate the information even to enemies of the Hegemony:

WANTED: DEAD OR ALIVE
by order of HIGH HEGEMON BAIKAL DAUD
The notorious pirate known as GAL PALADIN is WANTED
for CRIMES against the HEGEMONY including
PIRACY, SMUGGLING, UNSANCTIONED HEROISM, UNLAWFUL ACTIVITIES, CONSPICUOUS CHARITY, ILLICIT RESCUE ACTIVITY, THOUGHTCRIME, and CONSPIRACY TO AVOID PROSECUTION
significant reward offered via secure cred-channel",vayra_blood_dog_millenium,"hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange",69,0.8,69,1,,,FALSE,FALSE,206,2,20
vayra_sozzer_bounty,20,spaceCommander,Sozzer,Red,reckless,Red's Raiders,Bedlam,FEMALE,pirates,graphics/portraits/vayra_sozzer.png,"The dread pirate Sozzer Red appears on your comm screen, lounging in her command chair on a dim, smoke-filled bridge. Without looking at the comm console, she languidly raises one blood-crusted glove as if to examine it, and begins to speak.

""You know when Rousseau said it all went wrong? Back in the caveman days, one man looked across the stream and saw another man - and said, that one's stronger than me, taller than me, faster than me. You follow?,"" she lowers the glove and swings around in her chair, uncrossing her legs and leaning forward to look directly into the comm unit. Doing so gives you a clear view of her helmet's faceplate - crudely covered in scrap steel and painted red and white in a rough approximation of a stylized, grinning skull.

""Once that happened, that was the end of everything good. Once man has seen his reflection and found himself lacking, he was set on his own path to defeat. Wanting. That's what gets us all in the end. Funny enough, Garden of Eden gets us the same way - except God's the one who's stronger, taller, faster in that case."" 

She reaches forward and hovers a finger over the comm set as if about to disconnect the call, then seems to think for a second and continues to speak. ""Point is, it'll never be enough for you. You're the one with the monster inside, eating, eating, eating, more, more MORE. Why do you do it?,"" She cocks her head as if expecting an answer, but before you can say anything her finger stabs down and terminates the connection. Your tactical officer pings you with an urgent notification; the Raider fleet is spooling drives to combat power, and targeting systems are beginning to paint your fleet with long-range scanners.",FALSE,kadur_remnant,150000,10,"The Kadur Remnant have posted an open-ended bounty on the dread pirate Sozzer Red, reknowned for her brutal raiding and hijacking of Kadur supply convoys since well before the Hegemony invasion and fall of Kadur and Oasis. While Kadur justiciars have finally managed to track her and her Raiders to their out-system lair, they lack the strength to have any hope of taking the pirates down on their own and therefore must turn to independent contractors. Bringing them proof of her death would be a sure way to increase your standing with the Kadur Remnant, and might net you some nice combat vessels as salvage - she is known to pilot a uniquely modified Sunbird-class destroyer and command a small fleet of stolen Kadur ships as well as more typical pirate craft.",vayra_sunbird_sozzer_red,"vayra_sunbird_fs, vayra_sunbird_fs, vayra_sunbird_fs, vayra_sunbird_fs",80,1.1,100,1,,,TRUE,FALSE,206,5,50
vayra_lightforger_bounty,20,spaceCommander,Riven,Lightforger,aggressive,Lightforger Project,TTS All Systems Red,MALE,tritachyon,graphics/portraits/vayra_lightforger.png,"Riven looks up disinterestedly as your comm screen flares to life, showing him against the backdrop of a well-manicured Corporate bridge deck. ""Well, well, well. Did the Kadur send you to take back their toys? It's a little late, my friend."" He shrugs, and you get the distinct feeling that he's smirking at you from behind his polarized faceplate. ""I guess I shouldn't be surprised that a bunch of religious nutjobs from a backwater system can barely keep track of their own assets."" 

Chuckling softly, he leans back in his command chair and spreads his arms wide. ""Frankly, it's a wonder they managed to find us at all. Come on, then! Let me show you what this technology is capable of in the hands of a competent spacer.""",FALSE,kadur_remnant,200000,10,"Your contacts have made you aware of a clandestine Tri-Tachyon skunkworks project centered around the integration and reverse-engineering of salvaged Kadur vessels, taking place at a secret research facility in a fringe system far from the prying eyes of Hegemony inspectors - or Corporate security patrols. This project is reportedly nearing completion and has produced at least one working prototype combat vessel, currently undergoing combat trials under the command of one Riven Lightforger; a famous Corporate test pilot. Such a vessel would certainly be worth the risk it might take for you to ""acquire"" it, and the Kadur Remnant would no doubt be pleased to see it no longer in the hands of the Corporation.",vayra_targe_phase_lightforger,"doom_Support, harbinger_Strike, harbinger_Strike, afflictor_Strike, afflictor_Strike, shade_Assault, shade_Assault",120,1.2,200,1,,,FALSE,FALSE,207,10,100
vayra_caliph_bounty,40,spaceMarshal,Azrael,Maalik,aggressive,The Last Crusade,KHS-001 Hand of God,MALE,kadur_remnant,graphics/portraits/portrait_league01.png,"Azrael Maalik, last commander of the Kadur Theocracy, appears on your comm screen. Flanked by his bridge crew, golden-masked and impassive, he regards you for a moment then begins to speak: ""Did you ever hear the tragedy of the Harrowing? No? I thought not. It's not a story the Hegemony would tell you. It's the story of the death of a culture. The Kadur Theocracy was an sovereign polity, rich and powerful enough to stand independent from both the Hegemony and the League. Its people lived happy lives under the watchful gaze of the Theocrats, fed by the bountiful farms of Oasis and well-equipped with materiel produced from the mineral riches of Kadur... But the Hegemony saw this as an affront to its power. We had two Caliph-class superdreadnoughts, and could even have stood against a full-scale attack. The only thing we were unprepared for was the deployment of a Planet Killer-class weapon, which eventually, of course, they resorted to. Unfortunately, we fought their grand invasion fleet to a standstill, then they deployed the virus bomb that destroyed our home and killed millions. Ironic, we could protect ourselves, but not our people.""

He sighs heavily. ""But I suppose you have not come here to hear an old man talk, have you? You are not the first Hegemony running-dog to come chasing glory, nor shall you be the last. Fine, come then - let us fight. Perhaps once the wreckage of your fleet drifts slowly across the reaches of this system we shall know peace for a moment.""",FALSE,hegemony,1000000,25,"Reports indicate that the sole surviving Kadur Theocracy Caliph-class superdreadnought, the KHS-001 Hand of God, has been tracked back to a remote system where a flotilla of Theocracy loyalists lurk plotting strikes against Hegemony controlled systems. Agents of the Hegemon have naturally expressed an interest in having this persistent thorn in their side removed - by any means necessary. Hunting this bounty could secure an admiral's place among the stars forever, whether that be as a legend... or a slowly expanding cloud of debris.",vayra_caliph_revenant,,300,1.2,600,1,,,TRUE,FALSE,212,30,100
vayra_rubin_bounty_one,20,spaceAdmiral,Rubin,Izaqtpi,reckless,Rubin's Ralliers,KHS Down The Rabbit Hole,FEMALE,kadur_remnant,graphics/portraits/vayra_rubin.png,"As the opposing force begins to fill your bridge's view, you receive a commlink from the enemy fleet. Your comms officer patches it through, and you are met by the sight of a woman in traditional Theocrat Remnant attire, flanked by ivory- and brass-masked staff officers. As you watch, she removes and lowers her own mask to let it hang suspended from her collar, obscuring the Kaduran eye emblem painted on her combat armor. Her eyes blaze with a lust for violence, and she eyes you up and down like one would a pest. 

""You affront me with your presence, infidel. What, the mighty Hegemony has finally grown tired of sending their dogs to die? Pity, the last one almost posed a challenge."" She walks closer to the camera, until nothing but her scornful eyes are in your view. ""Perhaps you'll bring something unique to me, you don't look like the type to cling to old-world doctrine.""

She clears her throat and brushes a few locks of hair back under her hood, stepping back into her command chair. ""Prepare yourself for the might that once crowned Kadur! Die well, infidel!""

She terminates the call without giving you a chance to respond.",FALSE,hegemony,250000,10,"Hegemony sources have posted an especially lucrative bounty on one ""Rubin Izaqtpi"", a notorious Kadur leader who is responsible for numerous assaults on Hegemony pickets and logistics fleets. Heading a rather substantial fleet, Rubin has clamped down hard on every armed response to her rampage, and as such local authorities refuse to condemn another patrol to ruin. Kill at all costs, capture is not an option.",vayra_prophet_rubin,"rc_vayra_seraph_Immortal, rc_vayra_rukh_Immortal, rc_vayra_rukh_Immortal, rc_vayra_shirdal_Drover-, rc_vayra_shirdal_Drover-, rc_vayra_targe_SO, rc_vayra_targe_SO, rc_vayra_targe_SO, rc_vayra_buzzard_SO, rc_vayra_buzzard_SO, rc_vayra_buzzard_SO, rc_vayra_buzzard_SO, rc_vayra_buzzard_Warplock, rc_vayra_buzzard_Warplock, rc_vayra_buzzard_Warplock, rc_vayra_buzzard_Warplock, rc_vayra_hyena_Harassment, rc_vayra_hyena_Harassment, rc_vayra_hyena_Harassment, rc_vayra_hyena_Harassment",100,1,300,1,,,TRUE,FALSE,207,10,50
vayra_rubin_bounty_two,30,spaceCommander,Rubin,Heresiarch,reckless,Rubin's Revenge,From The Abyss,FEMALE,luddic_path,graphics/portraits/vayra_rubin_pather.png,"As you observe the colossal fleet in front of you, a chime sounds on your comms. Accepting the communication, you are greeted by the sight of the Heresiarch herself, Rubin, her former Kaduran attire replaced with combat armor hastily repainted Luddic green. 

""Ah, they always return to the scene of the crime. From the moment you struck me from the stars, I've known and observed every move you've made. Every visit to the market, every bounty you took, every time you've fucking blinked. I've waited for my revenge, and much to my delight you've offered yourself up - not that I expected anything else from you. You spacers are all the same. You wrap yourselves in the flags of some polity or another, clinging to CHILDISH ideals like pragmatism and the rule of law. Its despicable. The very sight of your fleet sickens me, such a chaotic mix of heresies. You'll go across the sector just to chase down a shiny new toy or loud cannon, but you won't exert the effort to even think why you do. Its not in your nature to question such things. Buy, sell, murder, and annihilate. Its all the same to you, you just get paid for it. You only came after me because you knew I had another plaything for you to rip from its owner, just to sit in some forgotten storage dock for a cycle or two."" 

She clears her throat, seemingly aware at the fact she was wasting her breath lecturing to someone who just wants to kill her. ""If you'll afford me a moment of brevity, please. I learned a phrase in your language that I think would be fitting."" 

""I lived, bitch.""",FALSE,kadur_remnant,500000,20,"Your comms inbox has been flooded with assorted junk mail, news updates on hostilities, and odd ads for ""Sindrian Growth Pills"", but among the junk you've received one communique appears worthy of further investigation. A strangely formatted missive addressed to you by a lower Kadur logistics officer, and forwarded through a complicated series of dead-drops and proxy routes. It originally contained capitalization and grammatical errors so bad your terminal's autocorrect threw its hands up and just reformatted the message entirely. 

It now simply reads: ""I send you this challenge, from traitor to infidel. It isn't in your nature to refuse such combat. I know your type. You, and you alone, are responsible for this.""  Attached is a bounty data download, apparently posted... by the target.",vayra_prophet_lp_rubin,"vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin",200,1.2,400,1,,vayra_rubin_bounty_one,FALSE,FALSE,209,20,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
